specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source
IRVC15781,1978-04-26,1978,4,26,116,integrifolia,San Bernardino,"""UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley; back of Not Much Canyon, north-facing slope. Little San Bernardino Mountains""",1067,34.1523,-116.4557,1000,,,WGS84,cch1
CAS-BOT-BC7218,1882-04-01,1882,4,1,91,integrifolia,Los Angeles,Pasadena,,34.152867,-118.121454,6700,,,WGS84,cch1
POM73913,1882-03-07,1882,3,7,66,menziesii,Los Angeles,Pasadena.,,34.152867,-118.121454,6700,,,WGS84,cch1
POM296771,1945-03-30,1945,3,30,89,menziesii,Los Angeles,Canyon at Padua Hills above Claremont.,549,34.156915,-117.70179,1000,,,WGS84,cch1
IRVC29323,2006-04-01,2006,4,1,91,integrifolia,San Bernardino,"""Pipes Canyon Preserve; Sorrel Horse Cyn, S of Pioneertown Road along wash and ridge to the S. Southern Mojave Desert, Little San Bernardino Mtns""",1220,34.16113889,-116.5109444,,,,,cch1
JEPS1518,1928-05-04,1928,5,4,125,integrifolia,Los Angeles,"""Monrovia Canyon , Monrovia Canyon (San Gabriel Mts.)""",,34.17444,-117.98889,1000,,,WGS84,cch1
POM3472,1917-04-01,1917,4,1,91,menziesii,San Bernardino,Cucamonga Canyon,915,34.187084,-117.621758,1000,,,WGS84,cch1
POM347131,1926-05-07,1926,5,7,127,,San Bernardino,"""Arrowhead Grade, San Bernardino Mts.""",,34.20841,-117.28352,6400,,,NAD83,cch1
POM347129,1971-05-14,1971,5,14,134,integrifolia,San Bernardino,"""San Gabriel Mountains, Lytle Creek Road, Lytle Creek Canyon, north of Fontana""",793,34.230087,-117.469389,1000,,,WGS84,cch1
POM293455,1949-05-12,1949,5,12,132,,San Bernardino,Road to Lake Arrowhead.,1280,34.2325,-117.2953,1000,,,WGS84,cch1
POM6534,1919-05-30,1919,5,30,150,integrifolia,San Bernardino,"""Dark Canyon, San Bernardino Mts.""",,34.241699,-117.245801,5000,,,WGS84,cch1
CSUSB2020,1979-06-04,1979,6,4,155,integrifolia,San Bernardino,"""San Bernardino Mts., Crestline, Darfo Dr. NE-facing roadside of bank growing in shade from shrubs""",1432.5600000000002,34.2478,-117.2645,400,,,WGS84,cch1
POM6902,1919-05-14,1919,5,14,134,integrifolia,San Bernardino,Lytle Creek Canyon.,,34.256719,-117.491796,10000,,,WGS84,cch1
CLARK-A1045-560,1977-06-05,1977,6,5,156,integrifolia,San Bernardino,San Bernardino Mountains dirt road [unpaved State Highway 173] between Lake Arrowhead and Mojave River Forks Regional Park; ; Lake Arrowhead 7.5'Q,1524,34.2845,-117.1941,,,,WGS84/NAD83,cch1
JEPS1497,1928-02-09,1928,2,9,40,,Los Angeles,"""Santa Anita Canyon , Santa Anita Canyon (San Gabriel Mts.)""",,34.3,-117.91667,1000,,,WGS84,cch1
POM73114,1906-04-27,1906,4,27,117,,San Bernardino,Cajon Pass,1250,34.325158,-117.428354,2000,,,WGS84,cch1
JEPS1804,1919-04-16,1919,4,16,106,integrifolia,San Bernardino,"""Cajon Pass , Cajon Pass (San Gabriel Mountains)""",685,34.325158,-117.428354,2000,,,WGS84,cch1
CHSC61985,1993-04-04,1993,4,4,94,,Ventura,"""Ca. 1 m e of Happy Camp Trail and 0.6 km n of Happy Camp Park entrance, 7.2 km nne of Moorpark.""",70,34.338056,-118.864444,402.335,,,NAD 1983,cch1
POM6554,1919-04-12,1919,4,12,102,integrifolia,San Bernardino,"""Cajon Pass, north side.""",1220,34.36844,-117.42656,1600,,,NAD83,cch1
JEPS1793,1922-04-07,1922,4,7,97,,San Bernardino,"""3 mi sw Hesperia (Mohave Desert); , sw of Hesperia""",,34.37064,-117.31236,2683,,,WGS84,cch1
POM48804,1917-04-21,1917,4,21,111,integrifolia,San Bernardino,"""Hesperia, Mohave Desert.""",,34.4267,-117.301,7800,,,WGS84,cch1
POM248105,1941-04-19,1941,4,19,109,integrifolia,San Bernardino,8 miles SW of Victorville.,,34.437156,-117.372033,1200,,,WGS84,cch1
POM229166,1937-05-07,1937,5,7,127,integrifolia,San Bernardino,5 miles SW of Victorville.,976,34.463112,-117.351939,1000,,,WGS84,cch1
GH93110,2006-04-29,2006,4,29,119,integrifolia,Unknown,"""Dead Man's Point, near victorville, Mohave Desert, Lower Sonoran zone, 925 m""",,34.473101,-117.124596,2000,,,WGS84,cch1
GMDRC7800,2015-03-11,2015,3,11,70,menziesii,San Bernardino,"""Granite Mountains: UC GMDRC field station, Granite Cove, wash near Director's residence""",1309,34.781367,-115.652233,30,,,NAD83,cch1
GMDRC4298,2010-04-02,2010,4,2,92,integrifolia,San Bernardino,"""Granite Mountains: eastern end of range in UC Granite Mtns Desert Research Center, upper Granite Cove in Granite Cove Spring area""",1331,34.784483,-115.6598,30,,,NAD83,cch1
GMDRC7692,2015-03-03,2015,3,3,62,integrifolia,San Bernardino,"""Granite Mountains: UC GM Desert Research Ctr; upper Granite Cove along Sybil Allanson Trail, 0.3 mi. west of trailhead""",1348,34.784817,-115.664,30,,,NAD83,cch1
GMDRC9674,2017-04-09,2017,4,9,99,integrifolia,San Bernardino,"""Granite Mountains: UC Granite Mtns Desert Research Center; upper Cottonwood Basin, approx 2 mi. west of parking area at mouth of basin""",1350,34.80558,-115.67141,30,,,NAD83,cch1
GMDRC3694,2005-05-01,2005,5,1,121,menziesii,San Bernardino,"""Granite Mountains: Granite Mountains: Cottonwood Basin, UC Granite Mountains Desert Research Center. USGS 7.5 minute Quad: Bighorn Basin 34 deg. 48.484' N 115 deg. 40.168' W. Elev. 4396 ft.""",1340,34.808067,-115.669467,30,,,,cch1
GMDRC9754,2017-04-01,2017,4,1,91,integrifolia,San Bernardino,"""Granite Mountains: UC Granite Mtns Desert Research Center; southeast end of Cottonwood Basin, approx 1 mi. southwest of trailhead parking area""",1280,34.80936,-115.65561,30,,,NAD83,cch1
GMDRC995,2001-04-04,2001,4,4,94,integrifolia,San Bernardino,"""Granite Mtns: Granite Mtns: Cottonwood Basin, on ne. side, at about 4030 ft elevation, in small grassy openings among pinyon Near 34 deg. 49.154' N 115 deg. 38.848' W. Elev. 4030 ft.""",1229,34.819233,-115.647467,30,,,,cch1
POM7595,1920-03-30,1920,3,30,90,,San Bernardino,"""Bonanza, Providence Mountains.""",854,34.980763,-115.506651,2600,,,WGS84,cch1
POM97174,1925-03-19,1925,3,19,78,,Kern,north side of Tehachapi Pass.,610,35.10194,-118.28429,400,,,NAD83,cch1
HSC65237,1973-03-20,1973,3,20,79,,San Luis Obispo,"""Price Canyon Rd., 3.5 mi. from Pismo Beach""",61,35.184404,-120.619147,823,,,WGS84,cch1
POM118676,1924-04-22,1924,4,22,113,,Kern,Bakersfield.,,35.3733,-119.0187,26500,,,WGS84,cch1
POM202997,1933-04-20,1933,4,20,110,menziesii,San Luis Obispo,Santa Margarita.,,35.389973,-120.609057,1136,,,WGS84,cch1
POM307904,1941-03-22,1941,3,22,81,,Kern,Shafter.,,35.501917,-119.273162,1500,,,WGS84,cch1
CHSC47108,1986-04-10,1986,4,10,100,menziesii,Fresno,South side of Warthan Cr ca 5 1/2 mi west of Coalinga via hwy 198. Shrubby north-facing slope above the creek.,304,36.094167,-120.440556,402.335,,,NAD 1983,cch1
POM199848,1932-03-10,1932,3,10,70,menziesii,Tulare,Tulare,,36.2078,-119.3464,9930,,,WGS84,cch1
CHSC52497,1982-05-12,1982,5,12,132,,Monterey,Carmel Valley. Hastings Natural History Reservation. Poison Oak Hill.,,36.366389,-121.544167,201.1675,,,NAD 1983,cch1
JEPS83176,1982-05-12,1982,5,12,132,,Monterey,"""Poison Oak Hill Carmel Valley, Hastings Natural History Reservation (Hastings Natural History Reservation)""",,36.3714,-121.5594,1609.34,,,NAD83,cch1
POM65806,1917-04-02,1917,4,2,92,menziesii,Monterey,Point Lobos.,,36.5156,-121.94211,990,,,WGS84,cch1
HSC13602,1963-04-15,1963,4,15,105,,Monterey,Laguna Seca (halfway between Salinas and Monterey),,36.5703,-121.7617,3795,,,WGS84,cch1
JEPS1913,1919-03-23,1919,3,23,82,,Unknown,,,36.570831,-119.611107,1000,,,WGS84,cch1
CHSC70018,1996-03-24,1996,3,24,84,menziesii,Fresno,"""Sierra National Forest, Trimmer Ranger Station, Heliport area.""",533,36.908056,-119.306667,201.1675,,,NAD 1983,cch1
CHSC70378,1986-02-25,1986,2,25,56,menziesii,Merced,"""Canyon of Wildcat Creek, south from Los Banos Valley. Annual grassland slopes.""",190,36.940833,-121.027222,804.67,,,NAD 1983,cch1
POM65372,1904-02-28,1904,2,28,59,menziesii,Santa Cruz,Santa Cruz.,,36.97088,-122.0212,4479,,,WGS84,cch1
CHSC55122,1986-03-06,1986,3,6,65,menziesii,Merced,North and eastern portions of Los Banos Valley.,198,36.975278,-121.053056,3218.68,,,NAD 1983,cch1
POM289748,1931-04-18,1931,4,18,108,menziesii,Madera,5 miles W of Coarsegold. Sierra Nevada Mtn. Range. Fresno River.,518,37.262715,-119.795053,1000,,,WGS84,cch1
POM65254,1902-04-12,1902,4,12,102,menziesii,San Mateo,La Honda.,,37.3192,-122.2739,3350,,,WGS84,cch1
POM249028,1938-04-17,1938,4,17,107,menziesii,Mariposa,"""Near Mariposa Creek, 13 miles west of Mormon Bar, Sierra Nevada foothills.""",457,37.393056,-120.007778,8046.7,,,NAD83,cch1
JROH5546,2013-04-13,2013,4,13,103,menziesii,San Mateo,"""Jasper Ridge Biological Preserve, Stanford University; southeast side of creek and about 75 meters upstream of bridge on Trail 11""",136,37.401102,-122.230657,50,,,WGS84,cch1
JROH2738,1976-04-03,1976,4,3,94,menziesii,San Mateo,"""Jasper Ridge Biological Preserve, Stanford University""",,37.407873,-122.245972,2814,,,WGS84,cch1
JROH2737,1903-04-01,1903,4,1,91,menziesii,San Mateo,"""Jasper Ridge Biological Preserve, Stanford University; Searsville Ridge""",,37.4079,-122.246,2814,,,WGS84,cch1
JROH2740,1992-04-09,1992,4,9,100,menziesii,San Mateo,"""Jasper Ridge Biological Preserve, Stanford University""",,37.4079,-122.246,2814,,,WGS84,cch1
POM65288,1903-04-06,1903,4,6,96,menziesii,San Mateo,"""San Bruno hills, San Francisco.""",,37.626139,-122.43237,3607,,,WGS84,cch1
JEPS104716,1938-03-06,1938,3,6,65,,San Joaquin,"""steep slope NE of Castle Rock, Corral Hollow, Mount Hamilton Range""",350,37.637153,-121.489879,2495,,,WGS84,cch1
JEPS45200,1961-03-09,1961,3,9,68,,Stanislaus,vicinity La Grange; vicinity of La Grange,,37.66423,-120.46039,806.27934,,,NAD27,cch1
CHSC27746,1978-03-25,1978,3,25,84,,Mariposa,"""Highway 132, ca. .4 mi w of junction with Highway 49 at Coulterville.""",502,37.707778,-120.200833,201.1675,,,NAD 1983,cch1
JEPS127095,1916-04-19,1916,4,19,110,menziesii,Contra Costa,"""2.3 miles (air) southwest of Los Vaqueros Reservoir Dam, approximately 25 miles (air) southwest of Stockton. Undesignated section of Canada de Los Vaqueros Land Grant, Byron Hot Spring USGS 7.5' Quad.""",160,37.807453,-121.746961,,,,,cch1
CHSC116618,2016-04-19,2016,4,19,110,menziesii,Contra Costa,"""Undesignated section of Canada de Los Vaqueros Land Grant. Along south side of road exit at Los Vaqueros Reservoir Marina, 2.3 miles (air) southwest of Los Vaqueros Reservoir Dam, approximately 25 miles (air) southwest of Stockton.""",160,37.8075,-121.746944,,,,,cch1
CHSC59744,1979-05-05,1979,5,5,125,,Tuolumne,"""100 ft west of South Fork Tuolumne River, 1.5 m south of bridge on Hwy 120.""",457,37.814444,-120.311667,201.1675,,,NAD 1983,cch1
CAS-BOT-BC422397,2014-04-26,2014,4,26,116,,Marin,Mount Tamalpais. Marin Municipal Water District lands: Less than 0.25 miles up Azalea Hill Trail from intersection with Bolinas-Fairfax Road. Plot on north side of trail near shallow drainage.,,37.96388,-122.62416,,,,,cch1
CAS-BOT-BC263265,2012-03-24,2012,3,24,84,,Marin,"""Mount Tamalpais. Marin Municipal Water District lands: Sky Oaks Meadow, outcrop near Meadow Club golf course""",,37.96519,-122.61191,,,,,cch1
CHSC23125,1962-02-18,1962,2,18,49,atomaria,Marin,NW-facing slopes east of Point Reyes Lighthouse in area of coastal scrub.,,37.996389,-123.006111,402.335,,,NAD 1983,cch1
JEPS76985,1963-03-10,1963,3,10,69,,Marin,Pt. Reyes,,38.104893,-122.953636,8250,,,WGS84,cch1
CHSC14010,1974-04-09,1974,4,9,99,,Calaveras,"""5 mi e of Hwy 4, 5 mi e of Murphys; w facing slope.""",914,38.176667,-120.391667,3218.68,,,NAD 1983,cch1
JEPS1477,1933-04-15,1933,4,15,105,atomaria,Sonoma,Bodega Hill,6,38.341915,-123.020676,1000,,,WGS84,cch1
CHSC31076,1980-04-02,1980,4,2,93,,Sonoma,Ca. 15 mi se of Petaluma. Ca. 1.3 mi w of jct of Warm Springs Rd and Sonoma Mountain Rd on s side of road.,225,38.363333,-122.560278,201.1675,,,NAD 1983,cch1
JEPS85033,1969-05-03,1969,5,3,123,,Napa,"""ca 7 mi ne Napa (Mead Ranch, off the Atlas Peak Rd.); ne of Napa, off Atlas Peak Rd., Mead Ranch""",457,38.3893,-122.2478,500,,,WGS84,cch1
JEPS1880,1919-04-13,1919,4,13,103,atomaria,Napa,near Atlas; near Atlas,,38.4504,-122.2624,2775,,,WGS84,cch1
CDA12056,1989-03-03,1989,3,3,62,menziesii,Napa,North Coast Biodiversity Arena; Along Hwy 128 approx. 2 miles W of Monticello Dam (Lake Berryessa).,,38.5,-122.4,,,,,cch1
POM179734,1903-04-23,1903,4,23,113,atomaria,Sonoma,Fort Ross.,,38.5152,-123.24392,500,,,WGS84,cch1
CHSC57470,1990-04-12,1990,4,12,102,,Sonoma,610 m. N. of Stillwater Cove.,24,38.543333,-123.292778,201.1675,,,NAD 1983,cch1
CHSC43316,1969-04-07,1969,4,7,97,,Napa,"""On moist soil of a road cut, near Lake Berryessa.""",243,38.556111,-122.186944,4828.02,,,NAD 1983,cch1
POM263485,1939-03-31,1939,3,31,90,menziesii,Napa,Angwin. Howell Mtns.,,38.5756,-122.4499,1350,,,WGS84,cch1
POM231318,1933-04-01,1933,4,1,91,menziesii,Lake,Mt. St. Helena.,,38.66896,-122.63291,3000,,,WGS84,cch1
HSC13595,1930-05-15,1930,5,15,135,,Lake,Mirabel Mine,762,38.70028,-122.60515,750,,,WGS84,cch1
POM126457,1907-03-31,1907,3,31,90,menziesii,Lake,Middletown.,,38.7525,-122.615,5000,,,WGS84,cch1
HSC34570,1975-05-03,1975,5,3,123,,Lake,2.1 mi. N of junction of Bottle Rd. and Hwy. 175,762,38.84225,-122.74939,750,,,WGS84,cch1
HSC37991,1976-04-12,1976,4,12,103,,Lake,"""Along Morgan Valley Rd., 1.5 mi. from Napa County line""",671,38.87319,-122.42126,500,,,WGS84,cch1
CHSC700,1947-03-22,1947,3,22,81,,Placer,Lincoln.,91,38.891667,-121.291944,804.67,,,NAD 1983,cch1
CHSC52401,1983-04-09,1983,4,9,99,menziesii,Lake,"""Kesloff property, ca 1 mi W of Lower Lake.""",528,38.908056,-122.770278,402.335,,,NAD 1983,cch1
HSC87901,1980-04-24,1980,4,24,115,menziesii,Mendocino,"""Wheeler Ranch, 6 mi. SW of Yorkville""",335,38.9316,-123.3044,950,,,WGS84,cch1
CHSC40119,1985-04-24,1985,4,24,114,,Mendocino,Ca 7 mi se of Boonville along w side of Hwy 128.,,38.932222,-123.307222,804.67,,,NAD 1983,cch1
CHSC24140,1976-04-03,1976,4,3,94,,Lake,"""Growing ca. 12 yds from road at intersection of Hwys. 29 and 175, 11 mi. s of Kelseyville.""",,38.9425,-122.792222,402.335,,,NAD 1983,cch1
CHSC27541,1978-04-09,1978,4,9,99,,Lake,"""Jct. hwy.29 and 175, ca. 3 mi se of Kelseyville.""",499,38.9425,-122.792222,402.335,,,NAD 1983,cch1
CHSC27799,1978-04-08,1978,4,8,98,,Lake,"""Jct. Hwys. 29 and 175, ca. 3 mi. se of Kelseyville.""",463,38.9425,-122.792222,402.335,,,NAD 1983,cch1
CHSC27517,1978-04-15,1978,4,15,105,integrifolia,Lake,Ca. 100 m s of junction of Hwy. 29 and Hwy. 175.,529,38.9425,-122.792222,402.335,,,NAD 1983,cch1
CHSC90100,1991-04-06,1991,4,6,96,,Lake,"""Jct Hwys 29 and 175, ca. 3 mi se of Kelseyville.""",579,38.943056,-122.793333,402.335,,,NAD 1983,cch1
OBI3000,1968-06-01,1968,6,1,153,,Mendocino,Pt. Arena light house,15,38.953,-123.735,500,,,NAD83,cch1
HREC495,1952-03-07,1952,3,7,67,,Mendocino,Vasser field near PG&E right of way.,152,38.989016,-123.079671,1343.98409,,,,cch1
HREC492,1953-02-12,1953,2,12,43,atomaria,Mendocino,Vassar Field - Hopland Field Station.,,38.989016,-123.079671,1343.98409,,,,cch1
POM320434,1971-04-08,1971,4,8,98,menziesii,Lake,"""Roadside of Soda Bay Road at the junction of three roads, two miles east of Soda Bay. Coast Range: Mayacmas Mountains. Clear Lake drainage.""",396,39.00434,-122.76192,500,,,WGS84,cch1
CHSC14017,1974-03-30,1974,3,30,89,,Colusa,Locally scattered along roadside ca. 0.5 mi w of jct of Hwys 20 and 16 on Hwy 20.,335,39.011667,-122.366667,402.335,,,NAD 1983,cch1
CHSC36121,1980-04-12,1980,4,12,103,,Colusa,"""Ca. 0.3 mi w of jct of Hwys 20 and 16, s side of Bear Creek, ca. 18 mi sw of Williams.""",321,39.011667,-122.364444,402.335,,,NAD 1983,cch1
CHSC59547,1992-04-05,1992,4,5,96,,Lake,"""0.8 mi sw of jct of Hwy 20 and High Valley Rd, ca. 1.5 mi n of Clearlake Oaks.""",536,39.036389,-122.692222,804.67,,,NAD 1983,cch1
HSC37202,1975-05-03,1975,5,3,123,,Lake,3.6 mi. W of junction with Hwy. 29 on Scott's Creek Rd. at confluence of S Fork and Middle Fork of Scott's Creek,534,39.04159,-122.98224,500,,,WGS84,cch1
HSC35256,1975-05-03,1975,5,3,123,,Lake,5.8 mi. W of jct. with Rte. 29 on Scott's Creek Rd.,915,39.04632,-123.00928,500,,,WGS84,cch1
CHSC71117,1989-04-01,1989,4,1,91,,Lake,"""E side Clear Lake, 2.2 mi s of Lucern.""",396,39.055833,-122.781389,402.335,,,NAD 1983,cch1
HSC13579,1928-05-06,1928,5,6,127,,Lake,"""Morrison's Gardens, 6 mi. from Clear Lake on rd. to Bartlett Springs""",,39.13635,-122.7705,1000,,,WGS84,cch1
HSC13594,1964-03-26,1964,3,26,86,,Lake,7 mi. NW of Lakeport on Hidden Lake Rd.,427,39.13785,-122.90989,750,,,WGS84,cch1
CHSC90532,1997-04-02,1997,4,2,92,menziesii,Lake,"""Mendocino National Forest--North Coast Ranges. North Fork Cache Creek Watershed. Bartlett Springs Rd., west of Hough Spring crossing No. Fork Cache Creek.""",762,39.1625,-122.615,402.335,,,NAD 1983,cch1
HSC13597,1928-05-06,1928,5,6,127,,Lake,1.5 mi. W of Bartlett Springs on the rd. to Clear Lake,,39.17579,-122.7293,500,,,WGS84,cch1
CHSC12046,1970-03-23,1970,3,23,82,,Sutter,"""Ca. 700 yds. n of Cole House, Moore Canyon, Sutter Buttes.""",121,39.198889,-121.795,3218.68,,,NAD 1983,cch1
CHSC24951,1976-04-14,1976,4,14,105,,Mendocino,Ca. 2-12 yds n of Orr Springs Rd and 12.8 mi w of Orr Springs Rd-Business 101 intersection in central Ukiah.,426,39.233889,-123.370278,3218.68,,,NAD 1983,cch1
