specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source
RSA421356,1955-03-13,1955,3,13,72,,Orange,Silverado Canyon,,33.7486,-117.5827,4023.35,,,NAD83/WGS84,cch1
RSA604728,1937-04-09,1937,4,9,99,,Riverside,Meadow between Hemet and Winchester,,33.75,-117.033333,,,,,cch1
RSA421355,1929-03-17,1929,3,17,76,,Riverside,"""Glen Ivy Hot Springs, Santa Ana Mts.""",,33.758333,-117.494444,,,,,cch1
RSA717582,2004-04-09,2004,4,9,100,menziesii,Riverside,"""San Jacinto Valley: Tres Cerritos, ca. 3 miles WNW of Hemet, east of the Lakeview Mtns., in central valley among the three peaks.""",488,33.761111,-117.026944,,,,,cch1
RSA421336,1929-05-18,1929,5,18,138,,Riverside,San Jacinto Mt.,1677,33.7734,-116.7064,13000,,,WGS84,cch1
RSA699273,1934-04-28,1934,4,28,118,integrifolia,Orange,Ladd Canyon-Santa Ana Mts. PR8.,,33.7806,-117.5871,1000,,,WGS84,cch1
RSA688918,2003-04-02,2003,4,2,92,,Riverside,Temescal Valley: Just west of I-15 Freeway and northeast of Lawson Dr.,305,33.783333,-117.5,,,,,cch1
RSA736311,2008-03-25,2008,3,25,85,,Riverside,"""Perris / Elsinore Basin: Foothills of Gavilan Hills at Temescal Wash, near Olsen Canyon, A!MorganA(r) Property, Alberhill area.""",274,33.8,-117.491667,,,,,cch1
RSA0105076,2003-04-04,2003,4,4,94,menziesii,Riverside,"""UC Riverside, Motte Rimrock Reserve. Off Sage Rd.""",536,33.808217,-117.260333,,,,,cch1
RSA616,1928-03-18,1928,3,18,78,,Orange,"""Rancho Santa Ana, Botanic Garden.""",152,33.8726,-117.7073,1609.34,,,NAD83/WGS84,cch1
RSA556434,1993-03-10,1993,3,10,69,,Riverside,San Jacinto Wildlife area.,476,33.875,-117.1125,,,,,cch1
RSA615,1928-03-18,1928,3,18,78,,San Bernardino,"""Aliso Canyon, Rancho Santa Ana.""",244,33.894589,-117.692445,2000,,,WGS84,cch1
RSA421334,1929-02-23,1929,2,23,54,,Riverside,"""San Jacinto Mt, Mountain slopes""",,33.9092,-116.9646,2500,,,NAD 27,cch1
RSA421338,1930-04-09,1930,4,9,99,,Riverside,Near Banning,500,33.9248,-116.8772,2000,,,WGS84,cch1
RSA776228,2011-03-29,2011,3,29,88,menziesii,Riverside,"""Haugen Lehmann exit, Pacific Crest Trail up into canyon east of Cottonwood Canyon""",762,33.95674,-116.66391,,,,NAD83,cch1
RSA620357,1997-03-01,1997,3,1,60,,Riverside,"""Box Springs Mtns: Coyote Hill (Bench Mark A&lt;&lt;VersityA, 1386ft) and ridge S and SE of the UCR Botanic Garden.""",427,33.966667,-117.316667,,,,,cch1
RSA770697,2010-04-12,2010,4,12,102,menziesii,Riverside,Whitewater Cyn. Along Whitewater River drainage and adjacent slopes below Whitewater Visitor Center (Whitewater Trout Farm).,610,33.97288,-116.65146,,,,,cch1
RSA783108,1962-05-02,1962,5,2,122,,Riverside,By saddle just N of highest part of Box Spring Mountains.,777,33.975,-117.2926,1000,,,WGS84,cch1
RSA421301,1902-05-01,1902,5,1,121,integrifolia,Los Angeles,Vicinity of Elizabeth Lake. Pine Canyon.,1220,33.995556,-119.715,,,,,cch1
RSA770860,2010-04-13,2010,4,13,103,menziesii,Riverside,"""Transverse Ranges; San Bernardino Mountains region: Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 1-2 miles above Whitewater Visitor Center (Whitewater Trout Farm)., Between N34.01961, W116.68175 and N34.01041 and W116.67141.""",823,34.01961,-116.668175,,,,,cch1
RSA772121,2010-04-13,2010,4,13,103,menziesii,Riverside,"""Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 0-1 miles above Whitewater Visitor Center (Whitewater Trout Farm); between N34.00456, W116.67238 and N33.99629 and W116.66010.""",915,34.02559,-116.69098,,,,,cch1
RSA605075,1997-02-25,1997,2,25,56,,San Bernardino,"""Jurupa Hills: Mary Vagl Museum and Nature Center, Cypress St., Fontana.""",,34.041667,-117.45,,,,,cch1
RSA768634,2010-04-13,2010,4,13,103,integrifolia,San Bernardino,"""Whitewater Canyon Bioblitz: At saddle just east of Wathier Landing, [from] near 34.04398N, 116.71046W. Surveyed along old road in a southeast direction to 34.03946N, 116.70286W., Northeast facing slope of mountain, within northwest section of Catclaw Flat.""",1188,34.04398,-116.71046,,,,,cch1
RSA608634,1931-03-19,1931,3,19,78,menziesii,Los Angeles,Pomona: Ganesha Heights.,,34.077121,-117.766439,800,,,WGS84,cch1
RSA784260,1962-06-24,1962,6,24,175,menziesii,San Bernardino,"""North of Yucaipa ridge along Oak Glen-Forest Home fireroad, SE San Bernardino Mts.""",1585,34.077884,-116.967137,4000,,,WGS84,cch1
RSA0043164,2012-05-21,2012,5,21,142,integrifolia,San Bernardino,"""Yucaipa Ridge; approximately 4 air miles northeast of the San Gorgonio Ranger station, or approximately 0.6 air mile northeast of Allen Peak.""",1616,34.08484,-116.97716,,,,,cch1
RSA652202,1940-02-20,1940,2,20,51,,San Bernardino,Santa Ana Wash.,457,34.08863,-117.18224,3000,,,WGS84,cch1
RSA421328,1929-03-28,1929,3,28,87,,Los Angeles,Topango [Topanga] Canyon.,,34.091961,-118.601916,6500,,,WGS84,cch1
RSA79215,1952-03-23,1952,3,23,83,menziesii,Los Angeles,canyon north of Webb School; east of Live Oak Canyon.,427,34.129214,-117.742285,800,,,WGS84,cch1
RSA421311,1928-02-29,1928,2,29,60,menziesii,Los Angeles,"""ThompsonAs Creek, Hills N of Claremont.""",,34.130668,-117.719666,2000,,,WGS84,cch1
RSA0094763,2015-03-31,2015,3,31,90,menziesii,San Bernardino,"""Little San Bernardino Mountains; along dirt road in Water Canyon, 1.3 mi west of Pioneertown Rd, approx 5 mi. NW of Yucca Valley.""",1148,34.130967,-116.4915,,,,NAD83,cch1
RSA250674,1971-04-02,1971,4,2,92,menziesii,Los Angeles,"""Johnson's PastureAs, N. of Mountain Avenue, Claremont.""",549,34.134621,-117.731194,400,,,NAD83,cch1
RSA421327,1925-04-12,1925,4,12,102,,Los Angeles,Mulholland Estate; Santa Monica Mtns.,,34.135232,-118.438645,400,,,WGS84,cch1
RSA0022321,2011-04-23,2011,4,23,113,,San Bernardino,Sawtooth Mountains; collecting in rugged boulder piles about a mile south of Pioneertown and about 0.75 air mile east of Chaparrosa Spring.,1338,34.14308,-116.50302,,,,,cch1
RSA489150,1988-03-15,1988,3,15,75,,San Bernardino,Intersection of Hwy 247 and El Cortez Road.,1128,34.1477,-116.4187,200,,,WGS84,cch1
RSA421313,1903-03-30,1903,3,30,89,integrifolia,Los Angeles,"""Hillsides, Pasadena""",,34.152867,-118.121454,6700,,,WGS84,cch1
RSA598950,1970-04-04,1970,4,4,94,integrifolia,Los Angeles,"""in and near Glendora Wilderness Park, Big Dalton Canyon""",412,34.159237,-117.827908,800,,,WGS84,cch1
RSA421268,1949-06-18,1949,6,18,169,integrifolia,Los Angeles,"""Johnstone Peak, San Gabriel Mts.""",854,34.16018,-117.79704,100,,,WGS84,cch1
RSA752003,2009-06-08,2009,6,8,159,,San Bernardino,"""San Bernardino Mountains: Along Santa Ana River Trail 2E03, off Middle Control Road, E of Cold Creek.""",1534,34.16294,-116.96795,,,,WGS84,cch1
RSA233474,1969-05-29,1969,5,29,149,integrifolia,San Bernardino,"""Angeles National Forest, at junction of Evey Canyon with San Antonio Canyon.""",701,34.1632,-117.6823,16.0934,,,NAD83/WGS84,cch1
RSA276027,1974-03-11,1974,3,11,70,menziesii,Los Angeles,Lodi Canyon.,549,34.163329,-117.781409,1000,,,WGS84,cch1
RSA0043193,2010-05-06,2010,5,6,126,integrifolia,San Bernardino,San Bernardino National Forest: the upper Santa Ana River watershed; along the Santa Ana River Trail approximately 0.25 air mile east of Mill Creek road.,1553,34.16404,-116.94995,,,,,cch1
RSA81004,1952-04-05,1952,4,5,96,integrifolia,San Bernardino,"""Road to Pioneertown and Old WomanAs Spring, 3 miles from Yucca Village (W of 29 Palms).""",1220,34.1647,-116.4226,1200,,,WGS84,cch1
RSA662611,1994-04-21,1994,4,21,111,,Los Angeles,directly west of San Dimas Ranger Station on San Dimas Canyon Rd.,,34.165664,-117.769058,300,,,WGS84,cch1
RSA421316,1929-04-29,1929,4,29,119,menziesii,Los Angeles,Verdugo Woodland,,34.16667,-118.23342,2000,,,WGS84,cch1
RSA182182,1963-04-30,1963,4,30,120,integrifolia,Los Angeles,"""Evey Canyon, northeast of Claremont on road to Mt. Baldy.""",808,34.167795,-117.68615,700,,,WGS84,cch1
RSA780656,2010-06-01,2010,6,1,152,integrifolia,San Bernardino,"""Along Santa Ana River, just S of Forest Service Rd IN09""",1462,34.16851,-116.96044,,,,NAD83,cch1
RSA0036743,1998-04-11,1998,4,11,101,,San Bernardino,Burns Pinon Ridge Reserve.,1250,34.17,-116.43,,,,,cch1
RSA748852,2008-04-11,2008,4,11,102,,Los Angeles,"""San Dimas Experimental Forest, Lewis Paul Canyon, above waterfall at junction of Big Dalton Cyn. Rd.""",549,34.170278,-117.812778,1000,,,,cch1
RSA226234,1971-04-21,1971,4,21,111,menziesii,Los Angeles,"""Mystic Canyon, 2 mi. NE of Glendora, about 1 m above creek bed""",,34.171076,-117.828525,500,,,WGS84,cch1
RSA656110,1985-05-31,1985,5,31,151,integrifolia,San Bernardino,"""ca. 20 air miles W of San Bernardino, 3 miles NW of Angeles Oaks, near junction of Deer Creek and Santa Ana River near Filaree Flat.""",1159,34.171111,-116.988889,10000,,,,cch1
RSA346567,1971-03-18,1971,3,18,77,menziesii,Los Angeles,"""San Dimas Canyon, 6.2 miles from the intersection of Foothill and San Dimas Canyon Rd.""",480,34.176391,-117.754213,300,,,WGS84,cch1
RSA222969,1971-04-28,1971,4,28,118,menziesii,San Bernardino,"""Day Canyon, San Bernardino National Forest.""",915,34.1773,-117.5361,800,,,WGS84,cch1
RSA421482,1976-06-26,1976,6,26,178,integrifolia,San Bernardino,10 miles WSW of Running Springs on State Highway 30.,1159,34.18511,-117.1419,1600,,,NAD83,cch1
RSA764824,2009-03-21,2009,3,21,80,menziesii,San Bernardino,Etiwanda foothills. Alongside a second-order perennial stream.,850,34.186072,-117.523128,3000,,,WGS84,cch1
RSA66658,1924-05-16,1924,5,16,137,integrifolia,Los Angeles,Stoddard Canyon,,34.1862,-117.6608,1684,,,WGS84,cch1
RSA729927,1998-04-26,1998,4,26,116,integrifolia,Los Angeles,"""Browns Flat, San Dimas Experimental Forest""",1317,34.187778,-117.721111,,,,,cch1
RSA666506,1993-03-28,1993,3,28,87,integrifolia,San Bernardino,"""San Bernardino Mountains: Waterman Canyon, 1 km W of Arrowhead Hot Spr. Hotel, at & below the 1st stream Xing of Old Waterman C. Rd.""",600,34.189167,-117.271389,,,,,cch1
RSA751393,2009-04-14,2009,4,14,104,menziesii,San Bernardino,"""Santa Ana River Canyon, Converse Flats. S of Forest Road 1N04, W of Jct. with Radford Road (Forest Rd. 2N05). Along W edge of flat, E side of Hamilton Creek.""",1701,34.19115,-116.91871,,,,NAD83,cch1
RSA708611,2001-05-16,2001,5,16,136,integrifolia,Los Angeles,Northern San Rafael Hills: Liz's Loop (Edison Road) to Cherry Canyon Fire Road.,457,34.19525,-118.206583,,,,,cch1
RSA247113,1966-03-12,1966,3,12,71,menziesii,Los Angeles,"""San Gabriel Mountains; north of Arcadia; Chantry Flats, up Santa Anita Canyon.""",610,34.195566,-118.022342,500,,,WGS84,cch1
RSA729936,1999-06-25,1999,6,25,176,integrifolia,Los Angeles,"""San Gabriel Mtns.: Fern Canyon at falls, c. 1,7 mi. east of confluence with upper East Fork San Dimas Canyon""",1159,34.195833,-117.716667,,,,,cch1
RSA226948,1971-06-05,1971,6,5,156,integrifolia,San Bernardino,San Sevaine Cow Camp.,1418,34.202078,-117.485313,800,,,WGS84,cch1
RSA674245,2003-02-10,2003,2,10,41,menziesii,Los Angeles,South side; Along dirt road (Brand Park Motorway) to top of crest at Verdugo Motorway. Area burned in Summer-Fall of 2002.,823,34.203333,-118.264722,,,,,cch1
RSA597259,1968-06-14,1968,6,14,166,integrifolia,San Bernardino,San Gabriel Mountains. San Sevaine Cow Camp.,1433,34.2034,-117.487,160.934,,,NAD83/WGS84,cch1
RSA421297,1963-02-09,1963,2,9,40,menziesii,Los Angeles,"""on upper trail of Winter Creek, above Chantry Flats in Santa Anita Canyon.""",1159,34.203646,-118.043156,1000,,,WGS84,cch1
RSA609597,1968-05-09,1968,5,9,130,integrifolia,San Bernardino,San Gabriel Mountains: NW end of Muscupiabe,622,34.203889,-117.406667,1000,,,,cch1
RSA336454,1978-05-04,1978,5,4,124,integrifolia,San Bernardino,San Bernardino National Forest: Along City Creek Road to Big Bear.,500,34.204211,-117.143464,750,,,WGS84,cch1
RSA75881,1924-05-16,1924,5,16,137,integrifolia,San Bernardino,"""City Creek Road, Fredalba, San Bernardino Mts.""",1524,34.204263,-117.124695,1000,,,WGS84,cch1
RSA346564,1971-05-09,1971,5,9,129,menziesii,San Bernardino,"""Lytle Creek Road 1/2 mile above the Pennstock Firebreak, Lytle Creek to Pacific Slope drainage""",793,34.206467,-117.455133,500,,,WGS84,cch1
RSA575133,1994-04-05,1994,4,5,95,menziesii,San Bernardino,1.1 mile W of Glen Helen Road on FS Road 3N31 (Apple White Road),701,34.208333,-117.415278,,,,,cch1
RSA721505,1995-04-07,1995,4,7,97,menziesii,San Bernardino,"""flats immediately S of Spring Hill, W of FS Rd 2No4""",1220,34.208866,-117.666543,800,,,WGS84,cch1
RSA575409,1993-07-16,1993,7,16,197,integrifolia,San Bernardino,"""San Gabriel Mountains. San Sevaine Flats, near well.""",1622,34.209167,-117.508611,1000,,,,cch1
RSA29712,1932-05-28,1932,5,28,149,integrifolia,Los Angeles,San Gabriel Mtns.: Cascade Canyon off San Antonio Canyon.,1113,34.214154,-117.667245,300,,,WGS84,cch1
RSA656407,1958-05-10,1958,5,10,130,,San Bernardino,ca. 12 air miles NW of San Bernardino in lower Lytle Creek Wash about 2-4 miles N of Interstate 15,732,34.214438,-117.457673,900,,,WGS84,cch1
RSA584043,1992-04-21,1992,4,21,112,integrifolia,Los Angeles,"""Glendora Ridge Road: on the divide between upper East Fork San Dimas Canyon & Lower Cow Canyon, daining toward the latter""",1317,34.220266,-117.716422,500,,,WGS84,cch1
RSA656034,1985-05-01,1985,5,1,121,integrifolia,San Bernardino,12 air miles NW of San Bernardino in lower Lytle Creek Wash about 2-4 miles N of Interstate 15.,732,34.222222,-117.466111,10000,,,,cch1
RSA733768,2000-06-19,2000,6,19,171,integrifolia,Los Angeles,"""Pine Mountain, north of Azusa.""",1384,34.223611,-117.901944,,,,,cch1
RSA75866,1919-04-16,1919,4,16,106,integrifolia,San Bernardino,South slope of Cajon Pass.,686,34.232825,-117.434089,2000,,,WGS84,cch1
RSA421364,1928-04-21,1928,4,21,112,,San Bernardino,Rim of World Drive above Lake Arrowhead. San Bernardino Mts.,,34.233705,-117.159919,1400,,,WGS84,cch1
RSA421366,1949-05-28,1949,5,28,148,,San Bernardino,2 miles W of Crestline,1372,34.247872,-117.315236,1400,,,WGS84,cch1
RSA584034,1991-04-25,1991,4,25,115,menziesii,Los Angeles,"""San Gabriel Mtns: Doe Flat and immediate vicinity, situated between Graveyard Canyon and the E Fk of Susanna Canyon, draining to the lower E Fk of the San Gabriel River.""",841,34.249167,-117.801667,,,,,cch1
RSA628204,1994-06-06,1994,6,6,157,,San Bernardino,"""Waters Road near Fernwood Dr., Seeley Creek drainagebetween Valley of Enchantment and Cedarpines Park.""",1400,34.25,-117.316667,,,,,cch1
RSA421485,1932-06-10,1932,6,10,162,integrifolia,San Bernardino,"""Lake Arrowhead, Grass Valley.""",1524,34.256449,-117.219894,1000,,,WGS84,cch1
RSA574968,1994-04-08,1994,4,8,98,integrifolia,San Bernardino,"""Eastern San Gabriel Mountains: Junction of Lone Pine Canyon & Cajon Canyon, 100 m W of Cajon Wash.""",823,34.269167,-117.4625,,,,,cch1
RSA715310,2000-05-20,2000,5,20,141,,San Bernardino,Miller Canyon next to East fork of West fork Mojave River. E of Silverwood Lake.,1098,34.270556,-117.291389,,,,,cch1
