specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,source
SD00010578,500062,1937-05-09,1937,5,9,129,integrifolia,FFL,San Diego,Lyons Valley,,,32.71175,-116.75089,1609,,,cch2
SD00010600,500198,2005-04-09,2005,4,9,99,integrifolia,FFL,San Diego,"Corral Canyon: Cleveland National Forest; south of Los Pinos Mountain and northwest of Lake Morena, near the road for the OHV area",granitic substrates,980,32.71417,-116.58694,,,,cch2
SD00010468,500144,1935-03-24,1935,3,24,83,,FL,San Diego,East of Jamul,,,32.71452,-116.83958,,,,cch2
SD00010519,500338,2010-03-20,2010,3,20,79,integrifolia,FL,San Diego,Rancho San Diego; N side of San Miguel Mountain; along Millar Ranch Road; 0.8 miles SE of intersection with Highway 94 (Campo Road); 45 yds W of Millar Ranch Road on rock bench in seasonal creek,"Granitic, rock bench in creekbed",203,32.72141,-116.93084,,,,cch2
SD00010516,500341,2010-04-11,2010,4,11,101,integrifolia,FFL,San Diego,"Cleveland National Forest near Cameron Fire Station, just north of 1-8 and Kitchen Creek Road. 300meters WNW of fire station",Gravelly sandy soil,1005,32.722,-116.4687,,,,cch2
RSA0073978,698481,2010-04-24,2010,4,24,114,,,San Diego County,Rancho San Diego; US Fish & Wildlife Refuge; N side of San Miguel Mountains; W of Millar Ranch Road; 0.37 miles SSW of junction with highway 94 (Campo Road).,"Granitic, near sandy bike path.",125,32.726,-116.9404,,,,cch2
SD00010619,500325,2010-04-24,2010,4,24,114,integrifolia,FFL,San Diego,Rancho San Diego; US Fish & Wildlife Refuge; N side of San Miguel Mountain; W of Millar Ranch Road; 0.37 miles SSW of junction with Highway 94 (Campo Road),"Granitic, near sandy bike path",125,32.72604,-116.94038,,,,cch2
SD00010610,500065,1938-03-21,1938,3,21,80,integrifolia,FL,San Diego,near Cañon Road Pt. Loma,,,32.72802,-117.23979,1126,,,cch2
SD00010625,500267,2010-05-06,2010,5,6,126,integrifolia,FL,San Diego,"Cleveland National Forest, Buckman Springs area; along Pacific Crest Trail, E of Interstate 8, about 1 mi NNW of junction with Kitchen Creek Road",Decomposed granite sand & granitic boulders.,975,32.7324,-116.4779,,,,cch2
SD00010562,500038,1884-01-23,1884,1,23,23,integrifolia,FL,San Diego,San Diego,,,32.73409,-117.12945,9654,,,cch2
SD00010653,500208,2007-03-25,2007,3,25,84,integrifolia,FFL,San Diego,"Cleveland National Forest: Pine Creek Wilderness; north of Barrett Lake, southeast of Alpine; north of the Horsethief Canyon Trailhead on Lyons Valley Road, along a trail in the bottom of Horsethief Canyon; note that this area was partially burned in 2006",granitic substrates,635,32.75472,-116.66222,,,,cch2
SD00010549,500146,1982-04-16,1982,4,16,106,integrifolia,FL,San Diego,"Pine Valley, Corte Madera Ranch",,1200,32.76409,-116.57253,1609,,,cch2
SD00010525,500332,1994-05-05,1994,5,5,125,integrifolia,FFL,San Diego,"Corte Madera Ranch, west of Pine Valley. West of reservoir, along road edge in Long Valley, approx 1½ mi south of Bear Valley Rd.",,1185,32.76818,-116.54245,,,,cch2
SD00010511,500196,2005-02-01,2005,2,1,32,integrifolia,FL,San Diego,"Sycuan Peak Ecological Reserve (California Dept. of Fish & Game): southeast of Dehesa, southwest of Loveland Reservoir; on the lower north side of Sycuan Peak, just southwest of a wet spring area along Sloan Canyon Road",granitic substrates,265,32.76889,-116.81278,,,,cch2
SD00010557,500066,1938-04-10,1938,4,10,100,integrifolia,FL,San Diego,Whispering Oaks near Sloane Ranch on Sweetwater River,,,32.77089,-116.7978,1609,,,cch2
SD00010530,500147,1979-04-20,1979,4,20,110,integrifolia,FL,San Diego,About 5 m east of stream in oak woodland in south end of Fred Canyon,,1340,32.77323,-116.43462,402,,,cch2
SD00010566,500124,1970-05-26,1970,5,26,146,integrifolia,FFL,San Diego,Pot-Hole Creek below Corte Madera Lake. Pine Valley,,970,32.78736,-116.58513,1609,,,cch2
SD00010597,500201,2006-04-21,2006,4,21,111,integrifolia,FFL,San Diego,"Loveland Reservoir (land owned by the Sweetwater River Valley Authority): S of Alpine, S of Japatul Valley Road and E of its junction with Dehesa Rd.; extreme NE end of lake, S-side of valley on N-facing slope and along the south shore of the lake",mostly granitic substrates with some reddish clays,415,32.79139,-116.75167,,,,cch2
SD00010548,500190,2004-03-25,2004,3,25,85,integrifolia,FL,San Diego,"4 miles south of pine valley, bear valley rd. 1 mile east of corte madera rd.",granite,1236,32.79583,-116.55,,,,cch2
SD00010524,500331,1994-05-02,1994,5,2,122,integrifolia,FFL,San Diego,"Meadow north of small reservoir, south-east of Corte Madera Valley. North-west of Pine Valley",,1151,32.80635,-116.54912,,,,cch2
SD00010607,500057,1936-04-23,1936,4,23,114,integrifolia,FFL,San Diego,burn in Habison Canyon,,,32.81302,-116.83831,2414,,,cch2
SD00010654,500197,2005-03-10,2005,3,10,69,integrifolia,FL,San Diego,"4 mi SE of Alpine. Lucky Light Ranch (inholding in Cleveland National Forest) off of Bell Bluff Truck Trail, ~1 mi E of Bell Bluff, south of Sweetwater River",,894,32.814,-116.672,,,,cch2
SD00010591,500285,2009-03-30,2009,3,30,89,integrifolia,FL,San Diego,"Mission Trails Regional Park, .5 mi. southwest of trailhead at Big Rock Park on Mesa Road in Santee, about 1.0 mi W of Hwy 52.",Red soil with occasional granitic outcrops,162,32.8237,-117.0219,,,,cch2
SD00010647,500215,2006-05-02,2006,5,2,122,integrifolia,FL,San Diego,"Descanso. Just N of I-8, ca. 1 1/3 mi E of its intersection with SR-79.","decomposed granite, rock outcropings meadows",1098,32.8242,-116.6039,,,,cch2
SD00010602,500025,1895-03-08,1895,3,8,67,integrifolia,FL,San Diego,La Jolla,,,32.8332,-117.25881,3218,,,cch2
SD00010616,500045,1935-02-27,1935,2,27,58,integrifolia,FFL,San Diego,North slope of Soledad Mt.,,,32.8442,-117.2525,644,,,cch2
SD00010593,500179,2004-05-22,2004,5,22,143,integrifolia,FFL,San Diego,"Laguna Mountains, Sunrise Highway, Kitchen Creek Truck Trail.",Granitic with black topsoil.,1562,32.8447,-116.4489,,,,cch2
SD00010520,500337,2011-05-06,2011,5,6,126,integrifolia,FL,San Diego,Laguna Mountains; near Sunrise Highway about 1/4 miles S of junction with Kitchen Creek Road,Soil comosed of surface organic loam over decomposed granite base.,1785,32.8447,-116.4486,,,,cch2
SD00010620,500263,2009-05-08,2009,5,8,128,integrifolia,FFL,San Diego,"Sunrise Highway, Laguna Mountains, Crouch Valley, north side. 5.49km north east of junction of Sunrise Highway and I-8",Open field,1554,32.8536,-116.4803,,,,cch2
SD00010515,500327,2015-05-28,2015,5,28,148,integrifolia,FFL,San Diego,Cleveland National Forest. Mount Laguna.,,1831,32.85686,-116.42813,,,,cch2
SDSU06105,380510,1990-05-06,1990,5,6,126,integrifolia,,San Diego,"Found in the Laguna Mountains at 6000 feet, about 10 miles north of Interstate 8 on sunshine Highway, on raodside. Near by associates: Claytonia perfoliata, species of the families Brassicaceae Poaceae and Polemoniaceae, Quercus sp and Pinus sp.",,,32.86077,-116.4217,806,,,cch2
SD00010651,500212,2005-02-25,2005,2,25,56,integrifolia,FL,San Diego,"Cleveland National Forest (Noble Canyon), Noble Canyon Trail (south of canyon), ca. 2½ mi from Noble Canyon Trailhead, accessed via Pine Valley, on Pine Creek Road.","dark soil, decomposed granodiorite.",1162,32.8627,-116.5106,,,,cch2
SD00010657,500194,2003-06-12,2003,6,12,163,integrifolia,FR,San Diego,Mack Trust property on Hwy 79 in Descanso (pre-acquisition survey),loamy alluvium,329,32.86417,-116.59389,,,,cch2
SDSU06141,2889635,1971-03-14,1971,3,14,73,menziesii,,San Diego,"El Capitan Reservoir, south side of Chocolate Arm.",,229,32.86654,-116.79655,2414,,,cch2
SD00010539,500174,2002-04-19,2002,4,19,109,integrifolia,FFL,San Diego,Kelley/Rebman Ranch at 565 Anderson Truck Trail on northwest side of Viejas Mountain: approx. 2 miles north of Victoria Road in Alpine,granitic substrates,818,32.87278,-116.7475,,,,cch2
SD00010537,500178,2004-03-28,2004,3,28,88,integrifolia,FL,San Diego,"Descanso, ca. ½ mile north of Hulburd Grove. Drainage running down to Sweetwater river, north-facing slope.",decomposed granite soil,1100,32.873,-116.6255,,,,cch2
SDSU15873,390085,2004-03-19,2004,3,19,79,integrifolia,,San Diego,"El Capitan reservor, just east of dam, above main road.","On sandy and gravelly slopes 30 -60degrees. Mesic to moderately xeric NW, N and NE aspect. Part to full sun. Chapparal community with Xylococcus dominant and abundant Quercus sp. (shrub) also Lonicera, Adenostoma and Heteromeles present.",305,32.87806,-116.80056,,,,cch2
SD00010457,500182,2004-03-19,2004,3,19,79,menziesii,FL,San Diego,"El Capitan Reservoir, just east of dam, above main road.","Sandy gravelly slopes; mesic to moderately xeric NW, NE, N aspect; slopes 30°-60°",305,32.87806,-116.80056,80,,,cch2
SD00010552,500068,1938-05-10,1938,5,10,130,integrifolia,FL,San Diego,Laguna Camp Ground,,,32.88727,-116.44724,805,,,cch2
SD00010658,500193,2004-04-30,2004,4,30,121,integrifolia,FL,San Diego,At southern end of Cuyamaca Rancho State Park off Hwy 79 on the South Boundary Fire Road (entrance is directly across from the East Mesa Fire Road entrance).,ashy granitic alluvium,329,32.88917,-116.57667,,,,cch2
SDSU13969,388286,2002-04-02,2002,4,2,92,menziesii,,San Diego,"Cuyamaca Mtn. State Park, Lower Descanso Creek Trail, ca. 1/2 mile from parking lot at Hwy 79 (at 3.1 mile marker), toward Oak Zanita Peak trail.","Gravelly loam. Exposed, flat area. Open region adjacent to Quercus agrifolia var. oxyadenia woodland.",1241,32.89361,-116.5725,,,,cch2
SDSU06135,380540,1967-05-13,1967,5,13,133,integrifolia,,San Diego,along the trail NE of Guymon Lodge,,,32.8941,-116.438,402,,,cch2
SD00010563,500118,1963-05-19,1963,5,19,139,integrifolia,FL,San Diego,"in grassy spot under oaks, ca. 1 mile W of Monument Peak, Laguna Mountains",,1800,32.8941,-116.43781,402,,,cch2
SD00010564,500126,1971-04-28,1971,4,28,118,integrifolia,FFL,San Diego,"In leaf litter, Echo Dell",,960,32.9,-116.65,402,,,cch2
SD00010558,500127,1971-03-31,1971,3,31,90,integrifolia,FL,San Diego,"Shaded area along dirt road east of small pond south of locked gate, Echo Dell 4 miles north of Descanso",,960,32.9,-116.65,402,,,cch2
SD00010590,500252,2007-04-04,2007,4,4,94,integrifolia,FL,San Diego,"Cleveland National Forest, Laguna Mountains, 1 mi SW of junction of Sunrise Hwy (S1) and Filaree Flat Rd S, N of Noble Canyon Creek","Clay loam soil, gentle, S facing slope, partial shade",1577,32.90152,-116.47683,,,,cch2
SD00010535,500180,2004-05-08,2004,5,8,129,integrifolia,FL,San Diego,"Square # 33: Noble Canyon Trail, 0.8 miles west of Sunrise Hwy trailhead; 100' east of Pine Creek Road junction","granodiorite, brown, loamy soil; gentle slope, north facing",1661,32.90417,-116.4725,,,,cch2
SD00010599,500199,2005-06-29,2005,6,29,180,integrifolia,FFL,San Diego,"Laguna Mountains: Cleveland National Forest; vicinity of Penny Pines above Storm Canyon, E of Sunrise Highway and W of the Pacific Crest Trail, SW of Garnet Peak",,1660,32.91444,-116.45778,,,,cch2
SD00010565,500107,1960-05-18,1960,5,18,139,integrifolia,FFL,San Diego,Green Valley,,1250,32.91667,-116.56667,402,,,cch2
SD00010459,500129,1971-04-22,1971,4,22,112,,FL,San Diego,"In forest leaf litter, Laguna Mountains",,1590,32.91667,-116.46667,1609,,,cch2
SD00010652,500209,2006-04-29,2006,4,29,119,integrifolia,FL,San Diego,"City of Lakeside. Silverwood Wildlife Sanctuary. 13003 Wildcat Canyon Road. Observation area, ¼ mi ESE of the intersection of Wildcat Canyon Rd and Old Barona Rd.",Stream bed with loose soil,460,32.918,-116.8808,,,,cch2
SD00010568,500061,1936-05-30,1936,5,30,151,integrifolia,FFL,San Diego,"Laguna Mts., near Garnet",,,32.92561,-116.45807,2011,,,cch2
SD00010572,500064,1937-06-10,1937,6,10,161,integrifolia,FFL,San Diego,"So. Fork of Featherstone Creek, Barona Valley",,,32.92704,-116.83838,1207,,,cch2
SD00010532,500186,2003-04-08,2003,4,8,98,integrifolia,FFL,San Diego,Laguna Mountains: Lucky 5 Ranch; southern portion of new acquisition by California State Parks: west side of Sunrise Hwy (S-1) between Cuyamaca Lake and Mount Laguna,mostly schist and granite,1600,32.93194,-116.49333,,,,cch2
SDSU06117,380522,1938-04-01,1938,4,1,91,integrifolia,,San Diego,Cuyamaca,,,32.93455,-116.6042,9654,,,cch2
SD00010606,500071,1938-05-27,1938,5,27,147,integrifolia,FFL,San Diego,"Harper Ranch, Rattlesnake Valley",,,32.94033,-116.51363,1207,,,cch2
SD00010589,500257,2008-03-19,2008,3,19,79,integrifolia,FL,San Diego,"East end of Los Penasquitos Canyon Preserve, 1 mi east of intersection I-15 and Poway Rd, S side of Los Penasquitos Canyon Creek",,123,32.9416,-117.0873,,,,cch2
SD00010550,500189,2004-05-18,2004,5,18,139,integrifolia,UNK,San Diego,"Rancho Cuyamaca State Park, West Mesa.","Moderate, NE-facing slope. Scattered boulders.",1387,32.94222,-116.57278,,,,cch2
SDSU19900,394070,2002-05-24,2002,5,24,144,integrifolia,,San Diego,"Saddle, just northeast of Cuyamaca Peak.",Open meadow. Pteridium aquilinum + mixed herbs.,1868,32.95028,-116.60639,,,,cch2
SD00010627,500228,2002-05-24,2002,5,24,144,integrifolia,n/a,San Diego,"Saddle, just northeast of Cuyamaca Peak.",,1868,32.95028,-116.60639,402,,,cch2
SD00010629,500250,2010-04-07,2010,4,7,97,integrifolia,FFL,San Diego,"Cleveland National Forest: Northeast of El Cajon Mountain, west of the San Diego River and south of Barona Mesa; just west of El Cajon Mountain Truck Trail",granitic substrates,670,32.95557,-116.79091,,,,cch2
SD00010604,500052,1935-04-27,1935,4,27,117,integrifolia,FL,San Diego,"Picnic Grounds, Cuyamaca Rancho State Park",,,32.95935,-116.57969,241,,,cch2
SD00010450,500265,2008-03-25,2008,3,25,85,menziesii,FL,San Diego,"San Diego, Crest Canyon, ½ mile W of Interstate 5, 225 yds S of Race Track View Drive, northern section off main trail",Detritus from Torrey Sandstone and fill from San Dieguito Lagoon,33,32.96111,-117.25556,,,,cch2
SDSU19911,394081,2012-05-05,2012,5,5,126,integrifolia,In flower.,San Diego,"Cuyamaca State Park, San Diego. Flat open, grassy area near Azalea Glen hiking trail.",Montane. Open grass area with some pine trees.,1490,32.96251,-116.58741,,,,cch2
SD00010650,500211,2005-03-06,2005,3,6,65,integrifolia,FL,San Diego,"Poway. A field at the end of Meadowbrook Lane, W of Meadowbrook Middle School, W of Pomerado Rd.","Linda Vista Formation, red sandy soil, some clay.",211,32.964,-117.0705,,,,cch2
SD00010598,500202,2006-04-27,2006,4,27,117,integrifolia,FFL,San Diego,"Monte Vista Ranch (owned by The Nature Conservancy): S of Ramona, NW of San Vicente Reservoir; S of San Vicente Road along Chuckwagon Road onto the Ranch; just east of the electric lines in Longs Gulch",clay and mud soils with some granite outcrops,337,32.96528,-116.87167,,,,cch2
SD00010660,500191,2004-03-23,2004,3,23,83,integrifolia,FL,San Diego,"Los Caballos Horse Camp, Cuyamaca Rancho State Park",Sandy loam,451,32.97222,-116.57167,,,,cch2
SD00010596,500200,2006-04-27,2006,4,27,117,integrifolia,FFL,San Diego,"Monte Vista Ranch (owned by The Nature Conservancy): S of Ramona, NW of San Vicente Reservoir; S of San Vicente Road along Chuckwagon Road onto the Ranch; along road west of central meadow",clay soils with some granite outcrops,338,32.97389,-116.87111,,,,cch2
SDSU12547,386895,1996-04-21,1996,4,21,112,menziesii,,San Diego,"Southern portion of Lake Cuyamaca, immediately north of Stone wall Mine. Lake Cuyamaca Park and Recreational District.","Alpine meadow near open mountain forest. Associated species: Collinsia parviflora, Limnanhes gracilis spp. parishii, Pinus jefferyi, Salix lasiolepis, various exotic grasses.",1433,32.975,-116.55417,,,,cch2
SD00010551,500121,1969-06-19,1969,6,19,170,integrifolia,FL,San Diego,"West slope of Middle Peak, Cuyamaca",,1400,32.98333,-116.6,402,,,cch2
SD00010605,500122,1967-06-18,1967,6,18,169,integrifolia,FFL,San Diego,"North Meadow, Middle Cuyamaca Peak",,1524,32.98333,-116.60833,402,,,cch2
SD00010630,500247,2008-04-12,2008,4,12,103,integrifolia,FL,San Diego,"Cleveland National Forest, W of Cuyamaca Mtns, about 1.25 mile west of intersection of Boulder Creek Road and Cedar Creek Road",granitic,750,32.987,-116.7093,,,,cch2
SD00010643,500222,2007-04-07,2007,4,7,97,integrifolia,FL,San Diego,"Cleveland National Forest, Cuyamaca Mountains, 9 mi W of Middle Peak, SE of Sunshine Mountain, Kelly Creek area, W of Boulder Creek Road","Sandy loam, 5% N slope above creek bed",884,32.9913,-116.6662,,,,cch2
SD00010553,500089,1935-05-18,1935,5,18,138,integrifolia,FL,San Diego,"Moist hillside, Cuyamaca Lake area",,,32.99264,-116.56513,4827,,,cch2
SD00010569,500059,1936-05-05,1936,5,5,126,integrifolia,FFL,San Diego,Meadow below Cuyamaca Lake,,,32.99283,-116.59522,805,,,cch2
SD00010531,500175,2003-03-15,2003,3,15,74,integrifolia,FL,San Diego,"Cuyamaca Lake, Lucky 5 Acquisition, Location 3 - Knoll with grassland on northeast side.",Julian Schist,1441,32.995,-116.53667,,,,cch2
SD00010633,500244,2008-03-08,2008,3,8,68,integrifolia,FL,San Diego,"Poway, behind Pomerado Hospital on Pomerado Rd.","Decomposed granite, boulders, sand",336,32.99836,-117.04968,,,,cch2
SD00010469,500128,1971-03-27,1971,3,27,86,menziesii,FL,San Diego,"Shade of live oaks along San Vicente Rd. near junction with Wildcat Canyon Rd., western San Vicente Valley.",,390,33,-116.83333,402,,,cch2
SD00010528,500328,1990-03-31,1990,3,31,90,integrifolia,FFL,San Diego,"San Elijo Lagoon Ecological Reserve; South of trail near junction with N. Rios Ave, Solana Beach. West of I-5, east of Hwy 101. South side of Reserve.",shaded n.-facing slope,15,33.003660000000004,-117.27198,,,,cch2
SD00010527,500329,2008-03-09,2008,3,9,69,menziesii,FFL,San Diego,"San Elijo Lagoon Ecological Reserve; South side of trail approx ½ way between trailheads, Santa Carina and Santa Helena. Solana Beach.",Sandy north-facing slope,6,33.00921,-117.24916,,,,cch2
SD00010636,500239,2008-03-11,2008,3,11,71,integrifolia,FL,San Diego,City of Solana Beach. San Elijo Ecological Reserve. South East section. Santa Helena entrance. 180 meters west of trail intersection north of Santa Helena entrance. 840 meters west of west end of El Camino Real,"Lightly disturbed area on slight north facing slope next to trail, Chino silt loam",2,33.0093,-117.249,,,,cch2
SD00010626,500233,2007-04-02,2007,4,2,92,integrifolia,FL,San Diego,"Lake Poway, Poway; entered at intersection of Espola Rd and Lake Poway Roads; collection points on the Lake Poway loop trail.",Granitic soils.,289,33.01095,-117.01225,,,,cch2
SD00010640,500225,2007-05-13,2007,5,13,133,integrifolia,FL,San Diego,"Cleveland National Forest, Cuyamaca Mountains, 1 mi W of North Peak, S of Cosmit Indian Reservation, E of Engineers Road, near Grandview Road",clayey loam 15% W slope,1372,33.016,-116.612,,,,cch2
SD00010623,500255,2008-03-07,2008,3,7,67,integrifolia,FL,San Diego,"Blue Sky Ecological Reserve, Poway. Ca. 0.25 mi SW of the Lake Ramona Dam and 1.5 mi NE of the intersection of Lake Poway Rd and Espola Rd.",Granitic soils changing from streamside moist soils to dry hillsides.,339,33.02106,-117.0006,,,,cch2
SD00010644,500221,2007-04-28,2007,4,28,118,integrifolia,FFL,San Diego,"Cleveland National Forest, west of Cuyamaca Mtns, about 5 miles south of intersection of Hwy 78 and Hwy 79, .25 mile north of Eagle Peak Road near road to Deadman Flat",granitic: steep north-facing slope,1040,33.0274,-116.6713,,,,cch2
SD00010631,500248,2008-04-04,2008,4,4,95,integrifolia,FL,San Diego,"Cleveland National Forest, W of Cuyamaca Mtns, about 0.5 miles east of Deadman Flat, about .25 miles north of Eagle Peak Road, about 2.75 milesby road SW of intersection with Boulder Creek Road",granitic: near crest of rocky knoll,1240,33.0344,-116.6609,,,,cch2
SD00010570,500060,1936-05-05,1936,5,5,126,integrifolia,FFL,San Diego,Pine Hills,,,33.04838,-116.63085,1609,,,cch2
SD00010595,500205,2005-01-22,2005,1,22,22,integrifolia,FL,San Diego,"Lake Hodges, S of Escondido. SE section of lake, 0.5 mi SE of summit of Bernardo Mtn, 0.5 mi W of I-15. Very near high-water mark (lake recently filled).","Gentle, NW slope.",105,33.0571,-117.0807,,,,cch2
SD00010544,500287,2013-03-26,2013,3,26,85,integrifolia,FFL,San Diego,Lake Hodges: south of Escondido; southeast of the intersection of Lake Drive and Beech Lane; along the north side of Lake southeast of the boat ramp; on a northeast-facing slope,,130,33.06329,-117.1004,,,,cch2
SD00010455,500241,2007-04-15,2007,4,15,105,menziesii,FL,San Diego,"Banner, 3 mi E of Julian, 0.2 mi. east of Banner Recreation Ranch, drainage south of State hwy. 78 south of remnant historic bridge and road.","above dry drainage, E-facing slope, sandy loam.",845,33.06759,-116.54417,,,,cch2
SDSU06111,380516,1988-04-24,1988,4,24,115,integrifolia,,San Diego,"Julian. Go 1/2 mile down Pine Hills Rd. off Hwy. 78. Turn left on private road and proceed for ca. 1/2 mile to small apple orchard on left. Proceed on foot in northerly direction ca. 100 yards; then east, crossing streambed and under barbed wire fence. Collection site is ca. 75 yards east of fence (Private property; permission required)","Growing under Arctostaphylos pungens in open, rocky, flat terrain. Nearby Associates: Erriogonum fasciclulatum and Lupinus.",,33.06859,-116.61022,805,,,cch2
SD00010601,500090,1935-04-19,1935,4,19,109,integrifolia,FFL,San Diego,Near Banner,,,33.06883,-116.54613,1207,,,cch2
SD00010536,500185,2004-03-27,2004,3,27,87,integrifolia,UNK,San Diego,"3225 Pine Hills Road, Julian, CA 92036",Loamy soil and some exposed rocks -- volcanic type with some quartz veins. Some flat areas but also steep slopes.,1290,33.07056,-116.60194,,,,cch2
SD00010573,500069,1938-05-10,1938,5,10,130,integrifolia,FFL,San Diego,Pine Hills Junction,,,33.07822,-116.61748,402,,,cch2
SD00010449,500270,2010-04-01,2010,4,1,91,menziesii,FFL,San Diego,"San Felipe Valley Wildlife Area, California Fish & Game property. SW of San Felipe Valley, 1.6 miles ENE of Banner and 3.0 miles WSW of intersection of County Road S-2 and State hwy. 78. S-side of 78.","W-facing, sandy slope below rocky hill.",770,33.08049,-116.52357,,,,cch2
