specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
DAV300340,1933-04-02,1933,4,2,92,,Riverside County,Riverside County: Box Springs Hills.,,33.98152,-117.29485,3072,,,WGS84,cch2,1372972,,,http://cch2.org/portal/collections/individual/index.php?occid=1372972,,,,,,,,,
DAV300371,1964-03-26,1964,3,26,86,,San Bernardino County,San Bernardino County: Dry Morongo Valley.,,34.0457,-116.6202,2000,,,WGS84,cch2,1372847,,,http://cch2.org/portal/collections/individual/index.php?occid=1372847,,,,,,,,,
JEPS1517,1928-04-18,1928,4,18,109,integrifolia,Los Angeles,"Griffith Park Los Angeles, Griffith Park",,34.134533,-118.30477,3384,,,NAD27,cch2,3266352,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3266352,,,,,,,,,
IRVC100600,2005-02-13,2005,2,13,44,,San Bernardino,"Ca. 1.5 miles E of Pioneertown, UC Burns Pinyon Ridge Reserve; middle part of the Resere on ridge between Boo"" and Jean"" canyons (tribs. to N Railroad Canyon). Decomposed granite soils with granite boulders",1250,34.14472,-116.45222,1000,,,WGS84,cch2,634908,Flowering & Fruiting,Pinyon juniper woodland,http://cch2.org/portal/collections/individual/index.php?occid=634908,,,,,,,,,
DAV300392,1974-04-27,1974,4,27,117,integrifolia,Los Angeles County,"Los Angeles County: Evey Canyon, a side canyon of San Antonio Canyon. San Gabriel Mts. Mt. Range.",732,34.167795,-117.68615,700,,,WGS84,cch2,1372996,,,http://cch2.org/portal/collections/individual/index.php?occid=1372996,,,,,,,,,
DAV300393,1993-03-28,1993,3,28,87,integrifolia,San Bernardino County,"San Bernardino County: San Bernardino Mtns.: Waterman Canyon, 1 km W of Arrowhead Hot Spr. Hotel, at and below the 1st stream Xing of Old Waterman C. Rd. Along E cyn wall.",600,34.188765,-117.273261,400,,,WGS84,cch2,1372995,,,http://cch2.org/portal/collections/individual/index.php?occid=1372995,,,,,,,,,
DAV300338,1961-03-24,1961,3,24,83,,San Bernardino County,San Bernardino County: Barett Canyon one mile north of Ranger Station in San Antonio Canyon on Old Road. San Bernardino Mt. Range.,762,34.193742,-117.676792,1700,,,WGS84,cch2,1372971,,,http://cch2.org/portal/collections/individual/index.php?occid=1372971,,,,,,,,,
DAV300404,1971-04-02,1971,4,2,92,menziesii,San Bernardino County,"San Bernardino County: Day Canyon, San Bernardino National Forest.",,34.201929,-117.5519,3500,,,WGS84,cch2,1372998,,,http://cch2.org/portal/collections/individual/index.php?occid=1372998,,,,,,,,,
DAV300395,1962-06-03,1962,6,3,154,integrifolia,San Bernardino County,"San Bernardino County: Near Lake Arrowhead Hospital, N shore.",1585,34.27027,-117.18365,1479,,,WGS84,cch2,1372993,,,http://cch2.org/portal/collections/individual/index.php?occid=1372993,,,,,,,,,
DAV300346,1945-04-07,1945,4,7,97,,Santa Barbara County,"Santa Barbara County: Woodland of Rattlesnake Canyon, Santa Barbara.",305,34.4575,-119.6915,1500,,,WGS84,cch2,1372976,,,http://cch2.org/portal/collections/individual/index.php?occid=1372976,,,,,,,,,
DAV300394,1978-04-01,1978,4,1,91,integrifolia,Los Angeles County,Los Angeles County: West side of Sierra Hwy. and 1 mile north of State Hwy. 14.,988,34.512875,-118.236764,500,,,WGS84,cch2,1372994,,,http://cch2.org/portal/collections/individual/index.php?occid=1372994,,,,,,,,,
DAV300356,1980-04-01,1980,4,1,92,,Los Angeles County,"Los Angeles County: Hungry Valley SVRA. (Exact location unknown. This park is mostly in Los Angeles county, but also includes parts of Ventura and Kern counties. Coordinates estimated by the label maker.)",,34.766905,-118.857918,8759,,,WGS84,cch2,1404681,,,http://cch2.org/portal/collections/individual/index.php?occid=1404681,,,,,,,,,
JEPS1803,1941-04-29,1941,4,29,119,,San Bernardino,"Willow Springs Canyon Mohave Desert, Old Dad Mountains, Willow Springs Canyon (Old Dad Mountains, Mohave Desert)",1371,34.77,-115.683,393,,,WGS84,cch2,3315690,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3315690,,,,,,,,,
JEPS1914,1927-04-09,1927,4,9,99,,Kern,Tehachapi Valley,,35.1125,-118.43611,,,,,cch2,3475111,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3475111,,,,,,,,,
DAV300344,1993-03-19,1993,3,19,78,,San Luis Obispo County,"San Luis Obispo County: Carrizo Plain Natural Area, grassland along Soda Lake Rd., 2.3 miles NW of intersection with dirt road leading to Painted Rock and Education Center.",,35.207474,-119.866929,1000,,,WGS84,cch2,1372974,,,http://cch2.org/portal/collections/individual/index.php?occid=1372974,,,,,,,,,
DAV300372,1993-04-25,1993,4,25,115,,Kern County,"Kern County: Tehachapi Mountains., 1 mile N of Tehachapi Loop.",1676,35.212387,-118.545448,5000,,,WGS84,cch2,1372848,,,http://cch2.org/portal/collections/individual/index.php?occid=1372848,,,,,,,,,
JEPS1492,1935-02-10,1935,2,10,41,,Kern,"12 mi ne Bakersfield (low hills s Kern River, Cottonwood Creek, Greenhorn foothills); Greenhorn foothills, s of Kern River, Cottonwood Creek",,35.388786,-118.793434,4036,,,NAD27,cch2,3560291,Flowering/Fruiting,low hills,http://cch2.org/portal/collections/individual/index.php?occid=3560291,,,,,,,,,
DAV300334,1974-04-22,1974,4,22,112,,San Luis Obispo County,"San Luis Obispo County: In Commatti Canyon (aka Camatta Canyon), 1.1 miles N of CA 58.",,35.440416,-120.287907,1000,,,WGS84,cch2,1372967,,,http://cch2.org/portal/collections/individual/index.php?occid=1372967,,,,,,,,,
JEPS79245,1980-04-06,1980,4,6,97,,Tulare,0.5 mi ssw of junction of Avenue 72 and Road 10 (Pixley National Wildlife Refuge); Pixley National Wildlife Refuge,83,35.970917,-119.3725,7351,,,NAD27,cch2,3560145,Flowering/Fruiting,along poorly marked dirt road. Valley grassland community.,http://cch2.org/portal/collections/individual/index.php?occid=3560145,,,,,,,,,
JEPS1493,1938-05-25,1938,5,25,145,,San Benito,"1 mi s Idria; Inner South Coast Ranges, San Carlos Range",914,36.403248,-120.672295,2995,,,NAD27,cch2,3303659,Flowering/Fruiting,open shale banks in Quercus douglasii & Pinus sabiniana,http://cch2.org/portal/collections/individual/index.php?occid=3303659,,,,,,,,,
JEPS3134,1915-03-28,1915,3,28,87,,Tulare,"Shepherd Cove , Shepherd Cove (Sequoia National Park)",396,36.47714,-118.85665,673,,,NAD27,cch2,3230631,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3230631,,,,,,,,,
JEPS1912,1907-05-23,1907,5,23,143,,Tulare,Limekiln Creek,,36.704,-118.957,3219,,,NAD27,cch2,3314766,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3314766,,,,,,,,,
JEPS1796,1929-03-28,1929,3,28,87,,Fresno,Little Dry Creek near Sparkville; Little Dry Creek near Sparkville,198,36.968315,-119.61253,818,,,NAD27,cch2,3510862,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3510862,,,,,,,,,
JEPS81922,1983-04-10,1983,4,10,100,,Santa Cruz,"ca 17 mi nw Santa Cruz (central Buckeye Grove Gulch, H-H Ranch: located between California 1 and Swanton Rd, se of Greyhound Rock, w and nw of Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Buckeye Grove Gulch",76,37.083332,-122.25,,,,,cch2,3329236,Flowering/Fruiting,forest opening; 60-70% nw-fcg slope; soil derived fr deomposed Santa Cruz mudstone enriched w/humus,http://cch2.org/portal/collections/individual/index.php?occid=3329236,,,,,,,,,
JEPS82016,1983-01-23,1983,1,23,23,,Santa Cruz,"ca 17 mi nw Santa Cruz (nw-facing slope of Haybarn Gulch, H-H Ranch, btw CA 1 and Swanton Rd, se of Greyhound Rock, w and nw of Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Haybarn Gulch",85,37.083332,-122.25,,,,,cch2,3426033,Flowering/Fruiting,"steep nw-fcg slope, partial shade, rocky soil derived fr Santa Cruz mudstone enriched w/humus",http://cch2.org/portal/collections/individual/index.php?occid=3426033,,,,,,,,,
JEPS82021,1983-03-15,1983,3,15,74,,Santa Cruz,"ca 17 mi nw Santa Cruz (se-fcg slope Buckeye Grove Ridge, H-H Ranch, btw CA 1 and Swanton Rd, se of Greyhound Rock, w and nw Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Buckeye Grove Ridge",97,37.083332,-122.25,,,,,cch2,3498432,Flowering/Fruiting,"30% se-fcg slope, in Aesculus grove w/grassy understory, rocky soil derived fr Santa Cruz mudstone",http://cch2.org/portal/collections/individual/index.php?occid=3498432,,,,,,,,,
JEPS1488,1938-05-07,1938,5,7,127,,Madera,"11 mi sw Coarse Gold (3 mi sw of Kelshaw Corners, Sierra Nevada foothills); Sierra Nevada foothills, sw of Coarse Gold, sw Kelshaw Corne",762,37.121006,-119.77128,2836,,,NAD27,cch2,3291661,Flowering/Fruiting,"n bank with granitic boulders in rhamnus crocea & ceanothus, Pinus sabiniana-Quercus wislizenii belt",http://cch2.org/portal/collections/individual/index.php?occid=3291661,,,,,,,,,
JEPS30298,1961-04-08,1961,4,8,98,,Fresno,"Kerckhoff Lake Bridge 1.5 mi s toward Auberry (and 0.6 mi e on fire road); Kerckhoff Lake Bridge, toward Auberry",,37.130318,-119.49819,1783,,,NAD27,cch2,3231802,Flowering/Fruiting,grassland (under foot high) btw scattered brush & trees; Foothill Woodland,http://cch2.org/portal/collections/individual/index.php?occid=3231802,,,,,,,,,
JEPS1498,1933-04-01,1933,4,1,91,,Santa Clara,Robertsville,106,37.26333,-121.87528,,,,,cch2,3195175,Flowering/Fruiting,on open hillsides,http://cch2.org/portal/collections/individual/index.php?occid=3195175,,,,,,,,,
DAV300349,1967-03-09,1967,3,9,68,,Alameda County,Alameda County: One mile southeast of Verona.,,37.619072,-121.864916,1500,,,WGS84,cch2,1372980,,,http://cch2.org/portal/collections/individual/index.php?occid=1372980,,,,,,,,,
DAV300366,1958-03-17,1958,3,17,76,,Stanislaus County,Stanislaus County: In vicinity of La Grange.,,37.66423,-120.46039,806,,,NAD27,cch2,1372842,,,http://cch2.org/portal/collections/individual/index.php?occid=1372842,,,,,,,,,
JEPS1916,1891-03-22,1891,3,22,81,,San Francisco,Lake Merced,,37.7198,-122.49132,2456,,,NAD27,cch2,3241438,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3241438,,,,,,,,,
JEPS127095,2016-04-19,2016,4,19,110,menziesii,Contra Costa,"2.3 miles (air) southwest of Los Vaqueros Reservoir Dam, approximately 25 miles (air) southwest of Stockton. Undesignated section of Canada de Los Vaqueros Land Grant, Byron Hot Spring USGS 7.5' Quad.",160,37.807453,-121.746961,,,,WGS84,cch2,3312937,Flowering/Fruiting,"Foothill Woodland. On dry soil, along south side of road exit at Los Vaqueros Reservoir Marina.",http://cch2.org/portal/collections/individual/index.php?occid=3312937,,,,,,,,,
JEPS25353,1959-03-19,1959,3,19,78,,Contra Costa,"2.4 mi w Byron (s-facing low hill along Camino Diablo, 0.3 mi e of junction with Vasco Road); along Camino Diablo, w of Byron",60,37.86474,-121.679,851,,,NAD27,cch2,3279415,Flowering/Fruiting,on s-fcg low hill,http://cch2.org/portal/collections/individual/index.php?occid=3279415,,,,,,,,,
DAV300397,2002-04-24,2002,4,24,114,menziesii,Contra Costa County,Contra Costa County: Mount Diablo State Park. North Peak Road to North Peak.,890,37.866667,-121.883333,,,,,cch2,1355580,,,http://cch2.org/portal/collections/individual/index.php?occid=1355580,,,,,,,,,
JEPS3131,1931-03-08,1931,3,8,67,,Contra Costa,"w bank Mitchell Canyon, Mount Diablo Mount Diablo, Mitchell Canyon",304,37.900337,-121.9519,2229,,,NAD27,cch2,3193559,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3193559,,,,,,,,,
JEPS3129,1917-03-31,1917,3,31,90,,Marin,Mill Valley,,37.90611,-122.54389,2171,,,NAD27,cch2,3180184,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3180184,,,,,,,,,
JEPS1487,1939-03-19,1939,3,19,78,,Marin,"w side Mt. Tamalpais , Cataract Canyon (Cataract Canyon)",,37.920685,-122.62479,1622,,,NAD27,cch2,3485635,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3485635,,,,,,,,,
JEPS3067,1916-03-12,1916,3,12,72,,Tuolumne,near Jamestown; nr Jamestown,457,37.95333,-120.42167,,,,,cch2,3279548,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3279548,,,,,,,,,
JEPS77206,1963-04-24,1963,4,24,114,atomaria,Marin,on Bolinas Road 5 mi s Fairfax,274,37.961857,-122.62954,4188,,,NAD27,cch2,3182148,Flowering/Fruiting,open grassy hilltop,http://cch2.org/portal/collections/individual/index.php?occid=3182148,,,,,,,,,
JEPS111846,2005-03-25,2005,3,25,84,menziesii,Contra Costa,Pinole Peak Fernandez Ranch. West of Christie Road. South of I-4 (behind golf course) and North of Pinole Peak,250,37.984165,-122.202774,100,,,WGS84,cch2,3292491,,on north-facing slopes; Plectritis and Collinsia sparsiflora.,http://cch2.org/portal/collections/individual/index.php?occid=3292491,,,,,,,,,
DAV300362,1931-03-29,1931,3,29,88,,Marin County,Marin County: Point Reyes.,,38.073889,-122.926944,11236,,,WGS84,cch2,1399500,,,http://cch2.org/portal/collections/individual/index.php?occid=1399500,,,,,,,,,
JEPS3117,1915-05-14,1915,5,14,134,,Tuolumne,"near Italian Bar (French Camp, South Fork Stanislaus River); South Fork Stanislaus River, near Italian Bar",1005,38.07775,-120.367325,174,,,NAD27,cch2,3487876,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3487876,,,,,,,,,
JEPS35787,1964-03-25,1964,3,25,85,atomaria,Sonoma,plowed field just off Arnold Drive at its junction with Fowler Creek Road (Sonoma Valley); Sonoma Valley,35,38.28706,-122.49319,678,,,NAD27,cch2,3511692,Flowering/Fruiting,"Plowed field, a single plant growing in a population of N. Menziesii",http://cch2.org/portal/collections/individual/index.php?occid=3511692,,,,,,,,,
DAV300345,1973-05-10,1973,5,10,130,,Sonoma,"CALIFORNIA: Sonoma County, Bodega Bay Head.",,38.312739,-123.064749,1765,,,WGS84,cch2,1298941,,,http://cch2.org/portal/collections/individual/index.php?occid=1298941,,,,,,,,,
DAV300381,1997-05-12,1997,5,12,132,atomaria,Sonoma County,"Sonoma County: Bodega Bay, in front of University of California Marina Laboratory.",24,38.33333333,-123.1666667,,,,,cch2,1406410,,,http://cch2.org/portal/collections/individual/index.php?occid=1406410,,,,,,,,,
DAV300386,1975-04-13,1975,4,13,103,atomaria,Napa County,"Napa County: Soda Canyon Road, near outlet of canyon.",61,38.374167,-122.281111,1807,,,WGS84,cch2,1399061,,,http://cch2.org/portal/collections/individual/index.php?occid=1399061,,,,,,,,,
JEPS110841,1977-03-14,1977,3,14,73,,Napa,.2 mile north of Silverado Trail on Soda Canyon Rd.,121,38.3801,-122.2904,805,,,,cch2,3180242,,"volcanic under trees in pasture, west slope",http://cch2.org/portal/collections/individual/index.php?occid=3180242,,,,,,,,,
JEPS110847,1982-02-16,1982,2,16,47,menziesii,Napa,.3 mile north of Chimney Golf Course on Silverado Trail,20,38.3801,-122.3087,805,,,,cch2,3230205,,"alluvium open flat, marshy ground",http://cch2.org/portal/collections/individual/index.php?occid=3230205,,,,,,,,,
DAV300389,1988-02-21,1988,2,21,52,atomaria,Sonoma County,Sonoma County: South of Mt. St. Helena. Near Kenwood.,,38.426644,-122.558797,2500,,,WGS84,cch2,1372989,,,http://cch2.org/portal/collections/individual/index.php?occid=1372989,,,,,,,,,
DAV300405,1995-05-21,1995,5,21,141,menziesii,Napa County,Napa County: South side of Highway 128 about 3 mi. west of Wragg Canyon Rd.,250,38.433333,-122.166667,,,,,cch2,1373002,,,http://cch2.org/portal/collections/individual/index.php?occid=1373002,,,,,,,,,
DAV300383,1993-05-08,1993,5,8,128,atomaria,Sonoma County,Sonoma County: About 40 air miles N of San Francisco; about 11 air miles E of Santa Rosa and 2.5 air miles NE of Kenwood. In Adobe Canyon N of Sugarloaf Ridge and S of Red Mtn 1 mile.,,38.436744,-122.514134,1000,,,WGS84,cch2,1372986,,,http://cch2.org/portal/collections/individual/index.php?occid=1372986,,,,,,,,,
DAV300399,1993-04-24,1993,4,24,114,menziesii,Sonoma County,"Sonoma County: Sugarloaf Ridge State Park. About 50 air miles N of San Francisco, 10 air miles E of Santa Rosa, 2.5 air miles NE of Kenwood and 18 air miles NW of Napa. Along Hillside Trail.",381,38.437955,-122.498336,1000,,,WGS84,cch2,1373001,,,http://cch2.org/portal/collections/individual/index.php?occid=1373001,,,,,,,,,
DAV300387,1993-04-17,1993,4,17,107,atomaria,Sonoma County,"Sonoma County: About 40 air miles N of San Francisco, 11 air miles E of Santa Rosa, and 2.5 air miles NE of Kenwood. In Adobe Canyon N of Sugarloaf Ridge and S of Red Mtn. 1 mile. Near visitor center.",366,38.442184,-122.527836,1000,,,WGS84,cch2,1372991,,,http://cch2.org/portal/collections/individual/index.php?occid=1372991,,,,,,,,,
JEPS21155,1936-04-27,1936,4,27,118,,Amador,"1/2 mi sw Sugar Loaf (sw of Plymouth); Jackson Quad., sw of Sugar, sw of Plymouth",243,38.4456,-120.8816,805,,,NAD27,cch2,3548538,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3548538,,,,,,,,,
DAV300406,2000-02-07,2000,2,7,38,menziesii,Yolo County,"Grasslands Regional Park. East of Davis, from intersection of I-80 and Mace Blvd., 3.5 mi. south on Mace Blvd.(County Road 104), thence east 1/4 mi along unpaved entrance road, then south about 200 yd.",12,38.492222,-121.686667,,,,,cch2,1301674,,,http://cch2.org/portal/collections/individual/index.php?occid=1301674,,,,,,,,,
JEPS110848,1998-04-11,1998,4,11,101,atomaria,Napa,Langtry Road at Napa/Sonoma County line.,579,38.4957,-122.5283,805,,,,cch2,3474940,,"shale. On mossy, north facing slope with Linanthus and Phlox gr",http://cch2.org/portal/collections/individual/index.php?occid=3474940,,,,,,,,,
DAV300369,1945-02-15,1945,2,15,46,,Yolo County,"Yolo County: Putah Creek Canyon, west of Winters.",,38.5017,-122.02626,804,,,WGS84,cch2,1372845,,,http://cch2.org/portal/collections/individual/index.php?occid=1372845,,,,,,,,,
DAV300354,1967-03-23,1967,3,23,82,,Napa County,Napa County: c. 1 mi S of Spanish Flat.,168,38.52235,-122.21685,400,,,WGS84,cch2,1372985,,,http://cch2.org/portal/collections/individual/index.php?occid=1372985,,,,,,,,,
DAV300400,2012-05-05,2012,5,5,126,menziesii,Napa County,"Napa County: Las Posadas State Experimental Forest. Northeastern part of property, on Recreation flat.",388,38.561667,-122.403333,,,,NAD83,cch2,1371106,,,http://cch2.org/portal/collections/individual/index.php?occid=1371106,,,,,,,,,
DAV300363,2006-04-25,2006,4,25,115,,Napa County,"Napa County: Howell Mountain Plateau, about 1 km west of Angwin. McCrane property. Vineyard conversion.",526,38.578333,-122.460556,50,,,WGS84,cch2,1397330,,,http://cch2.org/portal/collections/individual/index.php?occid=1397330,,,,,,,,,
JEPS3962,1938-04-14,1938,4,14,104,,El Dorado,Nashville,,38.57889,-120.84417,,,,,cch2,3485861,Flowering/Fruiting,"data in packet as ""Consumnes River"" but no mention of it on label",http://cch2.org/portal/collections/individual/index.php?occid=3485861,,,,,,,,,
JEPS110845,1994-04-16,1994,4,16,106,menziesii,Napa,North end of Chiles Valley near Chiles- Pope Valley Road.,228,38.5824,-122.4002,805,,,,cch2,3340493,,alluvium In low swale in cultivated field.,http://cch2.org/portal/collections/individual/index.php?occid=3340493,,,,,,,,,
DAV300374,2007-03-23,2007,3,23,82,,Yolo County,"Yolo Co.: Tuleyome Ireland Ranch. In inner coast range northwest of the City of Winters between Salt Creek and Enos Creek, just north of Wild Cow Mountain. SW portion of ranch.",703,38.588833,-122.124167,,,,NAD83,cch2,1322837,,,http://cch2.org/portal/collections/individual/index.php?occid=1322837,,,,,,,,,
JEPS110844,1996-03-23,1996,3,23,83,menziesii,Napa,".3 mile from Pope Canyon Road on Hardin Road, near airstrip.",184,38.6113,-122.3819,805,,,,cch2,3340573,,alluvium In cultivated field; flat.,http://cch2.org/portal/collections/individual/index.php?occid=3340573,,,,,,,,,
JEPS110846,1998-04-18,1998,4,18,108,menziesii,Napa,"Pope Valley, N of intersection of Pope Canyon Rd X Hardin Rd",182,38.6113,-122.4002,805,,,,cch2,3363476,,alluvium In deep loamy soil that has been ripped for grapes; flat,http://cch2.org/portal/collections/individual/index.php?occid=3363476,,,,,,,,,
DAV300335,1972-04-22,1972,4,22,113,,Napa County,Napa Co.: Pope Valley.,,38.6151,-122.4282,5200,,,WGS84,cch2,1337092,,,http://cch2.org/portal/collections/individual/index.php?occid=1337092,,,,,,,,,
DAV300328,1995-04-10,1995,4,10,100,,Napa County,Napa County: Along Chiles Valley/Pope Valley Rd. approx. 2 m. S of Pope Canyon Rd. intersection. North Coast Biodiversity Arena.,175,38.616667,-122.383333,,,,,cch2,1372672,,,http://cch2.org/portal/collections/individual/index.php?occid=1372672,,,,,,,,,
DAV300388,1998-03-14,1998,3,14,73,atomaria,Sonoma County,"Sonoma County: Foote Ranch, NW base of Mt. St. Helena, corner of Ida Clayton Rd. and Hwy 128. Near 2nd pond on Foote Creek. North Coast Biodiversity Arena.",110,38.638058,-122.681057,500,,,WGS84,cch2,1372990,,,http://cch2.org/portal/collections/individual/index.php?occid=1372990,,,,,,,,,
DAV300390,1975-08-30,1975,8,30,242,atomaria,Sonoma County,"Sonoma County: Property of Oceanic Properties, Unit 7 Owners' Map, Sea Ranch, near State Highway 1.",,38.71519,-123.454453,1500,,,WGS84,cch2,1372988,,,http://cch2.org/portal/collections/individual/index.php?occid=1372988,,,,,,,,,
DAV300325,1962-03-24,1962,3,24,83,,Placer County,Placer County: 6 miles west of Roseville.,,38.72944444,-121.3972222,,,,NAD27,cch2,1372670,,,http://cch2.org/portal/collections/individual/index.php?occid=1372670,,,,,,,,,
DAV300401,2011-04-30,2011,4,30,120,menziesii,El Dorado County,El Dorado County: North of Cameron Park. Pine Hill Preserve. Kanaka Valley Unit. Kanaka Valley near main dirt road.,305,38.749444,-121.024444,,,,NAD83,cch2,1348771,,,http://cch2.org/portal/collections/individual/index.php?occid=1348771,,,,,,,,,
DAV300355,2015-03-14,2015,3,14,73,,Napa County,"Napa County: Knoxville Wildlife Area, west of Zim Zim Creek.",242,38.754721,-122.294593,,,,WGS84,cch2,1405860,,,http://cch2.org/portal/collections/individual/index.php?occid=1405860,,,,,,,,,
DAV300379,1977-03-14,1977,3,14,73,atomaria,Napa County,"Napa County: Soda Canyon Road, 2.2 miles north of Silverado Trail.",137,38.75949316,-122.2648256,,,,NAD27,cch2,1403922,,,http://cch2.org/portal/collections/individual/index.php?occid=1403922,,,,,,,,,
DAV300385,1975-03-27,1975,3,27,86,atomaria,Sonoma County,Sonoma County: Mayacmas Mountains. The Geysers. Site A-8. (Elevation estimated using Google Earth by label maker.),701,38.799444,-122.830833,960,,,WGS84,cch2,1396957,,,http://cch2.org/portal/collections/individual/index.php?occid=1396957,,,,,,,,,
DAV300359,1974-03-27,1974,3,27,86,,Sonoma County,Sonoma County: Mayacmas Mountains. The Geysers. Site A-8. (Elevation estimated using Google Earth by label maker.),701,38.799444,-122.830833,960,,,WGS84,cch2,1399350,,,http://cch2.org/portal/collections/individual/index.php?occid=1399350,,,,,,,,,
DAV300361,1975-04-15,1975,4,15,105,,Lake County,"Lake County: Mayacmas Mountains, Francisco Property. High Valley Creek. (Elevation estimated using Google Earth by label maker.)",945,38.830833,-122.768889,250,,,WGS84,cch2,1396964,,,http://cch2.org/portal/collections/individual/index.php?occid=1396964,,,,,,,,,
DAV300358,1975-05-22,1975,5,22,142,,Lake County,"Lake County: Mayacmas Mountains, Francisco Property. High Valley Creek. (Coordinates, location, and elevation estimated by label maker.)",792,38.838333,-122.769722,500,,,WGS84,cch2,1399540,,,http://cch2.org/portal/collections/individual/index.php?occid=1399540,,,,,,,,,
DAV300360,1975-03-26,1975,3,26,85,,Lake County,"Lake County: Mayacmas Mountains, Childers Peak area. Barceloux Ranch, east of Big Canyon Road. (Elevation estimated using Google Earth by label maker.)",579,38.840278,-122.627222,700,,,WGS84,cch2,1398684,,,http://cch2.org/portal/collections/individual/index.php?occid=1398684,,,,,,,,,
