specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC880907,3150290,1940-04-09,1940,4,9,100,integrifolia,Flowering/Fruiting,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",,1828,32.85186,-116.45182,3219,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3150290,cch2,,,,,,,,,
UC1057251,3161125,1957-04-03,1957,4,3,93,integrifolia,Flowering/Fruiting,San Diego,"ne La Jolla (flat summit of first low hill across canyon ne of Soledad Mountain); ne of Soledad Mountain, ne of La Jolla","sandy soil, flat summit of first low hill across canyon",124,32.86361,-117.22359,1610,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161125,cch2,,,,,,,,,
UC1019606,3162223,1927-04-15,1927,4,15,105,integrifolia,Flowering/Fruiting,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",hillside,,32.86952,-116.84145,1609,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3162223,cch2,,,,,,,,,
UC173769,3159019,1894-04-03,1894,4,3,93,integrifolia,Flowering/Fruiting,San Diego,Ramona,,,33.04179,-116.86803,4828,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3159019,cch2,,,,,,,,,
UC67153,3155222,1894-03-28,1894,3,28,87,integrifolia,Flowering/Fruiting,San Diego,Encinitas,,,33.0435,-117.2639,3218,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3155222,cch2,,,,,,,,,
UC486458,3153009,1932-06-01,1932,6,1,153,integrifolia,Flowering/Fruiting,San Diego,Banner Grade,,,33.0782,-116.565,2575,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153009,cch2,,,,,,,,,
UC67154,3149139,1904-04-04,1904,4,4,95,integrifolia,Flowering/Fruiting,San Diego,Witch Creek,,792,33.08272,-116.71691,3621,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149139,cch2,,,,,,,,,
UC24270,3149419,1894-04-01,1894,4,1,91,integrifolia,Flowering/Fruiting,San Diego,Witch Creek,,,33.08272,-116.71691,3621,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149419,cch2,,,,,,,,,
UC501545,3333803,1929-03-31,1929,3,31,90,,Flowering/Fruiting,San Diego,"e Julian (Foster Grade, just below Banner); Foster Grade, e of Julian, just below Banner",growing under bushes,,33.0828,-116.572,2575,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3333803,cch2,,,,,,,,,
UC168372,3151835,1894-06-16,1894,6,16,167,integrifolia,Flowering/Fruiting,San Diego,El Volcan,,,33.10202,-116.57905,403,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151835,cch2,,,,,,,,,
UC24212,3455119,1921-04-09,1921,4,9,99,,Flowering/Fruiting,San Diego,Santa Ysabel,,,33.10921,-116.67308,1609,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3455119,cch2,,,,,,,,,
UC1019605,3293194,1926-03-19,1926,3,19,78,,Flowering/Fruiting,San Diego,near gate to entrance San Felipe Ranch (between Julian and Colorado Desert); between Julian and Colorado Desert,,,33.1125,-116.523,1609,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3293194,cch2,,,,,,,,,
UC489143,3155182,1927-04-01,1927,4,1,91,integrifolia,Flowering/Fruiting,San Diego,Escondido,,,33.12177,-117.06739,4828,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3155182,cch2,,,,,,,,,
UC880906,3457909,1940-04-12,1940,4,12,103,,Flowering/Fruiting,San Diego,10 mi s Warner's Hot Springs; s of Warner's Hot Springs,wash in chaparral,,33.13577,-116.67753,4828,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3457909,cch2,,,,,,,,,
UC797643,3148321,1935-05-08,1935,5,8,128,integrifolia,Flowering/Fruiting,San Diego,on Black Canyon Rd 5 mi s Mesa Grande; s of Mesa Grande,,,33.136,-116.791,805,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148321,cch2,,,,,,,,,
UC107233,3354437,1895-04-16,1895,4,16,106,,Flowering/Fruiting,San Diego,San Felipe,,,33.1992,-116.5986,1609,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3354437,cch2,,,,,,,,,
UC880913,3372248,1911-04-01,1911,4,1,91,,Flowering/Fruiting,San Diego,Warners Springs,,,33.2817,-116.6336,3698,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3372248,cch2,,,,,,,,,
UC880915,3348015,1913-04-09,1913,4,9,99,,Flowering/Fruiting,San Diego,Warner's Hot Springs,,,33.2842,-116.63113,2414,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3348015,cch2,,,,,,,,,
UC1745872,3154564,1947-05-18,1947,5,18,138,integrifolia,Flowering/Fruiting,San Diego,Summit of Hot Springs Mtn.,,,33.31375,-116.57718,403,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3154564,cch2,,,,,,,,,
UC666595,3151913,1942-04-19,1942,4,19,109,integrifolia,Flowering/Fruiting,San Diego,road to Palomar Mt. 2 1/2 mi from summit; road to Palomar Mt.,"dry, sandy road bank",,33.3436,-116.8804,401,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151913,cch2,,,,,,,,,
UC24268,3151291,1901-05-17,1901,5,17,137,integrifolia,Flowering/Fruiting,San Diego,"Palomar French Valley (Smith Mt.), Palomar ((Smith Mt.) French Valley)",,1828,33.36033,-116.88417,2414,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151291,cch2,,,,,,,,,
UC310216,3260018,1926-05-01,1926,5,1,121,,Flowering/Fruiting,San Diego,Oak Grove trail to Palomar Mt.; Oak Grove trail to Palomar Mt.,dry slope,1524,33.37773,-116.82082,3219,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3260018,cch2,,,,,,,,,
UC1979638,3157549,1995-04-06,1995,4,6,96,integrifolia,Flowering,San Diego,"Palomar Range, Agua Tibia Wilderness Area, northeastern flank of Agua Tibia Mountain, Arroyo Seco tributary at the north base of Eagle Crag, from the Wildhorse Trail east to the main trunk of Arroyo Seco.",Chaparral on slopes. Benches and mesic slopes with dense woodland of Quercus agrifolia.,975,33.410278,-116.958333,,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3157549,cch2,,,,,,,,,
UC1608275,3163179,1992-05-06,1992,5,6,127,integrifolia,Flowering/Fruiting,San Diego,"s side Miller Mountain along Miller Canyon maj drainage on s flank mt fr Rd 8S02 upstream, Southern Santa Ana Mountains, San Mateo Canyon Wilderness Area, Southern Santa Ana Mountains, San Mateo Canyon Wilderness",upstream to contact area btw lower granitic & higher basaltic rocks; mesic openings chap; riparian,640,33.4811,-117.3898,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3163179,cch2,,,,,,,,,
UC484259,3468353,1931-03-06,1931,3,6,65,,Flowering/Fruiting,Orange,"1 mi below Trabuco Camp Ground (Trabuco Canyon, w slope Santa Ana Mts.); w slope Santa Ana Mts., Trabuco Canyon",,609,33.67,-117.53,2736,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3468353,cch2,,,,,,,,,
UC63800,3153568,1901-06-01,1901,6,1,152,integrifolia,Flowering/Fruiting,Riverside,"wooded slopes and benches of the s side San Jacinto Mts. San Jacinto Mountains, Shingle Val. (Shingle Val.)",wooded slopes and benches of the s side mountains,1371,33.6784,-116.648,7250,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153568,cch2,,,,,,,,,
UC131504,3156824,1903-04-04,1903,4,4,94,integrifolia,Flowering/Fruiting,Riverside,Elsinore,,,33.6814,-117.3608,4000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3156824,cch2,,,,,,,,,
UC144187,3478292,1904-04-04,1904,4,4,95,,Flowering/Fruiting,Riverside,Elsinore,,,33.6814,-117.3608,4000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3478292,cch2,,,,,,,,,
UC495298,3284947,1932-03-24,1932,3,24,84,,Flowering/Fruiting,Riverside,n Elsinore; n of Elsinore,in damp grassy flats,304,33.70889,-117.36083000000001,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3284947,cch2,,,,,,,,,
UC880909,3311644,1937-04-09,1937,4,9,99,,Flowering/Fruiting,Riverside,Riverside-Hemet Road near Winchester turnoff; Riverside-Hemet Road,,,33.74,-117.0847,5000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3311644,cch2,,,,,,,,,
UC702011,3542472,1943-04-17,1943,4,17,107,,Flowering/Fruiting,Riverside,on road to Elsinore 12 mi s Corona; s of Corona,in partial shade of grass and low shrubs on sandy flats,,33.7415,-117.4298,755,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3542472,cch2,,,,,,,,,
UC63799,3153849,1901-05-17,1901,5,17,137,integrifolia,Flowering/Fruiting,Riverside,Strawberry Valley fide Herb. Jepson! according to L. Constance 1938 Strawberry Valley fide Herb. Jepson! according to L. Constan,,,33.74553,-116.71441,8047,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153849,cch2,,,,,,,,,
UC1242705,3392075,1962-03-16,1962,3,16,75,,Flowering/Fruiting,Riverside,"8 mi se Corona (Temescal Canyon); se of Corona, Temescal Canyon",on open hillside and forming patches 10-12 ft broad,,33.76088,-117.48075,894,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3392075,cch2,,,,,,,,,
UC24223,3394071,1897-03-20,1897,3,20,79,,Flowering/Fruiting,Riverside,Temescal Mine,,,33.7866,-117.4363,7400,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3394071,cch2,,,,,,,,,
UC24216,3540512,1902-04-21,1902,4,21,111,,Flowering/Fruiting,Riverside,Gavilan,,,33.8037,-117.3779,2500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3540512,cch2,,,,,,,,,
UC63801,3157989,1901-07-01,1901,7,1,182,integrifolia,Flowering/Fruiting,Riverside,"Fuller's Mills Mountains San Jacinto Mountains, Fuller's Mills Mountains",,1554,33.8139,-116.7394,1000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3157989,cch2,,,,,,,,,
UC1237990,3163730,1961-05-12,1961,5,12,132,integrifolia,Flowering/Fruiting,Riverside,"1.6 mi se Poppet Flat Road (along road from Banning to Idylwild, San Jacinto Mountains); San Jacinto Mountains, rd fr Banning to Idylvild",in Quercus douglassii woodland,,33.84547,-116.81934,420,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3163730,cch2,,,,,,,,,
UC1607998,3454303,1935-03-16,1935,3,16,75,,Flowering/Fruiting,Orange,n Fullerton; n of Fullerton,among moist grass along hillside road,60,33.87,-117.94,4828,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3454303,cch2,,,,,,,,,
UC1537401,3246403,1935-02-22,1935,2,22,53,,Flowering/Fruiting,Riverside,Mockingbird Canyon,,457,33.8701,-117.3882,4300,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3246403,cch2,,,,,,,,,
UC643397,3446855,1930-04-09,1930,4,9,99,,Flowering/Fruiting,Riverside,n Banning; n of Banning,grassy flat,,33.933,-116.9,5000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3446855,cch2,,,,,,,,,
UC1537400,3392774,1935-03-01,1935,3,1,60,,Flowering/Fruiting,Riverside,Box Springs,,365,33.9456,-117.2921,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3392774,cch2,,,,,,,,,
UC64044,3154626,1895-04-20,1895,4,20,110,integrifolia,Flowering/Fruiting,San Bernardino,Edgar Canyon San Bernardino Mts. Edgar Canyon (San Bernardino Mts.),,,33.9975,-116.9604,3000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3154626,cch2,,,,,,,,,
UC24266,3148545,1897-03-15,1897,3,15,74,integrifolia,Flowering/Fruiting,Los Angeles,Santa Monica,,,34.01944,-118.49028,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3148545,cch2,,,,,,,,,
UC126807,3164064,1906-05-19,1906,5,19,139,integrifolia,Flowering/Fruiting,San Bernardino,"Crow Canyon, hills between Redlands and Yucaipa",hills,,34.03652,-117.12173,1876,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3164064,cch2,,,,,,,,,
UC56413,3199808,1903-03-01,1903,3,1,60,,Flowering/Fruiting,Los Angeles,Elysian Park,,,34.07944,-118.23667,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3199808,cch2,,,,,,,,,
SFV112667,613397,1961-05-20,1961,5,20,140,,Flowering,Los Angeles,"Santa Monica Mountains; Old Topanga Canyon Road, 0.5 miles west of New Topanga Canyon Road, south of highway.",Wooded area.,245,34.09,-118.61,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613397,cch2,,,,,,,,,
SFV112675,613414,1961-03-10,1961,3,10,69,integrifolia,Flowering,Los Angeles,"Santa Monica Mountains; Old Topanga Canyon Road, about 0.25 miles west of Topanga Canyon Blvd.",Open grassy field and wooded hillside with Quercus and Rhus.,245,34.09,-118.61,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613414,cch2,,,,,,,,,
UC56876,3334198,1902-04-30,1902,4,30,120,,Flowering/Fruiting,Los Angeles,North Pomona,,,34.09,-117.74944,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3334198,cch2,,,,,,,,,
UC535387,3147457,1929-04-01,1929,4,1,91,integrifolia,Flowering/Fruiting,Los Angeles,"Mandeville Canyon Santa Monica Mountains, Mandeville Canyon",grassy bottom,350,34.09394,-118.50264,4265,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3147457,cch2,,,,,,,,,
UC536816,3431429,1934-03-23,1934,3,23,82,,Flowering/Fruiting,San Bernardino,Upland,,,34.094533,-117.648592,2400,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3431429,cch2,,,,,,,,,
UC24271,3149640,1896-05-15,1896,5,15,136,integrifolia,Flowering/Fruiting,San Bernardino,vicinity San Bernardino; vicinity of San Bernardino,,304,34.113067,-117.291902,10000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149640,cch2,,,,,,,,,
UC126922,3162800,1906-04-20,1906,4,20,110,integrifolia,Flowering/Fruiting,San Bernardino,San Bernardino Valley,,300,34.113067,-117.291902,10000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3162800,cch2,,,,,,,,,
UC24221,3515978,1888-05-01,1888,5,1,122,,Flowering/Fruiting,San Bernardino,San Bernardino,,,34.113067,-117.291902,10000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3515978,cch2,,,,,,,,,
UC24220,3515989,1898-04-02,1898,4,2,92,,Flowering/Fruiting,San Bernardino,San Bernardino,,,34.1131,-117.2919,10000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3515989,cch2,,,,,,,,,
UC67156,3347073,1903-02-01,1903,2,1,32,,Flowering/Fruiting,Los Angeles,Griffith Park,,,34.134533,-118.30477,3384,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3347073,cch2,,,,,,,,,
UC24264,3162326,1882-04-01,1882,4,1,91,integrifolia,Flowering/Fruiting,Los Angeles,Pasadena,,,34.14778,-118.14361,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3162326,cch2,,,,,,,,,
UC449910,3163416,1903-03-01,1903,3,1,60,integrifolia,Flowering/Fruiting,Los Angeles,Pasadena,not poisoned,,34.14778,-118.14361,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3163416,cch2,,,,,,,,,
UC284099,3163959,1903-04-01,1903,4,1,91,integrifolia,Flowering/Fruiting,Los Angeles,near Pasadena; near Pasadena,,,34.14778,-118.14361,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3163959,cch2,,,,,,,,,
UC373304,3149658,1882-05-01,1882,5,1,121,integrifolia,Flowering/Fruiting,Los Angeles,Pasadena,,,34.152867,-118.121454,6700,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149658,cch2,,,,,,,,,
UC1426018,3282758,1973-03-29,1973,3,29,88,,Flowering/Fruiting,Los Angeles,"Evey Canyon San Gabriel Mountains, Evey Canyon (0.3 mi from mouth canyon, San Gabriel Mountains)",along roadside in open grassy area of mixed evergreen forest 0.3 mi from mouth canyon,713,34.166069,-117.683611,150,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3282758,cch2,,,,,,,,,
UC1400331,3151236,1971-06-09,1971,6,9,160,integrifolia,Flowering/Fruiting,San Bernardino,"Cucamonga Canyon along truck trail San Bernardino National Forest, San Gabriel Mts.",along truck trail,792,34.18067,-117.63038,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151236,cch2,,,,,,,,,
UC284097,3148557,1917-04-01,1917,4,1,91,integrifolia,Flowering/Fruiting,San Bernardino,Cucamonga Canyon,sahdy bank,914,34.1859,-117.6217,3000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148557,cch2,,,,,,,,,
UC197349,3152982,1885-04-01,1885,4,1,91,integrifolia,Flowering/Fruiting,San Bernardino,East Twin Creek,foothills,609,34.1861,-117.2557,2000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3152982,cch2,,,,,,,,,
SFV112673,616273,2001-05-16,2001,5,16,136,integrifolia,Flowering,Los Angeles,San Rafael Hills; San Rafael Hills. Ridgetop along trailside on Liz's Loop (Edison Road) to Cherry Canyon Fire Road.,"Associated plants included: Acourtia microcephala, Adenostoma fasciculatum, Anthriscus caucalis, Brassica, Bromus diandrus, Bromus sterilis, Centaurea melitensis, Cercocarpus betuloides, Eucrypta chrysanthemifolia, Hesperocnide tenella, Marah macrocarpus, Paeonia californica, Quercus berberidifolia, Quercus engelmannii X Q. durata, Rhus trilobata, Ribes aureum, Salvia mellifera, Solanum douglasii, and Sambucus mexicana.",457,34.19525,-118.2065833,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=616273,cch2,,,,,,,,,
UC1922890,3162138,2001-05-16,2001,5,16,136,integrifolia,,Los Angeles,Transverse Ranges; Verdugo Mountains region; Northern San Rafael Hills: Liz's Loop (Edison Road) to Cherry Canyon Fire Road.,"Ridgetop, alongside trail, in shade.; Acourtia microcephala, Adenostoma fasciculatum, Anthriscus caucalis, Brassica, Bromus diandrus, Bromus sterilis, Eucrypta chrysanthemifolia, Hesperocnide tenella, Paeonia californica, Quercus engelmannii x Q. durata, Rhus trilobata, Salvia mellifera, Sola",457,34.195278,-118.206667,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3162138,cch2,,,,,,,,,
UC1375274,3148497,1971-06-05,1971,6,5,156,integrifolia,Flowering/Fruiting,San Bernardino,"San Sevaine Cow Camp San Bernardino National Forest, San Gabriel Mts. (San Gabriel Mts.)","on burns; yellow pine forest with Quercus kelloggii, Pinus labertiana, Q. chrysolepis",1417,34.2023,-117.4873,500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148497,cch2,,,,,,,,,
SFV112679,611803,2003-02-10,2003,2,10,41,menziesii,Flowering,Los Angeles,Verdugo Mountains; South side of Verdugo Mountains along dirt road (Brand Park Motorway) to top of crest at Verdugo Motorway. South side of slope at saddle of Verdugo Motorway and Brand Park Motorway on the crest of mountains.,"Fire (Summer-Fall 2002) didn't burn down the north side of the mountains. Plants coming back are: Camissonia californica, Hirschfeldia incana, Ambrosia acanthicarpa, Schismus barbatus, Erodium cicutarium, Filago californica, F. gallica, Lupinus bicolor, Cryptantha intermedia, Pterostegia drymarioides, Bromus madritensis rubens, Lotus strigosus, Nemophila menziesii, and Chenopodium sp. Resprouting on south side of crest were: Malosma laurina, Adenostoma fasciculatum, Yucca whipplei, and Marah macrocarpus. At top of crest were: Arctostaphylos glandulosa, Hazardia squarrosa grindeliodes, and Delphinium cardinale resprouting. Near top but on north side were: Cercocarpus betuloides, Leptodactyloon californicum, Keckiella cordifolia, Ceanothus crassifolius, Arctostaphylos glauca, and Xylococcus bicolor (half of shrub burned and vigorously resprouting back).",823,34.20333333,-118.2647222,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=611803,cch2,,,,,,,,,
UC314574,3149649,1926-05-07,1926,5,7,127,integrifolia,Flowering/Fruiting,San Bernardino,Waterman Canyon,,,34.204324,-117.281563,3200,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149649,cch2,,,,,,,,,
UC126808,3158457,1906-05-29,1906,5,29,149,integrifolia,Flowering/Fruiting,San Bernardino,southern slope San Bernardino Mts.,,1066,34.2092,-117.2866,4000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3158457,cch2,,,,,,,,,
UC284098,3149091,1917-06-08,1917,6,8,159,integrifolia,Flowering/Fruiting,San Bernardino,"Canyon Diablo San Bernardino Mts., Canyon Diablo",,609,34.2147,-117.3343,3500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149091,cch2,,,,,,,,,
SFV112670,613410,1978-04-19,1978,4,19,109,integrifolia,Flowering,Los Angeles,Verdugo Mountains; About 2 miles from end of Walnut Ave. on Stough Canyon fire road.,,610,34.22,-118.31,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613410,cch2,,,,,,,,,
UC450875,3272449,1931-03-07,1931,3,7,66,,Flowering/Fruiting,Los Angeles,"Vineland Ave. , Vineland Ave. (Roscoe)",waste land growing under cactus,,34.220536,-118.370733,1600,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3272449,cch2,,,,,,,,,
SFV112654,611843,2003-05-29,2003,5,29,149,integrifolia,Flowering,Los Angeles,"Verdugo Mountains; West end of Verdugo Mountains at junction (saddle) of Verdugo Motorway and Wildwood Fire Road (abandoned road, as the ranch north of here at mouth of canyon down at La Tuna Canyon burned down a long time ago). Went down into a small draw northeast of saddle, then came back up another canyon to the east of the main fire road on the crest of the ridge (Verdugo Motorway).","Thick chaparral cover on north slope, with open area that harbor annuals and herbaceous perennials. Associated plants included: Adenostoma fasciculatum, Ceanothus crassifolius, Heteromeles arbutifolia, Xylococcus bicolor, Cercocarpus betuloides, Fraxinus dipetala, Rhamnus ilicifolia, Prunus ilicifolia, Lonicera subspicata denudata, Galium angustifoliium, Eriophyllum confertiflorum, Mimulus aurantiacus, Delphinium cardinale, Filago californica, F. gallica, Rafinesquia californica, Uropappus lindleyi, Melica imperfecta, Pterostegia drymarioides, Clarkia unguiculata, C. epilobioides, Agrostis pallens, Hirschfeldia incana, Parietaria hespera californica, Pentagramma triangularis, Dichelostemma capitatum, Eucrypta chrysanthemifolia, Thysanocarpus laciniatus, Crassula connata, Bromus rubens, B. sterilis, Githopsis diffusa, Nemophila menziesii integrifolia, Lomatium lucidum, Senecio vulgaris, and Polycarpon tetraphyllum.",564,34.225,-118.321,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=611843,cch2,,,,,,,,,
UC880911,3161354,1920-07-08,1920,7,8,190,integrifolia,Flowering/Fruiting,Los Angeles,Mt. Wilson,,609,34.22639,-118.06528,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3161354,cch2,,,,,,,,,
SFV112672,611352,2002-04-04,2002,4,4,94,integrifolia,Flowering,Los Angeles,Verdugo Mountains; Southwest side. From saddle along main crest where the dirt roads of Verdugo Mountain Way and Chandler Fire Road meet (Thomas Guide 1998 street guide and directory) head north down Wildwood Fire Road (closed road and plants growing back onto road) to old home site near La Tuna Canyon Road.,"Associated with: Mimulus aurantiacus, Eriogonum fasciculatum, Lessingia filaginifolia, Melica imperfecta, Artemisia californica, Eriophyllum confertiflorum, Heteromeles arbutifolia, Cercocarpus betuloides, Adenostoma fasciculatum, Prunus ilicifolia, Lithophragma affine, plus ferns of Aspidotis californica, Polypodium californicum, and Pentagramma triangularis.",532,34.22769444,-118.322,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=611352,cch2,,,,,,,,,
