X1,specimen_number,taxon name,collector,coll_number_prefix,coll_number,coll_number_suffix,collection_date,late_collection_date,verbatim_date,county,elevation,locality,latitude,longitude,datum,source,error_distance,units,citation,doy,new_error_distance_m
11,CHSC24951,Nemophila menziesii,P. A. Fuller,NA,14,NA,4/14/1976,4/14/1976,4/14/1976,Mendocino,426 m,Ca. 2-12 yds n of Orr Springs Rd and 12.8 mi w of Orr Springs Rd-Business 101 intersection in central Ukiah.,39.233889,-123.370278,NAD 1983,DMS conversion by CCH loading script,2,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,3218.68
12,CHSC2522,Nemophila menziesii,W. Fitzwater,NA,NA,NA,4/19/1958,4/19/1958,4/19/1958,Butte,365 m,"""Chico Canyon, Chico area.""",39.732778,-121.834167,NAD 1983,DMS conversion by CCH loading script,10,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),109,16093.4
13,CHSC26054,Nemophila menziesii,Wesley Griesel,NA,777,NA,5/4/1963,5/4/1963,5/4/1963,San Bernardino,1066 m,Head of Wildwood Canyon above Yucaipa.,34.014722,-117.001389,NAD 1983,DMS conversion by CCH loading script,1,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),124,1609.34
14,CHSC27541,Nemophila menziesii,Scott E. Patton,NA,11,NA,4/9/1978,4/9/1978,4/9/1978,Lake,499 m,"""Jct. hwy.29 and 175, ca. 3 mi se of Kelseyville.""",38.9425,-122.792222,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,402.335
15,CHSC27746,Nemophila menziesii,Sandra C. Morey,NA,6,NA,3/25/1978,3/25/1978,3/25/1978,Mariposa,502 m,"""Highway 132, ca. .4 mi w of junction with Highway 49 at Coulterville.""",37.707778,-120.200833,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,201.1675
16,CHSC27799,Nemophila menziesii,T. Lawless,NA,10,NA,4/8/1978,4/8/1978,4/8/1978,Lake,463 m,"""Jct. Hwys. 29 and 175, ca. 3 mi. se of Kelseyville.""",38.9425,-122.792222,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),98,402.335
17,CHSC31076,Nemophila menziesii,N. Kvasnik,NA,1,NA,4/2/1980,4/2/1980,4/2/1980,Sonoma,225 m,Ca. 15 mi se of Petaluma. Ca. 1.3 mi w of jct of Warm Springs Rd and Sonoma Mountain Rd on s side of road.,38.363333,-122.560278,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),93,201.1675
18,CHSC31077,Nemophila menziesii,Leslie Steidl,NA,8,NA,4/1/1980,4/1/1980,4/1/1980,Butte,316 m,"""25 yd n of Craig Access Rd, 2 mi ssw of Lumpkin Rd inside boundary of State Park, ca. 18 mi e of Oroville.""",39.550556,-121.380278,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,804.67
19,CHSC31306,Nemophila menziesii,Mark Stopher,NA,57,NA,5/14/1980,5/14/1980,5/14/1980,Mendocino,NA,1.2 mi n of Laytonville city limits between Rte 101 and County Road 307. Under a large Quercus lobata.,39.716389,-123.489444,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),135,402.335
20,CHSC32094,Nemophila menziesii,L. Ahart,NA,208,NA,4/15/1973,4/15/1973,4/15/1973,Yuba,304 m,"""On dry edge of rd cut bank, Darby Rd, Bangor.""",39.395833,-121.361944,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,804.67
21,CHSC32915,Nemophila menziesii,"""S. Harris, B. Ferguson, M. Moble, M. Smith""",NA,NA,NA,4/19/1980,4/19/1980,4/19/1980,Lake,NA,"""Coldsprings Campground, along access road to Indian Valley Dam.""",39.1,-122.495556,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),110,804.67
22,CHSC35982,Nemophila menziesii,J. D. Jokerst,NA,1514,NA,3/18/1982,3/18/1982,3/18/1982,Tehama,100 m,"""Open pasture, just N of the Live Oak school and E of and adjacent to Meridian Rd.""",39.899444,-121.916944,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,402.335
23,CHSC36121,Nemophila menziesii,P. Reynolds,NA,12,NA,4/12/1980,4/12/1980,4/12/1980,Colusa,321 m,"""Ca. 0.3 mi w of jct of Hwys 20 and 16, s side of Bear Creek, ca. 18 mi sw of Williams.""",39.011667,-122.364444,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,402.335
24,CHSC40119,Nemophila menziesii,A. Petlock,NA,104,NA,4/24/1985,4/24/1985,4/24/1985,Mendocino,NA,Ca 7 mi se of Boonville along w side of Hwy 128.,38.932222,-123.307222,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,804.67
25,CHSC4019,Nemophila menziesii,E. P. Parreno,NA,NA,NA,4/12/1967,4/12/1967,4/12/1967,Butte,NA,Honey Run Road ca. 7 yards after the bridge beside the road.,39.729167,-121.702778,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,201.1675
26,CHSC4065,Nemophila menziesii,J. Wheeler,NA,7,NA,4/20/1967,4/20/1967,4/20/1967,Tehama,91 m,Locally abundant atop creek bank s w side of the intersection of Reeds Creek and Paskenta Rd. s of Red Bluff.,40.163056,-122.256389,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),110,402.335
27,CHSC43315,Nemophila menziesii,Lowell Ahart,NA,1263,NA,4/7/1977,4/7/1977,4/7/1977,Sutter,45 m,"""Under Douglas oaks, about 1/2 mile south-west of the Myers home, Myers Ranch, Sutter Buttes.""",39.266389,-121.813056,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),97,804.67
28,CHSC43316,Nemophila menziesii,Lowell Ahart,NA,25,NA,4/7/1969,4/7/1969,4/7/1969,Napa,243 m,"""On moist soil of a road cut, near Lake Berryessa.""",38.556111,-122.186944,NAD 1983,DMS conversion by CCH loading script,3,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),97,4828.02
29,CHSC52497,Nemophila menziesii,"""M. R. Crosby, Nancy Morin""",NA,14417,NA,5/12/1982,5/12/1982,5/12/1982,Monterey,NA,Carmel Valley. Hastings Natural History Reservation. Poison Oak Hill.,36.366389,-121.544167,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),132,201.1675
30,CHSC55499,Nemophila menziesii,Vivian L. Long,NA,16,NA,4/13/1991,4/13/1991,4/13/1991,Tehama,365 m,"""Long Ranch property. Ca. 15 m e Lanes Valley Road, .7 km s A6.""",40.401111,-121.9775,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,402.335
31,CHSC55712,Nemophila menziesii,Jennie J. DuBose,NA,10,NA,4/5/1991,4/5/1991,4/5/1991,Glenn,122 m,"""Ca. 4 km s of Elk Creek, California, and 100 m w of Stony Creek.""",39.480278,-122.5,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,402.335
32,CHSC56643,Nemophila menziesii,Kate A. Hanson,NA,NA,NA,3/31/1977,3/31/1977,3/31/1977,Tehama,300 m,"""Ca 1km east of Newville Road, ca 0.8 km north of junction of Round Valley Road and Newville Road; ca 40 km west-northwest of Corning.""",39.853056,-122.573333,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,804.67
33,CHSC57470,Nemophila menziesii,John Hale,NA,19,NA,4/12/1990,4/12/1990,4/12/1990,Sonoma,24 m,610 m. N. of Stillwater Cove.,38.543333,-123.292778,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,201.1675
34,CHSC57471,Nemophila menziesii,B. G. Clark,NA,11,NA,3/27/1987,3/27/1987,3/27/1987,Glenn,304 m,200 yds west of Co Rd 306 and 13.2 mi south of Elk Creek.,39.428056,-122.511111,NAD 1983,DMS conversion by CCH loading script,2,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),86,3218.68
35,CHSC59547,Nemophila menziesii,Jody R. Bickford,NA,14,NA,4/5/1992,4/5/1992,4/5/1992,Lake,536 m,"""0.8 mi sw of jct of Hwy 20 and High Valley Rd, ca. 1.5 mi n of Clearlake Oaks.""",39.036389,-122.692222,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),96,804.67
36,CHSC59744,Nemophila menziesii,Jan M. Karaz,NA,10,NA,5/5/1979,5/5/1979,5/5/1979,Tuolumne,457 m,"""100 ft west of South Fork Tuolumne River, 1.5 m south of bridge on Hwy 120.""",37.814444,-120.311667,NAD 1983,DMS conversion by CCH loading script,0.125,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),125,201.1675
37,CHSC61985,Nemophila menziesii,Denise E. Taus,NA,4,NA,4/4/1993,4/4/1993,4/4/1993,Ventura,70 m,"""Ca. 1 m e of Happy Camp Trail and 0.6 km n of Happy Camp Park entrance, 7.2 km nne of Moorpark.""",34.338056,-118.864444,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),94,402.335
38,CHSC697,Nemophila menziesii,E. Stilson,NA,NA,NA,1897-04-01,1897-04-01,1897-04-01,Butte,NA,NA,39.655,-121.584167,NAD 1983,DMS conversion by CCH loading script,25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),91,40233.5
39,CHSC698,Nemophila menziesii,E. Canfield,NA,NA,NA,4/1/1904,4/1/1904,4/1/1904,Butte,83 m,Richardson Springs road.,39.830556,-121.810556,NAD 1983,DMS conversion by CCH loading script,2,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,3218.68
40,CHSC699,Nemophila menziesii,E. Thomas,NA,NA,NA,3/10/1940,3/10/1940,3/10/1940,Riverside,NA,Pleasant Valley near Winchester.,33.708611,-117.082778,NAD 1983,DMS conversion by CCH loading script,10,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),70,16093.4
41,CHSC700,Nemophila menziesii,NA,NA,NA,NA,3/22/1947,3/22/1947,3/22/1947,Placer,91 m,Lincoln.,38.891667,-121.291944,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),81,804.67
42,CHSC71117,Nemophila menziesii,Jan Monelo,NA,2,NA,4/1/1989,4/1/1989,4/1/1989,Lake,396 m,"""E side Clear Lake, 2.2 mi s of Lucern.""",39.055833,-122.781389,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),91,402.335
43,CHSC76195,Nemophila menziesii,"""L. Constance, H. L. Mason""",NA,2126,NA,4/17/1938,4/17/1938,4/17/1938,Mariposa,457 m,"""Near Mariposa Creek, 13 mi. W. of Mormon Bar, Sierra Nevada foothills.""",37.393056,-120.007778,NAD 1983,DMS conversion by CCH loading script,5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),107,8046.7
44,CHSC88986,Nemophila menziesii,Christine Hantelman,NA,6,NA,2/18/2000,2/18/2000,2/18/2000,Butte,112 m,1.5 mi east on Wookey Road.,39.880556,-121.894167,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),49,402.335
45,CHSC90100,Nemophila menziesii,Jennifer L. Fillinger,NA,80,NA,4/6/1991,4/6/1991,4/6/1991,Lake,579 m,"""Jct Hwys 29 and 175, ca. 3 mi se of Kelseyville.""",38.943056,-122.793333,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),96,402.335
46,CHSC9270,Nemophila menziesii,D. C. Burns,NA,107,NA,3/21/1971,3/21/1971,3/21/1971,Tehama,85 m,"""Abundant in plowed field ca. 1.4 mi s of the intersection of Meridian rd. and Lassen rd. on e side of Meridian rd., 5 yds off road.""",39.891944,-121.918889,NAD 1983,DMS conversion by CCH loading script,0.5,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,804.67
47,CLARK-A1528-2987,Nemophila menziesii,John C. Roos,NA,3371,NA,3/21/1947,3/21/1947,3/21/1947,Riverside,NA,Reche Canyon,33.9996,-117.2317,WGS84/NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,NA
48,CLARK-A1528-548,Nemophila menziesii,NA,NA,NA,NA,6/17/1937,6/17/1937,6/17/1937,Riverside,NA,Box Springs Mountains,33.9761,-117.2899,WGS84/NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),168,NA
49,CLARK-A1528-5660,Nemophila menziesii,John C. Roos,NA,5361,NA,2/29/1952,2/29/1952,2/29/1952,Riverside,1500 ft,Reche Canyon,34.0076,-117.2567,WGS84/NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),60,NA
50,CLARK-A1656-623,Nemophila menziesii,Lois Ann Scott,NA,NA,NA,6/5/1978,6/5/1978,6/5/1978,Riverside,4900 ft,San Jacinto Mountains,33.5615,-116.5704,WGS84/NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),156,NA
51,CLARK-A1703-30,Nemophila menziesii,Cameron Duncan,NA,NA,NA,3/9/1966,3/9/1966,3/9/1966,Riverside,700 ft,Riverside,33.9669,-117.347,WGS84/NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),68,NA
52,CSUSB118,Nemophila menziesii,Kirby W. Brown,NA,NA,NA,4/8/1966,4/8/1966,4/8/1966,San Diego,3800 ft,"""Highway 78, 2.5 miles west of Julian.""",33.08,-116.64139,NA,TopoZoneACS (copied from UCR6062),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),98,1000
53,CSUSB123,Nemophila menziesii,R. Pirot,NA,NA,NA,4/27/1975,4/27/1975,4/27/1975,Riverside,1780 ft,Juniper Flats Rs. and Highway 74 at Homeland.,33.74732,-117.1146,WGS84,GoogleMaps via BerkeleyMapper (copied from CSUSB1577),1.46,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),117,1460
54,HREC495,Nemophila menziesii,A. H. M.,HF,2,NA,3/7/1952,3/7/1952,3/7/1952,Mendocino,152 m,Vasser field near PG&E right of way.,38.989016,-123.079671,not recorded,NA,1343.98409,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),67,1343.98409
55,HSC13579,Nemophila menziesii,C. B. Wolf,NA,1988,NA,5/6/1928,5/6/1928,5/6/1928,Lake,NA,"""Morrison's Gardens, 6 mi. from Clear Lake on rd. to Bartlett Springs""",39.13635,-122.7705,WGS84,GoogleMaps via BerkeleyMapper (copied from RSA10807),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,1000
56,HSC13584,Nemophila menziesii,"""H. E. Parks, J. P. Tracy""",NA,797,NA,5/25/1930,5/25/1930,5/25/1930,Humboldt,793 m,Laribee Valley,40.4433,-123.6821,WGS84,GoogleMaps via BerkeleyMapper (copied from DS161257),744,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),145,744
57,HSC13590,Nemophila menziesii,Elrid H. Spinas,NA,4,NA,5/15/1948,5/15/1948,5/15/1948,Humboldt,NA,Horse Mtn.,40.8743,-123.733,WGS84,"""Baldwin et al. (2017), Master spatial file""",87,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),136,87
58,HSC13591,Nemophila menziesii,"""C. L. Hitchcock, C. V. Muhlick""",NA,23081,NA,3/17/1964,3/17/1964,3/17/1964,Riverside,NA,"""8 mi. SE of Corona, along road to Elsinore""",33.7854,-117.4947,WGS84,GoogleMaps via BerkeleyMapper (copied from UC1292317),3,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,3000
59,HSC13594,Nemophila menziesii,D. M. Patten,NA,NA,NA,3/26/1964,3/26/1964,3/26/1964,Lake,427 m,7 mi. NW of Lakeport on Hidden Lake Rd.,39.13785,-122.90989,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC7798),750,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),86,750
60,HSC13595,Nemophila menziesii,"""H. E. Parks, S. T. Parks""",NA,825,NA,5/15/1930,5/15/1930,5/15/1930,Lake,762 m,Mirabel Mine,38.70028,-122.60515,WGS84,GoogleMaps via BerkeleyMapper (copied from UCD116272),750,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),135,750
61,HSC13597,Nemophila menziesii,C. B. Wolf,NA,2043,NA,5/6/1928,5/6/1928,5/6/1928,Lake,NA,1.5 mi. W of Bartlett Springs on the rd. to Clear Lake,39.17579,-122.7293,WGS84,GoogleMaps via BerkeleyMapper (copied from DS188704),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,500
62,HSC13602,Nemophila menziesii,J. R. Bernard,-,20,NA,4/15/1963,4/15/1963,4/15/1963,Monterey,NA,Laguna Seca (halfway between Salinas and Monterey),36.5703,-121.7617,WGS84,"""Baldwin et al. (2017), Master spatial file""",3.795,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,3795
63,HSC23559,Nemophila menziesii,J. O. Sawyer,NA,2495,NA,4/18/1970,4/18/1970,4/18/1970,Trinity,244 m,Above New River.,40.8581,-123.468,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC23636),450,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),108,450
64,HSC27545,Nemophila menziesii,J. P. Smith,NA,5982,NA,4/7/1973,4/7/1973,4/7/1973,Trinity,244 m,New River trail from Grays Falls Campground on the N side of the Trinity River and W side of the New River,40.8499,-123.4799,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC27126),749,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),97,749
65,HSC32847,Nemophila menziesii,"""D. E. Anderson, Thomas W. Nelson""",NA,848,NA,5/6/1973,5/6/1973,5/6/1973,Mendocino,NA,SE end of Eden Valley,39.6114,-123.1794,WGS84,"""Baldwin et al. (2017), Master spatial file""",259,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),126,259
66,HSC34570,Nemophila menziesii,Lon Hall,NA,326,NA,5/3/1975,5/3/1975,5/3/1975,Lake,762 m,2.1 mi. N of junction of Bottle Rd. and Hwy. 175,38.84225,-122.74939,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC35057),750,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),123,750
67,HSC35029,Nemophila menziesii,"""Thomas W. Nelson, James Nelson""",NA,1845,NA,5/24/1975,5/24/1975,5/24/1975,Humboldt,NA,"""McKeown Ranch, N of Dinsmore.""",40.515569,-123.61705,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC32567),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),144,1000
68,HSC35256,Nemophila menziesii,Pamela Bruce,NA,9,NA,5/3/1975,5/3/1975,5/3/1975,Lake,915 m,5.8 mi. W of jct. with Rte. 29 on Scott's Creek Rd.,39.04632,-123.00928,WGS84,GoogleMaps via BerkeleyMapper,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),123,500
69,HSC35261,Nemophila menziesii,Ron Ralston,NA,63,NA,5/17/1975,5/17/1975,5/17/1975,Trinity,310 m,"""Humboldt Meridian, SE facing slope on the trail to Denny at the confluence of the New River and Trinity River""",40.8474,-123.4762,WGS84,"""Baldwin et al. (2017), Master spatial file""",166,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),137,166
70,HSC37202,Nemophila menziesii,Lon Hall,NA,316,NA,5/3/1975,5/3/1975,5/3/1975,Lake,534 m,3.6 mi. W of junction with Hwy. 29 on Scott's Creek Rd. at confluence of S Fork and Middle Fork of Scott's Creek,39.04159,-122.98224,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC34566),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),123,500
71,HSC37991,Nemophila menziesii,"""Thomas W. Nelson, J. P. Smith, Jane P. Nelson, James Nelson""",NA,2338,NA,4/12/1976,4/12/1976,4/12/1976,Lake,671 m,"""Along Morgan Valley Rd., 1.5 mi. from Napa County line""",38.87319,-122.42126,WGS84,GoogleMaps via BerkeleyMapper (copied from HSC37989),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,500
72,HSC48300,Nemophila menziesii,J. O. Sawyer,NA,3345,NA,3/31/1979,3/31/1979,3/31/1979,Mendocino,NA,"""MacKericker State Park, N of Fort Bragg""",39.44548,-123.802055,NAD27,Terrain Navigator (inferred) (copied from UC1136556),1.108,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,1783.14872
73,HSC51156,Nemophila menziesii,"""G. L. Clifton, Overton""",NA,3975,NA,6/4/1979,6/4/1979,6/4/1979,Trinity,853 m,"""Near Van Duzen River, close to the town of Alderpoint.""",40.334111,-123.385722,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),155,NA
74,HSC65237,Nemophila menziesii,J. P. Smith,NA,5881,NA,3/20/1973,3/20/1973,3/20/1973,San Luis Obispo,61 m,"""Price Canyon Rd., 3.5 mi. from Pismo Beach""",35.184404,-120.619147,WGS84,GeoLocate (copied from HSC38644),823,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),79,823
