specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,county,locality,source,datum
CHSC32915,1980-04-19,1980,4,19,110,39.1,-122.495556,NA,804.67,NA,Lake,"""Coldsprings Campground, along access road to Indian Valley Dam.""",cch1,NAD 1983
CHSC35982,1982-03-18,1982,3,18,77,39.899444,-121.916944,100,402.335,NA,Tehama,"""Open pasture, just N of the Live Oak school and E of and adjacent to Meridian Rd.""",cch1,NAD 1983
CHSC36121,1980-04-12,1980,4,12,103,39.011667,-122.364444,321,402.335,NA,Colusa,"""Ca. 0.3 mi w of jct of Hwys 20 and 16, s side of Bear Creek, ca. 18 mi sw of Williams.""",cch1,NAD 1983
CHSC40119,1985-04-24,1985,4,24,114,38.932222,-123.307222,NA,804.67,NA,Mendocino,Ca 7 mi se of Boonville along w side of Hwy 128.,cch1,NAD 1983
CHSC4019,1967-04-12,1967,4,12,102,39.729167,-121.702778,NA,201.1675,NA,Butte,Honey Run Road ca. 7 yards after the bridge beside the road.,cch1,NAD 1983
CHSC4065,1967-04-20,1967,4,20,110,40.163056,-122.256389,91,402.335,NA,Tehama,Locally abundant atop creek bank s w side of the intersection of Reeds Creek and Paskenta Rd. s of Red Bluff.,cch1,NAD 1983
CHSC43315,1977-04-07,1977,4,7,97,39.266389,-121.813056,45,804.67,NA,Sutter,"""Under Douglas oaks, about 1/2 mile south-west of the Myers home, Myers Ranch, Sutter Buttes.""",cch1,NAD 1983
CHSC43316,1969-04-07,1969,4,7,97,38.556111,-122.186944,243,4828.02,NA,Napa,"""On moist soil of a road cut, near Lake Berryessa.""",cch1,NAD 1983
CHSC52497,1982-05-12,1982,5,12,132,36.366389,-121.544167,NA,201.1675,NA,Monterey,Carmel Valley. Hastings Natural History Reservation. Poison Oak Hill.,cch1,NAD 1983
CHSC55499,1991-04-13,1991,4,13,103,40.401111,-121.9775,365,402.335,NA,Tehama,"""Long Ranch property. Ca. 15 m e Lanes Valley Road, .7 km s A6.""",cch1,NAD 1983
CHSC55712,1991-04-05,1991,4,5,95,39.480278,-122.5,122,402.335,NA,Glenn,"""Ca. 4 km s of Elk Creek, California, and 100 m w of Stony Creek.""",cch1,NAD 1983
CHSC56643,1977-03-31,1977,3,31,90,39.853056,-122.573333,300,804.67,NA,Tehama,"""Ca 1km east of Newville Road, ca 0.8 km north of junction of Round Valley Road and Newville Road; ca 40 km west-northwest of Corning.""",cch1,NAD 1983
CHSC57470,1990-04-12,1990,4,12,102,38.543333,-123.292778,24,201.1675,NA,Sonoma,610 m. N. of Stillwater Cove.,cch1,NAD 1983
CHSC57471,1987-03-27,1987,3,27,86,39.428056,-122.511111,304,3218.68,NA,Glenn,200 yds west of Co Rd 306 and 13.2 mi south of Elk Creek.,cch1,NAD 1983
CHSC59547,1992-04-05,1992,4,5,96,39.036389,-122.692222,536,804.67,NA,Lake,"""0.8 mi sw of jct of Hwy 20 and High Valley Rd, ca. 1.5 mi n of Clearlake Oaks.""",cch1,NAD 1983
CHSC59744,1979-05-05,1979,5,5,125,37.814444,-120.311667,457,201.1675,NA,Tuolumne,"""100 ft west of South Fork Tuolumne River, 1.5 m south of bridge on Hwy 120.""",cch1,NAD 1983
CHSC61985,1993-04-04,1993,4,4,94,34.338056,-118.864444,70,402.335,NA,Ventura,"""Ca. 1 m e of Happy Camp Trail and 0.6 km n of Happy Camp Park entrance, 7.2 km nne of Moorpark.""",cch1,NAD 1983
CHSC697,1897-04-01,1897,4,1,91,39.655,-121.584167,NA,40233.5,NA,Butte,NA,cch1,NAD 1983
CHSC698,1904-04-01,1904,4,1,92,39.830556,-121.810556,83,3218.68,NA,Butte,Richardson Springs road.,cch1,NAD 1983
CHSC699,1940-03-10,1940,3,10,70,33.708611,-117.082778,NA,16093.4,NA,Riverside,Pleasant Valley near Winchester.,cch1,NAD 1983
CHSC700,1947-03-22,1947,3,22,81,38.891667,-121.291944,91,804.67,NA,Placer,Lincoln.,cch1,NAD 1983
CHSC71117,1989-04-01,1989,4,1,91,39.055833,-122.781389,396,402.335,NA,Lake,"""E side Clear Lake, 2.2 mi s of Lucern.""",cch1,NAD 1983
CHSC88986,2000-02-18,2000,2,18,49,39.880556,-121.894167,112,402.335,NA,Butte,1.5 mi east on Wookey Road.,cch1,NAD 1983
CHSC90100,1991-04-06,1991,4,6,96,38.943056,-122.793333,579,402.335,NA,Lake,"""Jct Hwys 29 and 175, ca. 3 mi se of Kelseyville.""",cch1,NAD 1983
CHSC9270,1971-03-21,1971,3,21,80,39.891944,-121.918889,85,804.67,NA,Tehama,"""Abundant in plowed field ca. 1.4 mi s of the intersection of Meridian rd. and Lassen rd. on e side of Meridian rd., 5 yds off road.""",cch1,NAD 1983
CLARK-A1528-2987,1947-03-21,1947,3,21,80,33.9996,-117.2317,NA,NA,NA,Riverside,Reche Canyon,cch1,WGS84/NAD83
CLARK-A1528-548,1937-06-17,1937,6,17,168,33.9761,-117.2899,NA,NA,NA,Riverside,Box Springs Mountains,cch1,WGS84/NAD83
CLARK-A1528-5660,1952-02-29,1952,2,29,60,34.0076,-117.2567,457.20000000000005,NA,NA,Riverside,Reche Canyon,cch1,WGS84/NAD83
CLARK-A1656-623,1978-06-05,1978,6,5,156,33.5615,-116.5704,1493.52,NA,NA,Riverside,San Jacinto Mountains,cch1,WGS84/NAD83
CLARK-A1703-30,1966-03-09,1966,3,9,68,33.9669,-117.347,213.36,NA,NA,Riverside,Riverside,cch1,WGS84/NAD83
CSUSB118,1966-04-08,1966,4,8,98,33.08,-116.64139,1158.24,1000,NA,San Diego,"""Highway 78, 2.5 miles west of Julian.""",cch1,NA
CSUSB123,1975-04-27,1975,4,27,117,33.74732,-117.1146,542.544,1460,NA,Riverside,Juniper Flats Rs. and Highway 74 at Homeland.,cch1,WGS84
HREC495,1952-03-07,1952,3,7,67,38.989016,-123.079671,152,1343.98409,NA,Mendocino,Vasser field near PG&E right of way.,cch1,NA
HSC13579,1928-05-06,1928,5,6,127,39.13635,-122.7705,NA,1000,NA,Lake,"""Morrison's Gardens, 6 mi. from Clear Lake on rd. to Bartlett Springs""",cch1,WGS84
HSC13584,1930-05-25,1930,5,25,145,40.4433,-123.6821,793,744,NA,Humboldt,Laribee Valley,cch1,WGS84
HSC13590,1948-05-15,1948,5,15,136,40.8743,-123.733,NA,87,NA,Humboldt,Horse Mtn.,cch1,WGS84
HSC13591,1964-03-17,1964,3,17,77,33.7854,-117.4947,NA,3000,NA,Riverside,"""8 mi. SE of Corona, along road to Elsinore""",cch1,WGS84
HSC13594,1964-03-26,1964,3,26,86,39.13785,-122.90989,427,750,NA,Lake,7 mi. NW of Lakeport on Hidden Lake Rd.,cch1,WGS84
HSC13595,1930-05-15,1930,5,15,135,38.70028,-122.60515,762,750,NA,Lake,Mirabel Mine,cch1,WGS84
HSC13597,1928-05-06,1928,5,6,127,39.17579,-122.7293,NA,500,NA,Lake,1.5 mi. W of Bartlett Springs on the rd. to Clear Lake,cch1,WGS84
HSC13602,1963-04-15,1963,4,15,105,36.5703,-121.7617,NA,3795,NA,Monterey,Laguna Seca (halfway between Salinas and Monterey),cch1,WGS84
HSC23559,1970-04-18,1970,4,18,108,40.8581,-123.468,244,450,NA,Trinity,Above New River.,cch1,WGS84
HSC27545,1973-04-07,1973,4,7,97,40.8499,-123.4799,244,749,NA,Trinity,New River trail from Grays Falls Campground on the N side of the Trinity River and W side of the New River,cch1,WGS84
HSC32847,1973-05-06,1973,5,6,126,39.6114,-123.1794,NA,259,NA,Mendocino,SE end of Eden Valley,cch1,WGS84
HSC34570,1975-05-03,1975,5,3,123,38.84225,-122.74939,762,750,NA,Lake,2.1 mi. N of junction of Bottle Rd. and Hwy. 175,cch1,WGS84
HSC35256,1975-05-03,1975,5,3,123,39.04632,-123.00928,915,500,NA,Lake,5.8 mi. W of jct. with Rte. 29 on Scott's Creek Rd.,cch1,WGS84
HSC35261,1975-05-17,1975,5,17,137,40.8474,-123.4762,310,166,NA,Trinity,"""Humboldt Meridian, SE facing slope on the trail to Denny at the confluence of the New River and Trinity River""",cch1,WGS84
HSC37202,1975-05-03,1975,5,3,123,39.04159,-122.98224,534,500,NA,Lake,3.6 mi. W of junction with Hwy. 29 on Scott's Creek Rd. at confluence of S Fork and Middle Fork of Scott's Creek,cch1,WGS84
HSC37991,1976-04-12,1976,4,12,103,38.87319,-122.42126,671,500,NA,Lake,"""Along Morgan Valley Rd., 1.5 mi. from Napa County line""",cch1,WGS84
HSC48300,1979-03-31,1979,3,31,90,39.44548,-123.802055,NA,1783.14872,NA,Mendocino,"""MacKericker State Park, N of Fort Bragg""",cch1,NAD27
HSC51156,1979-06-04,1979,6,4,155,40.334111,-123.385722,853,NA,NA,Trinity,"""Near Van Duzen River, close to the town of Alderpoint.""",cch1,NA
HSC65237,1973-03-20,1973,3,20,79,35.184404,-120.619147,61,823,NA,San Luis Obispo,"""Price Canyon Rd., 3.5 mi. from Pismo Beach""",cch1,WGS84
HSC71063,1977-05-30,1977,5,30,150,40.5156,-123.6171,854,1000,NA,Humboldt,McKeown Ranch; along road to Anderson's Ford,cch1,WGS84
HSC73815,1980-06-07,1980,6,7,159,40.912222,-123.666667,1128,NA,NA,Humboldt,Near Brush Mtn.,cch1,NA
HSC97903,1995-03-11,1995,3,11,70,40.76891,-123.55083,NA,85,NA,Trinity,"""12 mi. S on S Fork Rd from its intersection with Hwy. 299, 1.5 mi. on S Fork Trail 6E23""",cch1,WGS84
IRVC26484,2003-04-05,2003,4,5,95,34.149167,-116.455833,1250,1000,NA,San Bernardino,"""UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley, between front gate and reserve headquarters at old Burns home. Little San Bernardino Mountains""",cch1,WGS84
IRVC27167,2005-02-13,2005,2,13,44,34.14472,-116.45222,1250,1000,NA,San Bernardino,"""Ca. 1.5 miles E of Pioneertown, UC Burns Pinyon Ridge Reserve; middle part of the Reserve on ridge between """"Boo"""" and """"Jean"""" canyons (tribs. to N Railroad Canyon). Little San Bernardino Mountains, Southern Mojave Desert""",cch1,WGS84
JEPS104716,1938-03-06,1938,3,6,65,37.637153,-121.489879,350,2495,NA,San Joaquin,"""steep slope NE of Castle Rock, Corral Hollow, Mount Hamilton Range""",cch1,WGS84
JEPS110841,1977-03-14,1977,3,14,73,38.3801,-122.2904,121,804.67,NA,Napa,.2 mile north of Silverado Trail on Soda Canyon Rd.,cch1,NA
JEPS1478,1939-04-17,1939,4,17,107,33.855598,-117.570198,NA,8000,NA,Riverside,Corona,cch1,WGS84
JEPS1481,1935-04-21,1935,4,21,111,33.39359,-116.78796,838,805,NA,San Diego,Oak Grove Valley Oak Grove Valley (e San Diego Co.),cch1,WGS84
JEPS1483,1938-04-16,1938,4,16,106,39.84641,-122.62066,NA,2426.88472,NA,Tehama,on Paskenta-Covelo Road 6 mi w Paskenta; w of Paskenta,cch1,NA
JEPS1484,1915-04-06,1915,4,6,96,39.006634,-122.00778,NA,1023.54024,NA,Colusa,College City,cch1,NA
JEPS1487,1939-03-19,1939,3,19,78,37.920685,-122.62479,NA,1622.21472,NA,Marin,"""w side Mt. Tamalpais , Cataract Canyon (Cataract Canyon)""",cch1,NA
JEPS1488,1938-05-07,1938,5,7,127,37.121006,-119.77128,762,2835.65708,NA,Madera,"""11 mi sw Coarse Gold (3 mi sw of Kelshaw Corners, Sierra Nevada foothills); Sierra Nevada foothills, sw of Coarse Gold, sw Kelshaw Corne""",cch1,NA
JEPS1492,1935-02-10,1935,2,10,41,35.388786,-118.793434,NA,4036.22472,NA,Kern,"""12 mi ne Bakersfield (low hills s Kern River, Cottonwood Creek, Greenhorn foothills); Greenhorn foothills, s of Kern River, Cottonwood Creek""",cch1,NA
JEPS1493,1938-05-25,1938,5,25,145,36.403248,-120.672295,914,2994.98174,NA,San Benito,"""1 mi s Idria; Inner South Coast Ranges, San Carlos Range""",cch1,NA
JEPS1495,1933-05-07,1933,5,7,127,33.5691,-116.5055,NA,1500,NA,Riverside,"""about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy""",cch1,NA
JEPS1497,1928-02-09,1928,2,9,40,34.3,-117.91667,NA,1000,NA,Los Angeles,"""Santa Anita Canyon , Santa Anita Canyon (San Gabriel Mts.)""",cch1,WGS84
JEPS1498,1933-04-01,1933,4,1,91,37.26333,-121.87528,106,NA,NA,Santa Clara,Robertsville,cch1,NA
JEPS1793,1922-04-07,1922,4,7,97,34.37064,-117.31236,NA,2683,NA,San Bernardino,"""3 mi sw Hesperia (Mohave Desert); , sw of Hesperia""",cch1,WGS84
JEPS1794,1920-04-23,1920,4,23,114,33.1758,-116.5233,NA,NA,NA,San Diego,head of Grapevine Canyon,cch1,NAD83
JEPS1796,1929-03-28,1929,3,28,87,36.968315,-119.61253,198,817.54472,NA,Fresno,Little Dry Creek near Sparkville; Little Dry Creek near Sparkville,cch1,NA
JEPS1803,1941-04-29,1941,4,29,119,34.77,-115.683,1371,393,NA,San Bernardino,"""Willow Springs Canyon Mohave Desert, Old Dad Mountains, Willow Springs Canyon (Old Dad Mountains, Mohave Desert)""",cch1,NA
JEPS1912,1907-05-23,1907,5,23,143,36.704,-118.957,NA,3218.68,NA,Tulare,Limekiln Creek,cch1,NA
JEPS1913,1919-03-23,1919,3,23,82,36.570831,-119.611107,NA,1000,NA,Unknown,NA,cch1,WGS84
JEPS1916,1891-03-22,1891,3,22,81,37.7198,-122.49132,NA,2455.85284,NA,San Francisco,Lake Merced,cch1,NA
JEPS21153,1936-03-20,1936,3,20,80,35.0238,-120.0327,762,4828.02,NA,Santa Barbara,"""two and one half mi sw Spanish Ranch; McKittrick Quad., Santa Barbara Natl For, sw Spanish Ranch""",cch1,NA
JEPS21154,1932-03-26,1932,3,26,86,35.7554,-120.6662,243,4828.02,NA,San Luis Obispo,"""2 mi e San Miguel; San Miguel Quad., e of San Miguel""",cch1,NA
JEPS21155,1936-04-27,1936,4,27,118,38.4456,-120.8816,NA,804.67,NA,Amador,"""1/2 mi sw Sugar Loaf (sw of Plymouth); Jackson Quad., sw of Sugar, sw of Plymouth""",cch1,NA
JEPS25353,1959-03-19,1959,3,19,78,37.86474,-121.679,60,851.34086,NA,Contra Costa,"""2.4 mi w Byron (s-facing low hill along Camino Diablo, 0.3 mi e of junction with Vasco Road); along Camino Diablo, w of Byron""",cch1,NA
JEPS29295,1962-03-25,1962,3,25,84,33.8155,-117.5448,304,2300,NA,Riverside,"""about 5 mi se Corona (on both sides of Temescal Wash from Santa Ana Canyon to Elsinore, just n of Bedford Canyon, eastern base of the Santa Ana Mountains); eastern base Santa Ana Mountains, n of Bedford Canyon""",cch1,NA
JEPS30298,1961-04-08,1961,4,8,98,37.130318,-119.49819,NA,1783.14872,NA,Fresno,"""Kerckhoff Lake Bridge 1.5 mi s toward Auberry (and 0.6 mi e on fire road); Kerckhoff Lake Bridge, toward Auberry""",cch1,NA
JEPS3117,1915-05-14,1915,5,14,134,38.07775,-120.367325,1005,173.80872,NA,Tuolumne,"""near Italian Bar (French Camp, South Fork Stanislaus River); South Fork Stanislaus River, near Italian Bar""",cch1,NA
JEPS3118,1892-04-16,1892,4,16,107,39.20333,-121.18417,NA,NA,NA,Nevada,Penn Valley,cch1,NA
JEPS3128,1920-04-14,1920,4,14,105,33.24254,-116.6653,NA,2414.01,NA,San Diego,Warner Ranch,cch1,WGS84
JEPS3129,1917-03-31,1917,3,31,90,37.90611,-122.54389,NA,2170.99966,NA,Marin,Mill Valley,cch1,NA
JEPS3130,1891-04-20,1891,4,20,110,39.2251,-121.81401,NA,4037.83406,NA,Sutter,"""Valley of the Butte Pass , Valley of the Butte Pass (Marysville Buttes)""",cch1,NA
JEPS3131,1931-03-08,1931,3,8,67,37.900337,-121.9519,304,2228.9359,NA,Contra Costa,"""w bank Mitchell Canyon, Mount Diablo Mount Diablo, Mitchell Canyon""",cch1,NA
JEPS3134,1915-03-28,1915,3,28,87,36.47714,-118.85665,396,672.70412,NA,Tulare,"""Shepherd Cove , Shepherd Cove (Sequoia National Park)""",cch1,NA
JEPS3962,1938-04-14,1938,4,14,104,38.57889,-120.84417,NA,NA,NA,El Dorado,Nashville,cch1,NA
JEPS45200,1961-03-09,1961,3,9,68,37.66423,-120.46039,NA,806.27934,NA,Stanislaus,vicinity La Grange; vicinity of La Grange,cch1,NAD27
JEPS60186,1969-04-24,1969,4,24,114,33.55012,-116.90912,NA,741,NA,Riverside,along highway 79 about 2 1/2 mi s Sage; s of Sage,cch1,WGS84
JEPS76985,1963-03-10,1963,3,10,69,38.104893,-122.953636,NA,8250,NA,Marin,Pt. Reyes,cch1,WGS84
JEPS79245,1980-04-06,1980,4,6,97,35.970917,-119.3725,83,7351.46512,NA,Tulare,0.5 mi ssw of junction of Avenue 72 and Road 10 (Pixley National Wildlife Refuge); Pixley National Wildlife Refuge,cch1,NA
JEPS81922,1983-04-10,1983,4,10,100,37.083332,-122.25,76,NA,NA,Santa Cruz,"""ca 17 mi nw Santa Cruz (central Buckeye Grove Gulch, H-H Ranch: located between California 1 and Swanton Rd, se of Greyhound Rock, w and nw of Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Buckeye Grove Gulch""",cch1,NA
JEPS82016,1983-01-23,1983,1,23,23,37.083332,-122.25,85,NA,NA,Santa Cruz,"""ca 17 mi nw Santa Cruz (nw-facing slope of Haybarn Gulch, H-H Ranch, btw CA 1 and Swanton Rd, se of Greyhound Rock, w and nw of Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Haybarn Gulch""",cch1,NA
JEPS82018,1983-03-15,1983,3,15,74,37.083332,-122.25,85,NA,NA,Santa Cruz,"""ca 17 mi nw Santa Cruz (nw-facing slope of Haybarn Gulch, H-H Ranch, btw CA 1 and Swanton Rd, se of Greyhound Rock, w and nw of Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Haybarn Gulch""",cch1,NA
JEPS82021,1983-03-15,1983,3,15,74,37.083332,-122.25,97,NA,NA,Santa Cruz,"""ca 17 mi nw Santa Cruz (se-fcg slope Buckeye Grove Ridge, H-H Ranch, btw CA 1 and Swanton Rd, se of Greyhound Rock, w and nw Old Seaside School, Swanton); nw of Santa Cruz, H-H Ranch, Buckeye Grove Ridge""",cch1,NA
JEPS83176,1982-05-12,1982,5,12,132,36.3714,-121.5594,NA,1609.34,NA,Monterey,"""Poison Oak Hill Carmel Valley, Hastings Natural History Reservation (Hastings Natural History Reservation)""",cch1,NAD83
JEPS85033,1969-05-03,1969,5,3,123,38.3893,-122.2478,457,500,NA,Napa,"""ca 7 mi ne Napa (Mead Ranch, off the Atlas Peak Rd.); ne of Napa, off Atlas Peak Rd., Mead Ranch""",cch1,WGS84
OBI13912,1956-04-06,1956,4,6,97,35.09084,-120.46303,NA,3290,NA,San Luis Obispo,Los Berros Cyn approx 4 mi N of Nipomo,cch1,WGS84
OBI13913,1952-04-08,1952,4,8,99,35.379759,-120.285566,NA,3000,NA,San Luis Obispo,La Panza District,cch1,WGS84
OBI28779,1981-04-24,1981,4,24,114,35.45983,-120.33394,NA,305,NA,San Luis Obispo,Jctn of Shell Crk Rd and Calif hwy 58 S of Shandon,cch1,WGS84
OBI28871,1982-04-04,1982,4,4,94,35.12639,-120.4025,NA,10000,NA,San Luis Obispo,"""Huasna Rd, 1/2 mi NW of where the Huasna River crosses the rd""",cch1,WGS84
OBI3000,1968-06-01,1968,6,1,153,38.953,-123.735,15,500,NA,Mendocino,Pt. Arena light house,cch1,NAD83
OBI30158,1962-04-01,1962,4,1,91,35.724109,-120.225261,NA,3565,NA,San Luis Obispo,About 4 mi E of Cholame,cch1,WGS84
OBI31239,1979-04-04,1979,4,4,94,35.197821,-120.66211,NA,800,NA,San Luis Obispo,Indian Knob Tar Sands,cch1,WGS84
OBI3990,1971-03-09,1971,3,9,68,35.418043,-120.568649,274,1486,NA,San Luis Obispo,3 mi NE of Santa Margarita,cch1,WGS84
OBI42757,1969-04-12,1969,4,12,102,33.96621,-117.31939,366,633,NA,Riverside,"""Box Springs mts, NW slope of hill, SE of UCR""",cch1,WGS84
OBI64941,2005-03-24,2005,3,24,83,35.027778,-119.665278,NA,NA,NA,San Luis Obispo,SE half of the Caliente Range. Approx 1.6 km NNW of Wells Cyn,cch1,NA
PASA2116,1929-05-04,1929,5,4,124,33.36337,-116.83613,1295.4,3218.68,NA,San Diego,"""Palomar, east trail""",cch1,WGS84
POM118676,1924-04-22,1924,4,22,113,35.3733,-119.0187,NA,26500,NA,Kern,Bakersfield.,cch1,WGS84
POM126453,1901-04-07,1901,4,7,97,33.0782,-116.565,NA,2574.944,NA,San Diego,Banner Grade.,cch1,WGS84
POM126458,1908-03-13,1908,3,13,73,34.113067,-117.291902,360,10000,NA,San Bernardino,San Bernardino Valley.,cch1,WGS84
POM126470,1908-02-02,1908,2,2,33,33.9382,-117.3195,NA,1500,NA,Riverside,Box Springs Mts. Foothills,cch1,WGS84
POM128992,1927-05-07,1927,5,7,127,34.0039,-117.062,NA,2000,NA,San Bernardino,"""South Bench, Yucaipa""",cch1,WGS84
POM13005,1922-05-19,1922,5,19,139,33.701,-116.7105,1524,558,NA,Riverside,"""Keen Canyon, San Jacinto Mountains.""",cch1,WGS84
POM184247,1932-03-24,1932,3,24,84,33.708889,-117.360833,305,NA,NA,Riverside,North of Elsinore,cch1,NA
POM210106,1935-04-11,1935,4,11,101,33.07822,-116.53295,NA,1609.34,NA,San Diego,"""Foot of Banner Grade, San Felipe Valley, San Diego County.""",cch1,WGS84
POM258226,1941-03-26,1941,3,26,85,33.7996,-116.9277,NA,1000,NA,Riverside,Soboba Springs.,cch1,WGS84
POM289751,1932-03-26,1932,3,26,86,33.4667,-117.1362,549,1000,NA,Riverside,Temecula Grade. Temecula Valley.,cch1,WGS84
POM289752,1932-02-27,1932,2,27,58,35.434701,-118.883573,183,4000,NA,Kern,"""Kern River Park, Watershed Kern River.""",cch1,WGS84
POM293455,1949-05-12,1949,5,12,132,34.2325,-117.2953,1280,1000,NA,San Bernardino,Road to Lake Arrowhead.,cch1,WGS84
POM305648,1939-04-22,1939,4,22,112,33.6401,-116.8018,NA,10700,NA,Riverside,"""Hemet-Anza, Bautista Creek Road.""",cch1,WGS84
POM305712,1939-04-22,1939,4,22,112,33.23906,-116.69116,NA,1610,NA,San Diego,East of Lake Henshaw.,cch1,WGS84
POM307904,1941-03-22,1941,3,22,81,35.501917,-119.273162,NA,1500,NA,Kern,Shafter.,cch1,WGS84
POM3455,1897-04-07,1897,4,7,97,33.707306,-117.084694,NA,NA,NA,Riverside,"""Winchester, Riverside""",cch1,NA
POM347131,1926-05-07,1926,5,7,127,34.20841,-117.28352,NA,6400,NA,San Bernardino,"""Arrowhead Grade, San Bernardino Mts.""",cch1,NAD83
POM3489,1917-04-04,1917,4,4,94,33.6698,-116.5157,762,1000,NA,Riverside,Palm Canyon,cch1,WGS84
POM73114,1906-04-27,1906,4,27,117,34.325158,-117.428354,1250,2000,NA,San Bernardino,Cajon Pass,cch1,WGS84
POM7595,1920-03-30,1920,3,30,90,34.980763,-115.506651,854,2600,NA,San Bernardino,"""Bonanza, Providence Mountains.""",cch1,WGS84
POM97174,1925-03-19,1925,3,19,78,35.10194,-118.28429,610,400,NA,Kern,north side of Tehachapi Pass.,cch1,NAD83
