specimen_number,id,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,repro,county,locality,habitat,source
SBBG164513,133171,1961-03-22,1961,3,22,81,NA,NA,366,NA,menziesii,Flowers Present,San Luis Obispo,Nacimiento River,openings,cch2
SBBG164518,141596,1971-04-08,1971,4,8,98,35.473,-120.984,518,2,menziesii,Flowers Present,San Luis Obispo,6 mi N of Cayucos,open slope near top of hill; sedimentary deposits,cch2
SBBG164529,149846,2003-04-05,2003,4,5,95,34.5767,-118.8861,884,500,menziesii,Flowers Present,Ventura,"Los Padres National Forest; N border of Sespe Condor Sanctuary, vicinity of Ant Camp on Agua Blanca Crk",silty loam; partial shade; southern oak woodland,cch2
SBBG164509,156099,1991-04-12,1991,4,12,102,35.339,-120.617,610,1000,menziesii,Flowers Present,San Luis Obispo,"Los Padres National Forest; East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit","rocky soil, meadow; 4 deg SE-facing slope",cch2
OBI106038,196189,1967-05-06,1967,5,6,126,35.2055285,-120.1912599,NA,18747,NA,NA,San Luis Obispo,Avenales Wildlife refuge,Grassland,cch2
OBI106022,196190,1978-03-01,1978,3,1,60,35.351177,-120.005123,NA,596,NA,NA,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim soda lake san diego cr rd","Valley grassland, with lots of filaree and distichlis; Common in grassy fields",cch2
OBI106027,196191,1978-03-01,1978,3,1,60,35.351177,-120.005123,NA,596,NA,NA,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim. soda lake san diego cr rd","Valley grassland, with lots of filaree and distichlis; Common in grassy fields",cch2
OBI106046,196192,1937-06-19,1937,6,19,170,40.483215,-123.740232,762,4627,NA,NA,Humboldt,"North Coast Range, 3 mi W of Little Van Duzen River at summit of grade-Dinsmore to Bridgeville","Arid transition-Quercus garryana and grassland. Moist open slopes, rocky clay, sun semishade; Abundant",cch2
OBI106052,196193,1950-03-18,1950,3,18,77,34.971205,-119.455334,NA,657,NA,NA,Kern,"Along Soda Lake Rd to Carrizo Plain, about 0.8 mi off hwy 399. Near San Luis Obispo county line",NA,cch2
OBI106056,196194,1978-03-19,1978,3,19,78,35.570441,-118.568642,701,4315,NA,NA,Kern,"Along State hwy 178 in Kern River Cyn area, 8 mi W of jctn with Bodfish Rd",Hillside with scattered Pinus sabiniana and Quercus wislizenii. Common shrubs include Eriogonum fasciculatum and Chrysothamnus nauseosus. Many ephemerals; Loc abundant in open sites,cch2
OBI106040,196195,1979-04-08,1979,4,8,98,35.2993,-119.9771,579,500,NA,NA,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,Alkaline field and roadside; Loc common,cch2
OBI106025,196196,1981-04-24,1981,4,24,114,35.45983,-120.33394,NA,305,NA,NA,San Luis Obispo,Jctn of Shell Crk Rd and Calif hwy 58 S of Shandon,Foothill woodland area with riparian zone and open grassy fields. No surface flow in the stream. Grassland areas lightly grazed; Abundant in grassy fields,cch2
OBI106061,196197,1985-03-31,1985,3,31,90,35.438108,-120.493918,NA,148,NA,NA,San Luis Obispo,Along hwy 58 ca 100 m E of jctn with Huerhuero Rd,"Woodland dom by Quercus turbinella, Q. douglasii, and Juniperus californica. Grassy understory; Loc abundant",cch2
OBI106063,196198,1995-04-15,1995,4,15,105,35.46411,-120.33005,450,221,NA,NA,San Luis Obispo,"Shell Crk, ca 1/2 mi N of jctn with Calif rte 58","Foothill woodland and chaparral, scrub, and grassland areas; Loc common in flat areas",cch2
OBI106043,196199,1998-04-20,1998,4,20,110,NA,NA,NA,NA,menziesii,NA,San Luis Obispo,"North of Nacimiento Lake, .3 miles south from Interlake Road on Bee Rock Road.",Foothill woodland with open grassy sites; occasional,cch2
OBI106023,196200,1998-05-22,1998,5,22,142,35.045615,-119.7714,1554,1000,menziesii,NA,San Luis Obispo,Caliente Range. Along Caliente Ridge Rd. between wildlife guzzler (35°03.432' N x 119°46.937' W) and Caliente Peak.,Juniper-desert scrub oak woodland.; Occasional.,cch2
OBI106037,196202,1952-03-23,1952,3,23,83,35.481179,-120.321879,NA,9224,NA,NA,San Luis Obispo,"Shell Crk. 3 mi E 12 mi S, Shandon","Light sandy soil, cyn floor",cch2
OBI106039,196203,1971-03-09,1971,3,9,68,35.418043,-120.568649,274,1486,NA,NA,San Luis Obispo,3 mi NE of Santa Margarita,"Foothill oak woodland, soil, sandy",cch2
OBI106053,196204,1971-04-08,1971,4,8,98,35.543942,-120.896932,518,800,NA,NA,San Luis Obispo,Near top of hill in area of sedimentary deposits. 6 mi N of Cayucos,NA,cch2
OBI106029,196205,1973-03-14,1973,3,14,73,34.4293,-119.706,NA,1000,NA,NA,Santa Barbara,"In ""organic garden"", El Mirasol block between Sola and Micheltorena Sts, Santa Barbara",NA,cch2
OBI106020,196206,1933-04-30,1933,4,30,120,36.527035,-121.835454,30,9491,NA,NA,Monterey,"Santa Lucia mts, 6 mi from Carmel; N base of Santa Lucia Mts; 5 mi from ocean",Ravine in Carmel Valley,cch2
OBI106019,196209,1979-04-04,1979,4,4,94,35.197821,-120.66211,NA,800,NA,NA,San Luis Obispo,Indian Knob Tar Sands,"Near the ecotone between southern coastal grassland and coastal live oak woodland. With Platystemon californicum, lupinus nanus, Ranunculus californica; Relatively abundant",cch2
OBI106060,196210,1965-03-22,1965,3,22,81,34.4916,-119.5865,NA,50,NA,NA,Santa Barbara,"Blue Cyn, N slope, Santa Ynez Mts",NA,cch2
OBI106034,196211,1939-04-23,1939,4,23,113,38.061745,-122.69831,45,818,atomaria,NA,Marin,Nicasio,open wet fields,cch2
OBI106036,196212,1968-06-01,1968,6,1,153,NA,NA,15,NA,NA,NA,Mendocino,Pt. Arena light house,Coastal fields,cch2
OBI106024,196213,1986-05-06,1986,5,6,126,35.402195,-120.612946,NA,2094,NA,NA,San Luis Obispo,Santa Margarita Ranch. Estadio field in E part of the ranch where a large stand of blue oaks occur on slopes of decomposed limestone,Occ common in open areas,cch2
OBI106062,196214,1988-02-02,1988,2,2,33,35.918675,-119.374004,61,4689,NA,NA,Tulare,"Pixley natl Wildlife Refuge, San Joaquin Valley. SESW sec 23",Wildlife habitat exclosure. No livestock grazing. Dense grassland veg with mostly course textured soil; Rare except small patch in SE part of exclosure,cch2
OBI106026,196215,1982-04-04,1982,4,4,94,35.12639,-120.4025,NA,500,NA,NA,San Luis Obispo,"Huasna Rd, 1/2 mi NW of where the Huasna River crosses the rd",Oak woodland with grassy understory. Soil of Santa Margarita formation type; Scattered in grasslands,cch2
OBI106048,196217,1997-04-05,1997,4,5,95,34.861591,-119.213581,NA,14747,NA,NA,Kern,Bitter Crk Natl Wildlife Refuge. Near Cerro Noroeste Rd where rd to Red lake intersects,In grassland ; Loc common,cch2
OBI106033,196218,1968-04-06,1968,4,6,97,35.206217,-119.881875,NA,3623,NA,NA,San Luis Obispo,On hill on W side of Carrizo Plain due W of Soda lake's southern end,In rocky soil on N facing slope,cch2
OBI106055,196219,1966-04-03,1966,4,3,93,35.279519,-120.540786,NA,3205,NA,NA,San Luis Obispo,Lopez Cyn near the 15th or 16 crk crossing,In grassy clearing near the roadside with maple and oak trees beyond the grassy clearing,cch2
OBI106028,196220,1964-02-29,1964,2,29,60,35.207788,-120.470393,NA,3873,NA,NA,San Luis Obispo,"Routzahn Park Rd, approx 11 mi from SLO",NA,cch2
OBI106058,196221,1954-05-18,1954,5,18,138,32.5962,-116.545,732,805,integrifolia,NA,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",One year old burn,cch2
OBI106049,196222,1952-04-08,1952,4,8,99,35.379759,-120.285566,NA,3000,NA,NA,San Luis Obispo,La Panza District,"On open hillside, in coarse sandy soil containing clay",cch2
OBI106054,196223,1958-03-19,1958,3,19,78,35.084389,-119.752739,NA,3783,NA,NA,San Luis Obispo,"Carrizo Plain, nea N base of Caliente Mt",NA,cch2
OBI106051,196224,1962-04-01,1962,4,1,91,35.724109,-120.225261,NA,3565,NA,NA,San Luis Obispo,About 4 mi E of Cholame,"In low hills on poor rocky soil. Abunant rainfall this year the first good year in many years. Fields covered with blues, oranges and yellows",cch2
OBI106017,196225,1969-04-12,1969,4,12,102,33.96621,-117.31939,366,633,NA,NA,Riverside,"Box Springs mts, NW slope of hill, SE of UCR","coastal sage scrub. Assoc Euphorbia, Encelia, Oenothera, Amsinckia, Phacelia, Eriogonum, Rubus",cch2
OBI106035,196226,1956-04-06,1956,4,6,97,35.09084,-120.46303,NA,3290,NA,NA,San Luis Obispo,Los Berros Cyn approx 4 mi N of Nipomo,NA,cch2
OBI106059,196227,1965-03-20,1965,3,20,79,36.997662,-119.703272,213,3589,NA,NA,Fresno,"Along the Fresno side of Millerton Lake (above the lake 300 ft), W slope of hill",Sandy loam. Assoc Amsinckia intermedia; Very abundant,cch2
OBI106032,196228,1978-04-16,1978,4,16,106,35.434689,-120.494125,NA,37721,NA,NA,San Luis Obispo,Off hwy 58 near hwy 127 turnoff,"In pasture, oak woodland",cch2
OBI106042,196229,2002-03-03,2002,3,3,62,NA,NA,240,NA,menziesii,NA,San Luis Obispo,1/2 mi from Little Falls crk trailhead off Upper Lopez cyn Rd,Coastal scrub. On grassy hillside; rocky soil; Common,cch2
OBI106044,196230,1957-04-09,1957,4,9,99,NA,NA,NA,NA,menziesii,NA,Santa Barbara,"Along el Camino Cielo, about 0.75 mi e of San Marcos Pass, Santa Ynez mts",In woodland,cch2
OBI106041,196231,1994-04-05,1994,4,5,95,NA,NA,914,NA,NA,NA,San Luis Obispo,"Pine Mt Region. from slope along Ridge Rd between Ridge meadows, Tobacco Crk drainage","Assoc Pteridium aquilinum, Ranunculus californicus, Claytonia perfoliata. sandstone soil, full sun; Isolated pockets, widely scattered",cch2
OBI106031,196232,1995-03-16,1995,3,16,75,34.7795,-120.4273,NA,1500,menziesii,NA,Santa Barbara,"Vandenberg AFB. NE part of base, along NW side of Calif hwy 1, 0.7-1.6 mi NE of intersection with San Antonio Rd W","Hills and valley on ancient consolidated sand dunes. Mosaic of coastal scrub, coastal live oak woodland, chaparral, and grassland; Very loc in grassy opening",cch2
OBI106018,196233,2005-03-24,2005,3,24,83,35.027778,-119.665278,NA,NA,NA,NA,San Luis Obispo,SE half of the Caliente Range. Approx 1.6 km NNW of Wells Cyn,"Semi-desert scrub. NE facing slope dom by Juniperus californica, Eriogonum fasciculatum var. polifolium, and Ericameria linearifolia; Occ in mesic locations",cch2
OBI106021,196234,1979-04-04,1979,4,4,94,35.197821,-120.66211,NA,800,NA,NA,San Luis Obispo,Indian Knob Tar Sands,"Near the ecotone between southern coastal grassland and coastal live oak woodland. With Platystemon californicum, lupinus nanus, Ranunculus californica; Relatively abundant",cch2
OBI106047,213871,1967-04-24,1967,4,24,114,NA,NA,122,NA,NA,NA,San Luis Obispo,North-facing rocky slope near entrance to Routzahn park in Arroyo Grande canyon.,NA,cch2
LOB115754,253761,2016-03-11,2016,3,11,71,33.89014,-116.69586,515,5,menziesii,flowers,Riverside,"near San Gorgonio Pass, W of Palm Springs, near town of Snow Creek, UC Natural Reserve Oasis de los Osos.","Rain in past month and week. Encelia scrub, N-facing slope. Granite boulders just E and N of waterfall.",cch2
UCSB030094,304795,2003-05-29,2003,5,29,149,NA,NA,NA,NA,integrifolia,NA,Los Angeles,"Transverse Ranges; Verdugo Mountains region; W end of mtns.; at jct. of Vendugo motorway and Wildwood Fire Road; (Burbank 7.5 Quad.; T2N R14W S26, SW1/4) UTM Zone; 3787689N 0378361E","Thick chaparral cover north slope; plant assoc.: Adenostoma fasciculatum, Ceanothus crassifolius, Heteromeles arbutifolia, Xylococcus bicolor, Cercocarpus betuloides, Fraxinus dipetala, Rhamnus ilicifoliam, Prunus ilicifolia, Lonicera subspicata denudata, Galium angustifolium, Eriophyllum confertiflorum, Mimulus aurantiacus, Delphinium cardinale, Filago californica, F. gallica, Rafinesquia californica, Uropappus lindleyi, Melica imperfecta, Pterostegia drymarioides, Clarkia unguiculata, C. epilobioides, Agrostis pallens, Hirschfeldia incana, Parietara hespera californica, Pentegramma triangularis, Dichelostemma capitatum, Eucrypta chrysanthemifolia, Thysanocarpus laciniatus, Crassula connata, Bromus rubens, B. sterilis, Githopsis diffusa, Nemophilia menziesii integrifolia, Lomatium lucidum, Senecio vulgaris and Polycarpon tetraphyllum; (abandones road, as the ranch north of here at mouth of canyon down at La Tuna Canyon burned down a long time ago); we went down into a small draw northeast of saddle, then came back up another canyon to the east of the main fire road on the crest of the ridge (Verdugo Motorway) basically a triangle",cch2
UCSB030055,305947,1979-03-13,1979,3,13,72,NA,NA,NA,NA,NA,NA,Santa Barbara,North of Santa Barbara County Health Building,In grassy field; with Erodium and Poaceae; in clay-loam soil,cch2
UCSB030054,305948,1983-04-15,1983,4,15,105,NA,NA,NA,NA,NA,NA,San Luis Obispo,East Cuesta Ridge Rd.; 2 miles from junction with Hwy. 101,With Quercus agrifolia and Lithocarpus densiflorus; on slight N-facing slope; in rocky clay soil,cch2
UCSB030053,305949,1961-02-25,1961,2,25,56,34.748,-120.053,NA,1000,NA,NA,Santa Barbara,"Along the Alamo Pintado Creek from 7-8 miles north of Los Olivos; base of Figueroa Mountain, Birabent Canyon, San Rafael Range",On grassy slope; under Quercus agrifolia,cch2
UCSB030052,305950,1962-03-17,1962,3,17,76,33.72163,-117.39338,NA,1349,NA,NA,Riverside,Southwest of U.S. Highway 71; about 300 feet; by the Alberhill brickyard in Alberhill,Associated with Artemisia sp.; on north slope of small hill,cch2
UCSB030051,305951,1963-04-11,1963,4,11,101,NA,NA,NA,NA,NA,NA,Santa Clara,In field west of 12179 Hilltop Drive; Los Altos Hills,NA,cch2
UCSB030050,305952,1963-05-04,1963,5,4,124,33.88068,-116.84681,NA,1000,NA,NA,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,On burned over east slope,cch2
UCSB030049,305953,1963-04-21,1963,4,21,111,NA,NA,NA,NA,NA,NA,Santa Barbara,Lower end of Lake Cachuma; 4.7 miles east of Armour Ranch Road on State Highway 150,NA,cch2
UCSB030048,305954,1952-02-27,1952,2,27,58,NA,NA,NA,NA,NA,NA,Santa Barbara,Above Rattlesnake Dam; on trail,W-slope,cch2
UCSB030047,305955,1917-03-17,1917,3,17,76,NA,NA,NA,NA,NA,NA,NA,Upland,Under shrubs,cch2
UCSB030046,305956,1950-03-18,1950,3,18,77,NA,NA,NA,NA,NA,NA,Kern,Along Soda Lake Road to Carrizo Plain; about 0.8 mile off Highway 399; near San Luis Obispo County line,NA,cch2
UCSB030045,305957,1977-04-15,1977,4,15,105,33.82158,-117.36016,NA,521,NA,NA,Riverside,1 mile S. Cajalco Rd. on Santa Rosa Rd.,NA,cch2
UCSB030044,305958,1977-04-07,1977,4,7,97,33.80996,-117.4308,NA,4179,NA,NA,Riverside,"South of Lake Matthews; southern Riverside Co., CA",Valley grassland; north slope 10%,cch2
UCSB030043,305959,1983-04-16,1983,4,16,106,NA,NA,NA,NA,NA,NA,Monterey,On Hastings Natural History Reservation; 2 miles off of Martin Road; 10 miles southeast of Jamesburg-Arroyo Seco Rd.,"South facing, clayey slope; with Poa sp. and occasional Quercus douglasii",cch2
UCSB030042,305960,1983-05-08,1983,5,8,128,NA,NA,NA,NA,NA,NA,Marin,On the Panoramic Highway; 2.3 miles south of its junction with Ridgecrest Blvd.,Steep southeast facing slope; with Poa sp.; on rocky clay soil; near occasional Quercus wislizenii,cch2
UCSB030041,305961,1983-05-14,1983,5,14,134,NA,NA,NA,NA,NA,NA,Kern,On dirt road; 2.3 miles south of Interstate 202; 8.8 miles west of Mojave,Steep north-facing slope; in loam soil; with various Poa sp. and Bromus sp.,cch2
UCSB030040,305962,1979-04-29,1979,4,29,119,NA,NA,NA,NA,NA,NA,San Luis Obispo,At Lunch Meadow; East Cuesta Ridge Rd.; 2 miles from U.S. 101,With Plagiobothrys nothofuluus; in valley grassland; under Quercus agrifolia; in sandy-loam soil,cch2
UCSB030039,305963,1977-04-01,1977,4,1,91,NA,NA,NA,NA,NA,NA,Santa Barbara,1/2 miles up trail on Happy Cyn. Road; 5 miles NE of Highway 154,"On open, dry, south facing slope; with Lasthenia chrysotoma and Orthocarpus purpurascens",cch2
UCSB030038,305964,1980-02-28,1980,2,28,59,NA,NA,NA,NA,NA,NA,Santa Barbara,On top of Little Pine Mtn.; Los Padres National Forest; Santa Inez; 0.2 mi. south of Happy Hollow Campground,"With Pinus ponderosa, Pteridium aquilinum; growing on grassy hillside; in weathered, calcareous shale",cch2
UCSB030037,305965,1984-02-18,1984,2,18,49,NA,NA,NA,NA,NA,NA,Santa Barbara,1/2 mile from Figueroa Mtn. Rd.; on trail leading away from left side of road; opposite Tunnel Rd. sign,Among grasses; on west facing slope; somewhat shaded by Arctostaphylos sp.; on clay soil,cch2
UCSB030036,305966,1973-04-11,1973,4,11,101,NA,NA,NA,NA,NA,NA,San Luis Obispo,Growing near Shell Creek on State Highway 58,NA,cch2
UCSB030035,305967,1960-05-09,1960,5,9,130,NA,NA,NA,NA,NA,NA,Santa Barbara,"25 yds. E of road, on Refugio Canyon Rd.; 6.7 mi. N of intersection at Hwy. 101",Beneath Quercus agrifolia; Baby Blue-eyes,cch2
UCSB030034,305968,1954-04-13,1954,4,13,103,34.0968,-117.7012,NA,1200,NA,NA,Los Angeles,On Pomona College Campus,Growing in a wash,cch2
UCSB030033,305969,1963-05-03,1963,5,3,123,33.85103,-116.82793,NA,1200,NA,NA,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,Moist gully of burned chaparral,cch2
UCSB030032,305970,1960-05-09,1960,5,9,130,34.5334,-119.061,NA,400,NA,NA,Santa Barbara,On the exact top of Refugio Pass on the Refugio Pass Rd.; 8 miles from Highway 101,Found in a grassy patch; in the hard chaparral,cch2
UCSB030030,305972,1962-03-18,1962,3,18,77,NA,NA,NA,NA,NA,NA,San Luis Obispo,2.0 miles west of La Panza on main road to Santa Margarita,On roadbank,cch2
UCSB030029,305973,1962-03-18,1962,3,18,77,NA,NA,NA,NA,NA,NA,San Luis Obispo,2.0 miles west of La Panza on main road to Santa Margarita,On roadbank,cch2
UCSB030028,305974,1982-04-12,1982,4,12,102,NA,NA,NA,NA,NA,NA,San Luis Obispo,On Pozo Road 2 miles east of the city of Pozo,"On vernally moist, south slope; with Pinus sabiniana, Vicia sp. and Calandrinia sp.; in clay soil",cch2
UCSB030056,305975,1965-02-21,1965,2,21,52,NA,NA,NA,NA,NA,NA,Monterey,1 mile west of Lockwood; 15 miles west of Highway 101 near Bradley,In grassy field; coarse sand,cch2
UCSB030026,305976,1928-04-21,1928,4,21,112,34.23496,-117.189624,NA,3000,NA,NA,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,NA,cch2
UCSB030027,305977,1975-03-20,1975,3,20,79,NA,NA,NA,NA,NA,NA,Los Angeles,2 miles east of Stunt Rd.; from Mulholland Hwy.; Santa Monica Mountains,On a N-facing slope; in sandy rocky soil; by a stream; in a canyon,cch2
UCSB030088,305978,1979-03-10,1979,3,10,69,NA,NA,NA,NA,NA,NA,San Diego,Old Julian Highway; 4 miles southeast of Ramona,In grassland of Southern Oak Woodland; with Adenostoma and Erioganum,cch2
UCSB030087,305979,1978-03-07,1978,3,7,66,NA,NA,NA,NA,NA,NA,Tulare,Sequoia National Park; Shepherd Saddle Road; 0.8 mi. above Corrals; Ash Mnt.,"25 degree, east-facing slope; open grassland/Blue Oaks",cch2
UCSB030086,305980,1967-03-26,1967,3,26,85,NA,NA,NA,NA,NA,NA,San Luis Obispo,North shore of Lake Nacimiento; near Bee Rock Campground; access by Interlake and Bee Rock Roads,With Quercus dumosa and Amsinkia intermedia; on steep east-facing slope; in sandy-clay soil,cch2
UCSB030085,305981,1979-04-15,1979,4,15,105,36.784553,-119.289851,NA,5000,NA,NA,Fresno,Ellwood Road; Wonder Valley,With Mimulus guttatus and Trifolium sp.; in moist woodland; loam soil,cch2
UCSB030084,305982,1967-02-12,1967,2,12,43,NA,NA,NA,NA,NA,NA,Colusa,Along roadside of Wilber Springs Road; 1.4 miles south of Wilber Springs; in Northern inner Coastal Ranges,On east-facing slope; in serpentine soil,cch2
UCSB030083,305983,1940-03-21,1940,3,21,81,NA,NA,NA,NA,NA,NA,Sonoma,At junction of Pleasant Avenue Road and Chalk Hill Road; 2-3 miles southeast of Windsor,"In open, grassy field",cch2
UCSB030082,305984,1962-03-30,1962,3,30,89,NA,NA,NA,NA,NA,NA,Santa Barbara,At summit of San Marcos Pass; 8 miles northwest of Santa Barbara,On grassy hillside; in shade,cch2
UCSB030081,305985,1957-03-22,1957,3,22,81,33.7619,-117.4723,NA,NA,NA,NA,Riverside,"Hwy. 71, near Alberhill",Sandy; flat,cch2
UCSB030080,305986,1967-03-22,1967,3,22,81,NA,NA,NA,NA,NA,NA,San Bernardino,Green Canyon Creek; Calif. 38; 1.4 miles west of Thurman Flats Campground; in the San Bernardino Mtns.,"With Quercus spp., Encelia farinosa, and grasses; on stream bank; on south slope; in loam soil",cch2
UCSB030079,305987,1960-05-09,1960,5,9,130,NA,NA,NA,NA,NA,NA,Santa Barbara,Summit of Refugio Pass; Santa Ynez Mountains; 8 miles north of U.S. 101,NA,cch2
UCSB030078,305988,1950-03-18,1950,3,18,77,NA,NA,NA,NA,NA,NA,Contra Costa,Saddle between North and South Peaks of Mount Diablo,"Gravelly soil, in open",cch2
UCSB030076,305990,1968-04-11,1968,4,11,102,34.5111,-119.8131,NA,500,NA,NA,Santa Barbara,100 feet northeast of East Camino Cielo Road; 0.7 mile from its junction with Highway 154; San Marcos Pass; Santa Ynez Mountains,In a grassy meadow; between Pteridium aquilinum stand and Quercus agrifolia; on northeast-facing slope; in sandy loam soil,cch2
UCSB030075,305991,1977-05-24,1977,5,24,144,NA,NA,NA,NA,NA,NA,Mariposa,On Jersey Valley Rd.; 2 1/2 mi. from Scott Rd.,In a meadow; associated with Quercus lobata and Bromus mollis,cch2
UCSB030074,305992,1962-03-18,1962,3,18,77,NA,NA,NA,NA,NA,NA,Santa Barbara,3.7 miles south of Tepusquet Canyon Road on Foxen Canyon Road,On sandstone roadcut,cch2
UCSB030072,305994,1959-03-28,1959,3,28,87,NA,NA,NA,NA,NA,NA,Santa Barbara,500 yds. below Lake Cachuma Look Out Point; 50 yds. from Lake,Growing beneath the oaks; on loam soil; many grasses present,cch2
UCSB030071,305995,1954-04-05,1954,4,5,95,NA,NA,NA,NA,NA,NA,Santa Barbara,Middle Camp; Upper Santa Barbara Ynez Valley,"Shaded woodland meadow; """"Baby Blue Eyes""""",cch2
UCSB030070,305996,1952-02-27,1952,2,27,58,NA,NA,NA,NA,NA,NA,Santa Barbara,Above Rattlesnake Cnyn. Dam; 150 ft. NE of Las Canoas Rd.; Santa Barbara,W-slope; woodland habitat,cch2
UCSB030069,305997,1940-03-24,1940,3,24,84,NA,NA,NA,NA,NA,NA,Fresno,Curry Mountain; Waltham Canyon; 9 miles southwest of Coalinga,"North slope; with Juniperus, Aplopappus, Artemesia, Lupinus, Eriogonum",cch2
UCSB030057,305998,1963-04-10,1963,4,10,100,NA,NA,NA,NA,NA,NA,Los Angeles,"5.3 miles north of U.S. Highway 66; on San Dimas Canyon Road, San Dimas",In clumps; on streambank; in rocky soil,cch2
