id,institutionCode,specimen_number,coll_number,scientificName,taxonID,eventDate,year,month,day,startDayOfYear,verbatimEventDate,reproductiveCondition,county,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,verbatimElevation,source,recordId,references
196206,OBI,OBI106020,43248,Nemophila menziesii,205099,4/30/1933,1933,4,30,120,30-Apr-33,,Monterey,"Santa Lucia mts, 6 mi from Carmel; N base of Santa Lucia Mts; 5 mi from ocean",36.527035,-121.835454,9491,30,<100ft.,cch2,urn:uuid:9241fd87-03ff-43cd-b4d2-bfab3190b7a5,http://cch2.org/portal/collections/individual/index.php?occid=196206
196207,OBI,OBI106030,48731,Nemophila menziesii,205099,1930-00-00,1930,0,0,,"Spring, 1930",,Santa Barbara,Santa Barbara,,,,,,cch2,urn:uuid:06fd8da7-696f-4c71-b2f5-10d8705afb4e,http://cch2.org/portal/collections/individual/index.php?occid=196207
196209,OBI,OBI106019,31239,Nemophila menziesii,205099,4/4/1979,1979,4,4,94,4-Apr-79,,San Luis Obispo,Indian Knob Tar Sands,35.197821,-120.66211,800,,,cch2,urn:uuid:ca5db302-e7ee-4f71-8b07-67124c69a6ce,http://cch2.org/portal/collections/individual/index.php?occid=196209
196210,OBI,OBI106060,56258,Nemophila menziesii,205099,3/22/1965,1965,3,22,81,22-Mar-65,,Santa Barbara,"Blue Cyn, N slope, Santa Ynez Mts",34.4916,-119.5865,50,,,cch2,urn:uuid:ca52f906-fb9a-40d3-8c68-422614b6470b,http://cch2.org/portal/collections/individual/index.php?occid=196210
196211,OBI,OBI106034,48732,Nemophila menziesii var. atomaria,205101,4/23/1939,1939,4,23,113,Apr 23 1939,,Marin,Nicasio,38.061745,-122.69831,818,45,150 ft,cch2,urn:uuid:500bcc60-9514-4a5b-9e1c-390e66c00a3e,http://cch2.org/portal/collections/individual/index.php?occid=196211
196212,OBI,OBI106036,3000,Nemophila menziesii,205099,6/1/1968,1968,6,1,153,1-Jun-68,,Mendocino,Pt. Arena light house,,,,15,50ft.,cch2,urn:uuid:717820d5-8913-48c4-ba49-59760445af23,http://cch2.org/portal/collections/individual/index.php?occid=196212
196213,OBI,OBI106024,46188,Nemophila menziesii,205099,5/6/1986,1986,5,6,126,6-May-86,,San Luis Obispo,Santa Margarita Ranch. Estadio field in E part of the ranch where a large stand of blue oaks occur on slopes of decomposed limestone,35.402195,-120.612946,2094,,,cch2,urn:uuid:f7bd0f52-b72d-4040-abb9-fac9b7f67859,http://cch2.org/portal/collections/individual/index.php?occid=196213
196214,OBI,OBI106062,50007,Nemophila menziesii,205099,2/2/1988,1988,2,2,33,2-Feb-88,,Tulare,"Pixley natl Wildlife Refuge, San Joaquin Valley. SESW sec 23",35.918675,-119.374004,4689,61,200ft.,cch2,urn:uuid:76a6b497-0428-4107-90fc-11c9eb5d01f7,http://cch2.org/portal/collections/individual/index.php?occid=196214
196215,OBI,OBI106026,28871,Nemophila menziesii,205099,4/4/1982,1982,4,4,94,4-Apr-82,,San Luis Obispo,"Huasna Rd, 1/2 mi NW of where the Huasna River crosses the rd",35.12639,-120.4025,500,,,cch2,urn:uuid:0d43b601-42d8-4f0b-889f-3aab74e4837d,http://cch2.org/portal/collections/individual/index.php?occid=196215
196217,OBI,OBI106048,54498,Nemophila menziesii,205099,4/5/1997,1997,4,5,95,5-Apr-97,,Kern,Bitter Crk Natl Wildlife Refuge. Near Cerro Noroeste Rd where rd to Red lake intersects,34.861591,-119.213581,14747,,,cch2,urn:uuid:2e5df727-481b-4775-a68c-a0f3c718f1e0,http://cch2.org/portal/collections/individual/index.php?occid=196217
196218,OBI,OBI106033,6323,Nemophila menziesii,205099,4/6/1968,1968,4,6,97,6-Apr-68,,San Luis Obispo,On hill on W side of Carrizo Plain due W of Soda lake's southern end,35.206217,-119.881875,3623,,,cch2,urn:uuid:504105ea-5ea5-4cc0-9740-1970618b5b99,http://cch2.org/portal/collections/individual/index.php?occid=196218
196219,OBI,OBI106055,13915,Nemophila menziesii,205099,4/3/1966,1966,4,3,93,3-Apr-66,,San Luis Obispo,Lopez Cyn near the 15th or 16 crk crossing,35.279519,-120.540786,3205,,,cch2,urn:uuid:e8991025-34d5-4d41-95a7-58f2676e1cce,http://cch2.org/portal/collections/individual/index.php?occid=196219
196220,OBI,OBI106028,13917,Nemophila menziesii,205099,2/29/1964,1964,2,29,60,29-Feb-64,,San Luis Obispo,"Routzahn Park Rd, approx 11 mi from SLO",35.207788,-120.470393,3873,,,cch2,urn:uuid:db8f99ca-b617-41c3-b3f4-aab51f803a7f,http://cch2.org/portal/collections/individual/index.php?occid=196220
196221,OBI,OBI106058,13916,Nemophila menziesii var. integrifolia,205102,5/18/1954,1954,5,18,138,18-May-54,,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",32.5962,-116.545,805,732,2400ft.,cch2,urn:uuid:038cf9c0-d15a-456d-8730-c73fc8665bfc,http://cch2.org/portal/collections/individual/index.php?occid=196221
196222,OBI,OBI106049,13913,Nemophila menziesii,205099,4/8/1952,1952,4,8,99,8-Apr-52,,San Luis Obispo,La Panza District,35.379759,-120.285566,3000,,,cch2,urn:uuid:e8f7be24-e63d-4d3c-94b0-b08f2b32ce40,http://cch2.org/portal/collections/individual/index.php?occid=196222
196223,OBI,OBI106054,2749,Nemophila Menziesii,205099,3/19/1958,1958,3,19,78,19-Mar-58,,San Luis Obispo,"Carrizo Plain, nea N base of Caliente Mt",35.084389,-119.752739,3783,,,cch2,urn:uuid:ee9d0ee0-6028-4e16-b8f3-03c5e82dbad8,http://cch2.org/portal/collections/individual/index.php?occid=196223
196224,OBI,OBI106051,30158,Nemophila menziesii,205099,4/1/1962,1962,4,1,91,1-Apr-62,,San Luis Obispo,About 4 mi E of Cholame,35.724109,-120.225261,3565,,,cch2,urn:uuid:01b6cdee-e192-4960-9f26-d737ca2970c0,http://cch2.org/portal/collections/individual/index.php?occid=196224
196225,OBI,OBI106017,42757,Nemophila Menziesii,205099,4/12/1969,1969,4,12,102,12-Apr-69,,Riverside,"Box Springs mts, NW slope of hill, SE of UCR",33.96621,-117.31939,633,366,1200ft.,cch2,urn:uuid:4588ea70-57fe-4b57-96a6-b921f389f07b,http://cch2.org/portal/collections/individual/index.php?occid=196225
196226,OBI,OBI106035,13912,Nemophila menziesii,205099,4/6/1956,1956,4,6,97,6-Apr-56,,San Luis Obispo,Los Berros Cyn approx 4 mi N of Nipomo,35.09084,-120.46303,3290,,,cch2,urn:uuid:27b9047e-4953-4f09-b4ec-086e0c4465ff,http://cch2.org/portal/collections/individual/index.php?occid=196226
196227,OBI,OBI106059,40889,Nemophila menziesii,205099,3/20/1965,1965,3,20,79,20-Mar-65,,Fresno,"Along the Fresno side of Millerton Lake (above the lake 300 ft), W slope of hill",36.997662,-119.703272,3589,213,700ft.,cch2,urn:uuid:1dd75b3a-86dc-42a5-ad89-30c5c1b2915c,http://cch2.org/portal/collections/individual/index.php?occid=196227
196228,OBI,OBI106032,19838,Nemophila menziesii,205099,4/16/1978,1978,4,16,106,16-Apr-78,,San Luis Obispo,Off hwy 58 near hwy 127 turnoff,35.434689,-120.494125,37721,,,cch2,urn:uuid:80df04dc-6fc6-4df6-8e18-cda2c9ebc2f7,http://cch2.org/portal/collections/individual/index.php?occid=196228
196229,OBI,OBI106042,72620,Nemophila menziesii var. menziesii,205103,3/3/2002,2002,3,3,62,3-Mar-02,,San Luis Obispo,1/2 mi from Little Falls crk trailhead off Upper Lopez cyn Rd,,,,240,,cch2,urn:uuid:efb5d726-f5e8-45db-8a94-b3d7b8cc56c0,http://cch2.org/portal/collections/individual/index.php?occid=196229
196230,OBI,OBI106044,45546,Nemophila menziesii var. menziesii,205103,4/9/1957,1957,4,9,99,9-Apr-57,,Santa Barbara,"Along el Camino Cielo, about 0.75 mi e of San Marcos Pass, Santa Ynez mts",,,,,,cch2,urn:uuid:a9dc4e85-4d4a-4ebd-8864-cc5d93e40d59,http://cch2.org/portal/collections/individual/index.php?occid=196230
196231,OBI,OBI106041,66647,Nemophila menziesii,205099,4/5/1994,1994,4,5,95,5-Apr-94,,San Luis Obispo,"Pine Mt Region. from slope along Ridge Rd between Ridge meadows, Tobacco Crk drainage",,,,914,3000ft.,cch2,urn:uuid:d688f45f-3997-45cd-9264-aa6e31028c2d,http://cch2.org/portal/collections/individual/index.php?occid=196231
196232,OBI,OBI106031,52226,Nemophila menziesii var. menziesii,205103,3/16/1995,1995,3,16,75,16-Mar-95,,Santa Barbara,"Vandenberg AFB. NE part of base, along NW side of Calif hwy 1, 0.7-1.6 mi NE of intersection with San Antonio Rd W",34.7795,-120.4273,1500,,,cch2,urn:uuid:36002f6f-4b47-4f76-8776-bf1ffb8111cb,http://cch2.org/portal/collections/individual/index.php?occid=196232
196233,OBI,OBI106018,64941,Nemophila menziesii,205099,3/24/2005,2005,3,24,83,24-Mar-05,,San Luis Obispo,SE half of the Caliente Range. Approx 1.6 km NNW of Wells Cyn,35.027778,-119.665278,,,,cch2,urn:uuid:b6d2cbf8-a4b8-43c8-934f-a1ee42280c2b,http://cch2.org/portal/collections/individual/index.php?occid=196233
196234,OBI,OBI106021,31240,Nemophila menziesii,205099,4/4/1979,1979,4,4,94,4-Apr-79,,San Luis Obispo,Indian Knob Tar Sands,35.197821,-120.66211,800,,,cch2,urn:uuid:5dbf89c1-8ec7-4264-b1f6-026edef35362,http://cch2.org/portal/collections/individual/index.php?occid=196234
196293,OBI,OBI106050,48660,Nemophila menziesii,205099,1892-03-00,1892,3,0,,"March, 1892",,San Francisco,Lake Merced,37.718031,-122.493049,1370,,,cch2,urn:uuid:2fa3b7e3-7a84-4361-b263-424132514721,http://cch2.org/portal/collections/individual/index.php?occid=196293
213871,OBI,OBI106047,83127,Nemophila menziesii,205099,4/24/1967,1967,4,24,114,4/24/1967,,San Luis Obispo,North-facing rocky slope near entrance to Routzahn park in Arroyo Grande canyon.,,,,122,400 ft,cch2,urn:uuid:6b73ec8c-ee26-4edc-b0e5-a38045729aca,http://cch2.org/portal/collections/individual/index.php?occid=213871
