specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,repro,county,locality,habitat,datum,id,source,references
CHSC57471,1987-03-27,1987,3,27,86,39.428056,-122.511111,304,3218.68,NA,NA,Glenn,200 yds west of Co Rd 306 and 13.2 mi south of Elk Creek.,NA,NAD 1983,NA,cch1,NA
CHSC59547,1992-04-05,1992,4,5,96,39.036389,-122.692222,536,804.67,NA,NA,Lake,"""0.8 mi sw of jct of Hwy 20 and High Valley Rd, ca. 1.5 mi n of Clearlake Oaks.""",NA,NAD 1983,NA,cch1,NA
CHSC59744,1979-05-05,1979,5,5,125,37.814444,-120.311667,457,201.1675,NA,NA,Tuolumne,"""100 ft west of South Fork Tuolumne River, 1.5 m south of bridge on Hwy 120.""",NA,NAD 1983,NA,cch1,NA
CHSC61985,1993-04-04,1993,4,4,94,34.338056,-118.864444,70,402.335,NA,NA,Ventura,"""Ca. 1 m e of Happy Camp Trail and 0.6 km n of Happy Camp Park entrance, 7.2 km nne of Moorpark.""",NA,NAD 1983,NA,cch1,NA
CHSC697,1897-04-01,1897,4,1,91,39.655,-121.584167,NA,40233.5,NA,NA,Butte,NA,NA,NAD 1983,NA,cch1,NA
CHSC698,1904-04-01,1904,4,1,92,39.830556,-121.810556,83,3218.68,NA,NA,Butte,Richardson Springs road.,NA,NAD 1983,NA,cch1,NA
CHSC699,1940-03-10,1940,3,10,70,33.708611,-117.082778,NA,16093.4,NA,NA,Riverside,Pleasant Valley near Winchester.,NA,NAD 1983,NA,cch1,NA
CHSC700,1947-03-22,1947,3,22,81,38.891667,-121.291944,91,804.67,NA,NA,Placer,Lincoln.,NA,NAD 1983,NA,cch1,NA
CHSC71117,1989-04-01,1989,4,1,91,39.055833,-122.781389,396,402.335,NA,NA,Lake,"""E side Clear Lake, 2.2 mi s of Lucern.""",NA,NAD 1983,NA,cch1,NA
CHSC88986,2000-02-18,2000,2,18,49,39.880556,-121.894167,112,402.335,NA,NA,Butte,1.5 mi east on Wookey Road.,NA,NAD 1983,NA,cch1,NA
CHSC90100,1991-04-06,1991,4,6,96,38.943056,-122.793333,579,402.335,NA,NA,Lake,"""Jct Hwys 29 and 175, ca. 3 mi se of Kelseyville.""",NA,NAD 1983,NA,cch1,NA
CHSC9270,1971-03-21,1971,3,21,80,39.891944,-121.918889,85,804.67,NA,NA,Tehama,"""Abundant in plowed field ca. 1.4 mi s of the intersection of Meridian rd. and Lassen rd. on e side of Meridian rd., 5 yds off road.""",NA,NAD 1983,NA,cch1,NA
CLARK-A1528-2987,1947-03-21,1947,3,21,80,33.9996,-117.2317,NA,NA,NA,NA,Riverside,Reche Canyon,NA,WGS84/NAD83,NA,cch1,NA
CLARK-A1528-548,1937-06-17,1937,6,17,168,33.9761,-117.2899,NA,NA,NA,NA,Riverside,Box Springs Mountains,NA,WGS84/NAD83,NA,cch1,NA
CLARK-A1528-5660,1952-02-29,1952,2,29,60,34.0076,-117.2567,457.20000000000005,NA,NA,NA,Riverside,Reche Canyon,NA,WGS84/NAD83,NA,cch1,NA
CLARK-A1656-623,1978-06-05,1978,6,5,156,33.5615,-116.5704,1493.52,NA,NA,NA,Riverside,San Jacinto Mountains,NA,WGS84/NAD83,NA,cch1,NA
CLARK-A1703-30,1966-03-09,1966,3,9,68,33.9669,-117.347,213.36,NA,NA,NA,Riverside,Riverside,NA,WGS84/NAD83,NA,cch1,NA
CSUSB123,1975-04-27,1975,4,27,117,33.74732,-117.1146,542.544,1460,NA,NA,Riverside,Juniper Flats Rs. and Highway 74 at Homeland.,NA,WGS84,NA,cch1,NA
HREC495,1952-03-07,1952,3,7,67,38.989016,-123.079671,152,1343.98409,NA,NA,Mendocino,Vasser field near PG&E right of way.,NA,NA,NA,cch1,NA
HSC13579,1928-05-06,1928,5,6,127,39.13635,-122.7705,NA,1000,NA,NA,Lake,"""Morrison's Gardens, 6 mi. from Clear Lake on rd. to Bartlett Springs""",NA,WGS84,NA,cch1,NA
HSC13590,1948-05-15,1948,5,15,136,40.8743,-123.733,NA,87,NA,NA,Humboldt,Horse Mtn.,NA,WGS84,NA,cch1,NA
HSC13591,1964-03-17,1964,3,17,77,33.7854,-117.4947,NA,3000,NA,NA,Riverside,"""8 mi. SE of Corona, along road to Elsinore""",NA,WGS84,NA,cch1,NA
HSC13594,1964-03-26,1964,3,26,86,39.13785,-122.90989,427,750,NA,NA,Lake,7 mi. NW of Lakeport on Hidden Lake Rd.,NA,WGS84,NA,cch1,NA
HSC13595,1930-05-15,1930,5,15,135,38.70028,-122.60515,762,750,NA,NA,Lake,Mirabel Mine,NA,WGS84,NA,cch1,NA
HSC13597,1928-05-06,1928,5,6,127,39.17579,-122.7293,NA,500,NA,NA,Lake,1.5 mi. W of Bartlett Springs on the rd. to Clear Lake,NA,WGS84,NA,cch1,NA
HSC13602,1963-04-15,1963,4,15,105,36.5703,-121.7617,NA,3795,NA,NA,Monterey,Laguna Seca (halfway between Salinas and Monterey),NA,WGS84,NA,cch1,NA
HSC23559,1970-04-18,1970,4,18,108,40.8581,-123.468,244,450,NA,NA,Trinity,Above New River.,NA,WGS84,NA,cch1,NA
HSC27545,1973-04-07,1973,4,7,97,40.8499,-123.4799,244,749,NA,NA,Trinity,New River trail from Grays Falls Campground on the N side of the Trinity River and W side of the New River,NA,WGS84,NA,cch1,NA
HSC32847,1973-05-06,1973,5,6,126,39.6114,-123.1794,NA,259,NA,NA,Mendocino,SE end of Eden Valley,NA,WGS84,NA,cch1,NA
HSC34570,1975-05-03,1975,5,3,123,38.84225,-122.74939,762,750,NA,NA,Lake,2.1 mi. N of junction of Bottle Rd. and Hwy. 175,NA,WGS84,NA,cch1,NA
HSC35256,1975-05-03,1975,5,3,123,39.04632,-123.00928,915,500,NA,NA,Lake,5.8 mi. W of jct. with Rte. 29 on Scott's Creek Rd.,NA,WGS84,NA,cch1,NA
HSC35261,1975-05-17,1975,5,17,137,40.8474,-123.4762,310,166,NA,NA,Trinity,"""Humboldt Meridian, SE facing slope on the trail to Denny at the confluence of the New River and Trinity River""",NA,WGS84,NA,cch1,NA
HSC37202,1975-05-03,1975,5,3,123,39.04159,-122.98224,534,500,NA,NA,Lake,3.6 mi. W of junction with Hwy. 29 on Scott's Creek Rd. at confluence of S Fork and Middle Fork of Scott's Creek,NA,WGS84,NA,cch1,NA
HSC37991,1976-04-12,1976,4,12,103,38.87319,-122.42126,671,500,NA,NA,Lake,"""Along Morgan Valley Rd., 1.5 mi. from Napa County line""",NA,WGS84,NA,cch1,NA
HSC48300,1979-03-31,1979,3,31,90,39.44548,-123.802055,NA,1783.14872,NA,NA,Mendocino,"""MacKericker State Park, N of Fort Bragg""",NA,NAD27,NA,cch1,NA
HSC51156,1979-06-04,1979,6,4,155,40.334111,-123.385722,853,NA,NA,NA,Trinity,"""Near Van Duzen River, close to the town of Alderpoint.""",NA,NA,NA,cch1,NA
HSC65237,1973-03-20,1973,3,20,79,35.184404,-120.619147,61,823,NA,NA,San Luis Obispo,"""Price Canyon Rd., 3.5 mi. from Pismo Beach""",NA,WGS84,NA,cch1,NA
HSC71063,1977-05-30,1977,5,30,150,40.5156,-123.6171,854,1000,NA,NA,Humboldt,McKeown Ranch; along road to Anderson's Ford,NA,WGS84,NA,cch1,NA
HSC73815,1980-06-07,1980,6,7,159,40.912222,-123.666667,1128,NA,NA,NA,Humboldt,Near Brush Mtn.,NA,NA,NA,cch1,NA
HSC97903,1995-03-11,1995,3,11,70,40.76891,-123.55083,NA,85,NA,NA,Trinity,"""12 mi. S on S Fork Rd from its intersection with Hwy. 299, 1.5 mi. on S Fork Trail 6E23""",NA,WGS84,NA,cch1,NA
IRVC26484,2003-04-05,2003,4,5,95,34.149167,-116.455833,1250,1000,NA,NA,San Bernardino,"""UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley, between front gate and reserve headquarters at old Burns home. Little San Bernardino Mountains""",NA,WGS84,NA,cch1,NA
JEPS104716,1938-03-06,1938,3,6,65,37.637153,-121.489879,350,2495,NA,NA,San Joaquin,"""steep slope NE of Castle Rock, Corral Hollow, Mount Hamilton Range""",NA,WGS84,NA,cch1,NA
JEPS1478,1939-04-17,1939,4,17,107,33.855598,-117.570198,NA,8000,NA,NA,Riverside,Corona,NA,WGS84,NA,cch1,NA
JEPS1481,1935-04-21,1935,4,21,111,33.39359,-116.78796,838,805,NA,NA,San Diego,Oak Grove Valley Oak Grove Valley (e San Diego Co.),NA,WGS84,NA,cch1,NA
JEPS1483,1938-04-16,1938,4,16,106,39.84641,-122.62066,NA,2426.88472,NA,NA,Tehama,on Paskenta-Covelo Road 6 mi w Paskenta; w of Paskenta,NA,NA,NA,cch1,NA
JEPS1497,1928-02-09,1928,2,9,40,34.3,-117.91667,NA,1000,NA,NA,Los Angeles,"""Santa Anita Canyon , Santa Anita Canyon (San Gabriel Mts.)""",NA,WGS84,NA,cch1,NA
JEPS1793,1922-04-07,1922,4,7,97,34.37064,-117.31236,NA,2683,NA,NA,San Bernardino,"""3 mi sw Hesperia (Mohave Desert); , sw of Hesperia""",NA,WGS84,NA,cch1,NA
JEPS1794,1920-04-23,1920,4,23,114,33.1758,-116.5233,NA,NA,NA,NA,San Diego,head of Grapevine Canyon,NA,NAD83,NA,cch1,NA
JEPS1913,1919-03-23,1919,3,23,82,36.570831,-119.611107,NA,1000,NA,NA,Unknown,NA,NA,WGS84,NA,cch1,NA
JEPS29295,1962-03-25,1962,3,25,84,33.8155,-117.5448,304,2300,NA,NA,Riverside,"""about 5 mi se Corona (on both sides of Temescal Wash from Santa Ana Canyon to Elsinore, just n of Bedford Canyon, eastern base of the Santa Ana Mountains); eastern base Santa Ana Mountains, n of Bedford Canyon""",NA,NA,NA,cch1,NA
JEPS45200,1961-03-09,1961,3,9,68,37.66423,-120.46039,NA,806.27934,NA,NA,Stanislaus,vicinity La Grange; vicinity of La Grange,NA,NAD27,NA,cch1,NA
JEPS60186,1969-04-24,1969,4,24,114,33.55012,-116.90912,NA,741,NA,NA,Riverside,along highway 79 about 2 1/2 mi s Sage; s of Sage,NA,WGS84,NA,cch1,NA
JEPS76985,1963-03-10,1963,3,10,69,38.104893,-122.953636,NA,8250,NA,NA,Marin,Pt. Reyes,NA,WGS84,NA,cch1,NA
JEPS83176,1982-05-12,1982,5,12,132,36.3714,-121.5594,NA,1609.34,NA,NA,Monterey,"""Poison Oak Hill Carmel Valley, Hastings Natural History Reservation (Hastings Natural History Reservation)""",NA,NAD83,NA,cch1,NA
JEPS85033,1969-05-03,1969,5,3,123,38.3893,-122.2478,457,500,NA,NA,Napa,"""ca 7 mi ne Napa (Mead Ranch, off the Atlas Peak Rd.); ne of Napa, off Atlas Peak Rd., Mead Ranch""",NA,WGS84,NA,cch1,NA
OBI3000,1968-06-01,1968,6,1,153,38.953,-123.735,15,500,NA,NA,Mendocino,Pt. Arena light house,NA,NAD83,NA,cch1,NA
PASA2116,1929-05-04,1929,5,4,124,33.36337,-116.83613,1295.4,3218.68,NA,NA,San Diego,"""Palomar, east trail""",NA,WGS84,NA,cch1,NA
POM118676,1924-04-22,1924,4,22,113,35.3733,-119.0187,NA,26500,NA,NA,Kern,Bakersfield.,NA,WGS84,NA,cch1,NA
POM126453,1901-04-07,1901,4,7,97,33.0782,-116.565,NA,2574.944,NA,NA,San Diego,Banner Grade.,NA,WGS84,NA,cch1,NA
POM126458,1908-03-13,1908,3,13,73,34.113067,-117.291902,360,10000,NA,NA,San Bernardino,San Bernardino Valley.,NA,WGS84,NA,cch1,NA
POM126470,1908-02-02,1908,2,2,33,33.9382,-117.3195,NA,1500,NA,NA,Riverside,Box Springs Mts. Foothills,NA,WGS84,NA,cch1,NA
POM128992,1927-05-07,1927,5,7,127,34.0039,-117.062,NA,2000,NA,NA,San Bernardino,"""South Bench, Yucaipa""",NA,WGS84,NA,cch1,NA
POM13005,1922-05-19,1922,5,19,139,33.701,-116.7105,1524,558,NA,NA,Riverside,"""Keen Canyon, San Jacinto Mountains.""",NA,WGS84,NA,cch1,NA
POM184247,1932-03-24,1932,3,24,84,33.708889,-117.360833,305,NA,NA,NA,Riverside,North of Elsinore,NA,NA,NA,cch1,NA
POM210106,1935-04-11,1935,4,11,101,33.07822,-116.53295,NA,1609.34,NA,NA,San Diego,"""Foot of Banner Grade, San Felipe Valley, San Diego County.""",NA,WGS84,NA,cch1,NA
POM258226,1941-03-26,1941,3,26,85,33.7996,-116.9277,NA,1000,NA,NA,Riverside,Soboba Springs.,NA,WGS84,NA,cch1,NA
POM289751,1932-03-26,1932,3,26,86,33.4667,-117.1362,549,1000,NA,NA,Riverside,Temecula Grade. Temecula Valley.,NA,WGS84,NA,cch1,NA
POM293455,1949-05-12,1949,5,12,132,34.2325,-117.2953,1280,1000,NA,NA,San Bernardino,Road to Lake Arrowhead.,NA,WGS84,NA,cch1,NA
POM305648,1939-04-22,1939,4,22,112,33.6401,-116.8018,NA,10700,NA,NA,Riverside,"""Hemet-Anza, Bautista Creek Road.""",NA,WGS84,NA,cch1,NA
POM305712,1939-04-22,1939,4,22,112,33.23906,-116.69116,NA,1610,NA,NA,San Diego,East of Lake Henshaw.,NA,WGS84,NA,cch1,NA
POM307904,1941-03-22,1941,3,22,81,35.501917,-119.273162,NA,1500,NA,NA,Kern,Shafter.,NA,WGS84,NA,cch1,NA
POM3455,1897-04-07,1897,4,7,97,33.707306,-117.084694,NA,NA,NA,NA,Riverside,"""Winchester, Riverside""",NA,NA,NA,cch1,NA
POM347131,1926-05-07,1926,5,7,127,34.20841,-117.28352,NA,6400,NA,NA,San Bernardino,"""Arrowhead Grade, San Bernardino Mts.""",NA,NAD83,NA,cch1,NA
POM3489,1917-04-04,1917,4,4,94,33.6698,-116.5157,762,1000,NA,NA,Riverside,Palm Canyon,NA,WGS84,NA,cch1,NA
POM73114,1906-04-27,1906,4,27,117,34.325158,-117.428354,1250,2000,NA,NA,San Bernardino,Cajon Pass,NA,WGS84,NA,cch1,NA
POM7595,1920-03-30,1920,3,30,90,34.980763,-115.506651,854,2600,NA,NA,San Bernardino,"""Bonanza, Providence Mountains.""",NA,WGS84,NA,cch1,NA
POM97174,1925-03-19,1925,3,19,78,35.10194,-118.28429,610,400,NA,NA,Kern,north side of Tehachapi Pass.,NA,NAD83,NA,cch1,NA
RSA0022321,2011-04-23,2011,4,23,113,34.14308,-116.50302,1338,NA,NA,NA,San Bernardino,Sawtooth Mountains; collecting in rugged boulder piles about a mile south of Pioneertown and about 0.75 air mile east of Chaparrosa Spring.,NA,NA,NA,cch1,NA
RSA0036743,1998-04-11,1998,4,11,101,34.17,-116.43,1250,NA,NA,NA,San Bernardino,Burns Pinon Ridge Reserve.,NA,NA,NA,cch1,NA
RSA191996,1959-04-02,1959,4,2,92,33.5068,-117.3643,NA,200,NA,NA,Riverside,"""Cleveland National Forest, Trabuco District, Tenaja Guard Station, slopes of Tenaja Canyon.""",NA,WGS84,NA,cch1,NA
RSA191997,1960-03-25,1960,3,25,85,33.5028,-117.3433,NA,1000,NA,NA,Riverside,14 miles west of Murrieta.,NA,WGS84,NA,cch1,NA
RSA2478,1922-04-05,1922,4,5,95,38.978,-122.8394,NA,3274,NA,NA,Lake,Kelseyville.,NA,WGS84,NA,cch1,NA
RSA305715,1973-05-04,1973,5,4,124,33.361789,-118.416738,244,819,NA,NA,Los Angeles,Middle of Middle Ranch Canyon; Santa Catalina Island.,NA,WGS84,NA,cch1,NA
RSA31814,1946-03-09,1946,3,9,68,34.378,-119.299,NA,2000,NA,NA,Ventura,Sulphur Mountain.,NA,NAD27,NA,cch1,NA
RSA346566,1971-05-02,1971,5,2,122,35.705585,-118.752627,1006,2200,NA,NA,Kern,First summit between Glenville and wood,NA,WGS84,NA,cch1,NA
RSA421285,1938-04-23,1938,4,23,113,35.6319,-118.812,NA,1500,NA,NA,Kern,Round Mountain.,NA,WGS84,NA,cch1,NA
RSA421286,1973-04-22,1973,4,22,112,35.381944,-118.553611,915,NA,NA,NA,Kern,"""Piute Meadows, Walker Basin, vicinity of Rankin Ranch.""",NA,NA,NA,cch1,NA
RSA421287,1907-06-10,1907,6,10,161,35.0142,-118.5999,NA,27000,NA,NA,Kern,Tehachapi Mountains.,NA,WGS84,NA,cch1,NA
RSA421292,1930-03-29,1930,3,29,88,35.3733,-119.0187,NA,26500,NA,NA,Kern,Ranch near Bakersfield.,NA,WGS84,NA,cch1,NA
RSA421312,1929-03-30,1929,3,30,89,34.693645,-118.415685,NA,20000,NA,NA,Los Angeles,W. of Lancaster,NA,WGS84,NA,cch1,NA
RSA421327,1925-04-12,1925,4,12,102,34.135232,-118.438645,NA,400,NA,NA,Los Angeles,Mulholland Estate; Santa Monica Mtns.,NA,WGS84,NA,cch1,NA
RSA421328,1929-03-28,1929,3,28,87,34.091961,-118.601916,NA,6500,NA,NA,Los Angeles,Topango [Topanga] Canyon.,NA,WGS84,NA,cch1,NA
RSA421331,1929-03-02,1929,3,2,61,33.7181,-117.3896,NA,2000,NA,NA,Riverside,Near Alberhill,NA,WGS84,NA,cch1,NA
RSA421334,1929-02-23,1929,2,23,54,33.9092,-116.9646,NA,2500,NA,NA,Riverside,"""San Jacinto Mt, Mountain slopes""",NA,NAD 27,NA,cch1,NA
RSA421335,1929-03-02,1929,3,2,61,33.6814,-117.3608,NA,4000,NA,NA,Riverside,Near Elsinore.,NA,WGS84,NA,cch1,NA
RSA421336,1929-05-18,1929,5,18,138,33.7734,-116.7064,1677,13000,NA,NA,Riverside,San Jacinto Mt.,NA,WGS84,NA,cch1,NA
RSA421337,1973-04-01,1973,4,1,91,33.459167,-116.907222,426,NA,NA,NA,Riverside,"""Jct. Vail Lake Marina and Hwy. 71/79, about 3 miles west of Aguanga.""",NA,NA,NA,cch1,NA
RSA421338,1930-04-09,1930,4,9,99,33.9248,-116.8772,500,2000,NA,NA,Riverside,Near Banning,NA,WGS84,NA,cch1,NA
RSA421339,1929-04-07,1929,4,7,97,33.6804,-116.9711,NA,3200,NA,NA,Riverside,S. Hemet.,NA,WGS84,NA,cch1,NA
RSA421340,1969-04-12,1969,4,12,102,33.62205,-116.9371,335,3000,NA,NA,Riverside,"""10 mi SE of Hemet, 200 yrs. E. of State St. in a wash.""",NA,WGS84,NA,cch1,NA
RSA421345,1947-06-09,1947,6,9,160,33.55,-117.395,762,20000,NA,NA,Riverside,"""Los Alamos Canyon, Elsinore.""",NA,NAD27,NA,cch1,NA
RSA421354,1935-03-03,1935,3,3,62,33.606389,-117.4325,762,NA,NA,NA,Riverside,San Juan Canyon.,NA,NA,NA,cch1,NA
RSA421355,1929-03-17,1929,3,17,76,33.758333,-117.494444,NA,NA,NA,NA,Riverside,"""Glen Ivy Hot Springs, Santa Ana Mts.""",NA,NA,NA,cch1,NA
RSA421356,1955-03-13,1955,3,13,72,33.7486,-117.5827,NA,4023.35,NA,NA,Orange,Silverado Canyon,NA,NAD83/WGS84,NA,cch1,NA
RSA421360,1949-04-16,1949,4,16,106,34.3252,-117.4284,823,2000,NA,NA,San Bernardino,Canyon [Cajon] Pass,NA,WGS84,NA,cch1,NA
RSA421361,1934-03-27,1934,3,27,86,34.3252,-117.4284,1220,2000,NA,NA,San Bernardino,Cajon Pass.,NA,WGS84,NA,cch1,NA
RSA421364,1928-04-21,1928,4,21,112,34.233705,-117.159919,NA,1400,NA,NA,San Bernardino,Rim of World Drive above Lake Arrowhead. San Bernardino Mts.,NA,WGS84,NA,cch1,NA
RSA421366,1949-05-28,1949,5,28,148,34.247872,-117.315236,1372,1400,NA,NA,San Bernardino,2 miles W of Crestline,NA,WGS84,NA,cch1,NA
RSA421367,1929-03-30,1929,3,30,89,32.99264,-116.56513,NA,2415,NA,NA,San Diego,Cuyamaca Valley.,NA,WGS84,NA,cch1,NA
RSA421495,1930-06-16,1930,6,16,167,34.31497,-117.354998,NA,2500,NA,NA,San Bernardino,Lower Horsethief Canyon.,NA,WGS84,NA,cch1,NA
RSA44096,1947-03-15,1947,3,15,74,34.519061,-119.361637,NA,2000,NA,NA,Ventura,"""Middle Fork, upper Matilija Creek.""",NA,WGS84,NA,cch1,NA
RSA444484,1966-04-05,1966,4,5,95,33.707306,-117.084694,NA,NA,NA,NA,Riverside,Winchester.,NA,NA,NA,cch1,NA
