ID1,ID2,Latitude,Longitude,Elevation,MAT_51-80,MWMT_51-80,MCMT_51-80,TD_51-80,MAP_51-80,MSP_51-80,AHM_51-80,SHM_51-80,DD_0_51-80,DD5_51-80,DD_18_51-80,DD18_51-80,NFFD_51-80,bFFP_51-80,eFFP_51-80,FFP_51-80,PAS_51-80,EMT_51-80,EXT_51-80,MAR_51-80,Eref_51-80,CMD_51-80,RH_51-80,MAT_81-10,MWMT_81-10,MCMT_81-10,TD_81-10,MAP_81-10,MSP_81-10,AHM_81-10,SHM_81-10,DD_0_81-10,DD5_81-10,DD_18_81-10,DD18_81-10,NFFD_81-10,bFFP_81-10,eFFP_81-10,FFP_81-10,PAS_81-10,EMT_81-10,EXT_81-10,MAR_81-10,Eref_81-10,CMD_81-10,RH_81-10,Year,MAT_a*,MWMT_a*,MCMT_a*,TD_a*,MAP_a*,MSP_a*,AHM_a*,SHM_a*,DD_0_a*,DD5_a*,DD_18_a*,DD18_a*,NFFD_a*,bFFP_a*,eFFP_a*,FFP_a*,PAS_a*,EMT_a*,EXT_a*,MAR_a*,Eref_a*,CMD_a*,RH_a*
CDA20118,2003,33.2833,-116.8878,838,15.5,23.9,8.6,15.3,511,44,49.9,545.8,23,3869,1566,646,323,83,332,249,2,-12.8,43.7,-9999,1440,1027,52,16.3,24.6,9.9,14.7,540,39,48.7,625.3,18,4132,1368,733,339,56,343,287,2,-9.2,45,-9999,1429,1030,55,2003,16.8,25.7,10.1,15.6,525,38,51.2,669.2,15,4329,1312,884,343,57,350,293,2,-12.5,44,-9999,1437,1067,55
CDA40359,2005,40.8772,-123.7579,973,11.3,19.6,4.4,15.2,2361,215,9,91.5,79,2520,2663,221,280,127,313,186,67,-17.9,40.1,-9999,1018,477,60,11.8,20.4,5,15.4,2418,226,9,90.3,68,2662,2535,266,294,115,318,203,55,-15,40.9,-9999,1020,468,61,2005,12.1,21.9,5.9,16,2569,349,8.6,62.7,53,2730,2457,298,308,97,316,219,30,-18.1,40.5,-9999,1005,460,63
CHSC116618,2016,37.8075,-121.7469,158,14.9,21.6,7.9,13.7,398,17,62.6,1310,25,3638,1603,467,339,56,343,287,2,-11.1,42.4,-9999,1234,945,58,15.5,22.2,8.6,13.7,463,20,55.1,1112,22,3826,1473,534,348,38,350,311,2,-8.9,42.8,-9999,1218,914,60,2016,16.3,22.4,8.7,13.7,652,11,40.3,2034.7,17,4080,1273,593,357,19,354,335,2,-11.7,42.7,-9999,1232,860,62
CHSC116923,2011,39.91,-122.1286,68,16.4,26.7,6.9,19.8,507,43,52.2,620.6,30,4218,1526,948,331,65,329,264,4,-12.9,44.1,-9999,1338,1018,55,17,27,7.7,19.3,562,51,47.9,531.1,26,4390,1418,1023,339,53,334,282,3,-10.7,45.1,-9999,1330,981,57,2011,16.4,26.3,8.7,17.6,691,122,38.2,215.2,25,4185,1548,955,334,63,336,273,3,-12.7,44.4,-9999,1250,810,58
CHSC116929,2011,39.6106,-121.5617,380,15.9,25.8,7.5,18.3,1077,66,24.1,391.8,28,4023,1577,807,337,56,338,282,7,-11.7,42.7,-9999,1246,811,59,16.5,26.1,8.3,17.8,1181,83,22.4,312.6,23,4207,1446,879,347,39,344,305,5,-9.2,43.9,-9999,1229,770,61,2011,15.9,25.5,9,16.5,1529,245,16.9,104.5,25,3985,1625,831,342,50,345,295,7,-11.4,43.2,-9999,1139,525,63
CHSC118643,2016,39.6142,-123.4586,528,12.4,19.6,6.2,13.3,1587,82,14.1,237.4,47,2804,2263,221,298,109,309,200,21,-15.6,40.4,-9999,1148,675,55,12.7,20,6.3,13.6,1685,94,13.5,211.4,43,2891,2190,245,309,98,315,218,20,-13.3,40.6,-9999,1133,653,57,2016,13.6,21,5.3,15.7,2682,104,8.8,201.6,38,3180,1957,314,329,66,326,260,28,-15.6,40.6,-9999,1145,665,59
CHSC12046,1970,39.1989,-121.795,112,16,25.8,6.9,18.9,531,26,49,983.9,30,4070,1555,829,331,64,332,267,4,-13,42.9,16.6,1329,1012,55,16.6,26,7.8,18.2,607,35,43.8,748.3,25,4242,1433,894,340,50,338,287,3,-11,43.9,-9999,1316,970,57,1970,16.4,26.5,6.6,19.9,705,14,37.5,1875.8,25,4202,1471,878,343,57,332,275,3,-13.2,43.5,-9999,1361,1093,56
CHSC14010,1974,38.1767,-120.3917,968,13.9,23.6,6,17.6,959,64,24.9,368.1,47,3356,2059,548,303,100,318,218,12,-15.9,43.4,-9999,1218,792,57,14.5,24.2,7,17.2,1064,77,23.1,315.4,39,3569,1899,631,321,79,328,248,10,-13,44.2,16,1195,756,60,1974,14,23.3,5.8,17.5,847,57,28.4,406.6,52,3435,2071,613,299,107,320,213,15,-16.6,43.8,-9999,1236,781,56
CHSC14017,1974,39.0117,-122.3667,359,16,26.3,7.3,19,508,24,51.3,1094.6,31,4078,1604,879,327,74,334,260,4,-12.4,44.1,-9999,1368,1070,54,16.5,26.5,8,18.5,578,30,45.9,880,26,4232,1485,934,338,58,340,283,3,-10,44.7,-9999,1349,1025,56,1974,16,25.8,7.2,18.6,449,8,58,3338.1,35,4088,1668,933,323,82,332,250,5,-12.4,44.5,-9999,1369,1113,54
CHSC23125,1962,37.9964,-123.0061,79,11.9,13.4,9.3,4.2,707,31,31,430.6,21,2455,2270,28,354,18,352,334,3,-6.2,31.1,-9999,754,413,75,12.2,13.9,9.7,4.2,768,37,29,377.5,19,2572,2159,32,358,6,355,349,3,-4.6,31.5,-9999,738,395,77,1962,11.6,13.6,9.5,4.1,743,21,29.1,664.3,21,2366,2366,20,354,21,353,332,3,-7.5,31.3,-9999,733,448,76
CHSC24140,1976,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58,15.1,24.3,7.6,16.7,1122,48,22.4,503.9,31,3725,1722,648,336,63,337,274,8,-10.1,43.1,-9999,1197,806,61,1976,14.9,24.3,7.6,16.7,371,36,67,679.7,33,3659,1754,602,308,93,325,232,3,-12.5,43.2,-9999,1234,916,55
CHSC24930,1976,41.7958,-124.2019,7,11.2,14.4,8,6.4,1557,164,13.6,87.6,32,2260,2510,34,342,46,338,292,12,-8.9,31.9,-9999,731,273,74,11.5,15,8.3,6.8,1578,171,13.7,88.1,29,2370,2407,41,345,38,338,300,10,-6.5,32.8,-9999,741,272,74,1976,11,14.3,8.1,6.3,840,127,25,112.5,36,2204,2587,34,329,69,334,264,11,-10.2,32.5,-9999,729,320,72
CHSC24951,1976,39.2339,-123.3703,382,13.2,20.4,7.1,13.3,1158,51,20,400.6,37,3040,2060,288,307,102,314,212,11,-14,41.5,-9999,1202,778,54,13.4,20.6,7.2,13.5,1230,60,19,341.6,35,3111,1999,306,318,89,320,231,10,-11.9,41.5,-9999,1180,747,56,1976,13.2,20.6,7.2,13.4,503,31,46.1,661.2,38,3048,2038,276,289,111,310,199,6,-14.3,41.7,-9999,1205,850,51
CHSC2522,1958,39.7328,-121.8342,63,16.2,25.9,7,18.9,598,41,43.8,637.4,30,4123,1537,866,330,66,329,263,4,-12.9,43.5,-9999,1330,982,55,16.7,26.2,7.6,18.6,660,49,40.5,530.5,26,4296,1426,939,339,53,335,282,4,-10.6,44.5,-9999,1319,952,57,1958,17.1,27.1,7.7,19.4,792,60,34.3,449.3,22,4445,1358,1023,343,48,340,293,4,-12.6,43.9,10.2,1325,979,56
CHSC26054,1963,34.0147,-117.0014,937,15.8,24.7,8.9,15.8,440,56,58.6,440.2,21,3971,1513,702,328,77,337,260,2,-12.1,43.8,-9999,1431,1042,53,16.6,25.3,10,15.3,484,50,54.8,506.5,17,4227,1329,794,342,51,345,294,1,-8.7,45.4,-9999,1427,1048,55,1963,15.8,24,7.9,16.1,445,107,58,224.2,21,3962,1501,674,326,79,345,266,1,-12.6,44.2,-9999,1406,989,54
CHSC26430,1977,41.7283,-123.8922,335,11.6,19.1,5.1,14,2325,211,9.3,90.9,60,2559,2513,176,296,113,310,197,44,-16.5,38,-9999,1014,472,60,12,19.7,5.8,13.9,2348,223,9.4,88.5,54,2680,2403,213,305,102,313,211,37,-14,39.2,-9999,1019,464,60,1977,11.8,19.6,5,14.6,2195,395,9.9,49.6,56,2599,2465,191,293,125,312,187,17,-17.1,38.7,-9999,1004,449,60
CHSC27517,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58,15.1,24.3,7.6,16.7,1122,48,22.4,503.9,31,3725,1722,648,336,63,337,274,8,-10.1,43.1,-9999,1197,806,61,1978,15.1,24.4,5.7,18.7,1093,49,23,498,34,3765,1720,668,329,71,335,264,8,-12.5,43.2,-9999,1219,857,59
CHSC27541,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58,15.1,24.3,7.6,16.7,1122,48,22.4,503.9,31,3725,1722,648,336,63,337,274,8,-10.1,43.1,-9999,1197,806,61,1978,15.1,24.4,5.7,18.7,1093,49,23,498,34,3765,1720,668,329,71,335,264,8,-12.5,43.2,-9999,1219,857,59
CHSC27746,1978,37.7078,-120.2008,530,15.3,25.4,6.7,18.7,625,33,40.4,759.8,35,3817,1754,742,312,90,321,232,5,-15.1,44.7,-9999,1362,983,53,15.9,26,7.5,18.5,688,41,37.7,637.4,30,4033,1613,842,329,68,331,264,4,-12.4,45.6,-9999,1333,953,56,1978,15.3,25.4,5,20.4,901,46,28.1,553.7,38,3856,1740,749,319,80,325,245,4,-15.8,45.1,-9999,1338,942,55
CHSC27799,1978,38.9425,-122.7922,561,14.7,24.1,7,17.1,1022,40,24.2,603.9,36,3598,1831,613,325,80,331,251,9,-12.4,42.7,-9999,1223,837,58,15.1,24.3,7.6,16.7,1122,48,22.4,503.9,31,3725,1722,648,336,63,337,274,8,-10.1,43.1,-9999,1197,806,61,1978,15.1,24.4,5.7,18.7,1093,49,23,498,34,3765,1720,668,329,71,335,264,8,-12.5,43.2,-9999,1219,857,59
CHSC31076,1980,38.3633,-122.5603,174,14.5,20.7,8.1,12.6,977,36,25.1,581.6,25,3476,1664,377,337,62,340,278,5,-10.2,41.2,-9999,1240,841,56,15,21.1,8.8,12.3,1076,43,23.2,489.8,22,3632,1542,423,346,44,346,301,5,-8.1,41.7,-9999,1229,824,58,1980,14.8,20.9,9.1,11.7,939,23,26.4,903.7,19,3553,1535,341,345,49,343,295,4,-11,41.5,-9999,1235,934,56
CHSC31077,1980,39.5506,-121.3803,324,15.6,25.6,6.8,18.9,1074,67,23.8,383.7,33,3915,1676,779,327,71,332,261,9,-13.4,43.4,-9999,1280,843,56,16.2,25.9,7.8,18.2,1171,83,22.4,311.8,27,4108,1532,853,340,53,339,286,6,-10.7,44.7,-9999,1263,804,59,1980,15.7,25.1,8.5,16.6,1008,64,25.5,393.9,22,3924,1515,674,340,51,342,291,6,-13,44,-9999,1250,899,57
CHSC31306,1980,39.7164,-123.4894,506,12.3,19.6,6,13.6,1799,95,12.4,205.4,49,2760,2306,211,290,116,303,187,26,-16.5,40.3,-9999,1152,662,54,12.6,20,6.1,13.9,1910,109,11.8,184.2,45,2851,2229,237,302,106,309,203,24,-14.3,40.5,-9999,1140,640,56,1980,12.5,19.9,6.8,13.1,1609,56,14,355,37,2799,2200,183,302,110,304,194,20,-16.5,40.5,-9999,1143,693,54
CHSC32094,1973,39.3958,-121.3619,278,15.6,25.9,6.9,18.9,868,51,29.5,503.3,31,3928,1646,767,328,69,332,262,6,-13.4,41.6,-9999,1283,882,56,16.2,26.2,8,18.1,953,65,27.5,400.7,25,4121,1501,840,340,51,339,288,5,-10.8,42.9,-9999,1268,846,59,1973,15.5,26.1,5.6,20.5,1358,36,18.8,715.8,38,3909,1734,803,331,63,327,264,20,-13.2,42.3,-9999,1277,952,59
CHSC32915,1980,39.1,-122.4956,1039,14.2,24.2,6.2,18,891,39,27.1,615.3,45,3453,1994,590,325,78,334,256,12,-12.1,40.9,16,1148,806,62,14.6,24.3,6.8,17.5,1002,51,24.6,481.8,39,3584,1872,626,336,61,341,279,10,-9.7,41.4,14,1122,767,65,1980,14.3,23.9,7.4,16.5,870,35,27.9,689.6,34,3436,1874,497,335,64,341,277,10,-12,41.3,-9999,1127,871,62
CHSC35982,1982,39.8994,-121.9169,94,16.4,26.4,7,19.4,588,47,44.8,561.8,30,4191,1525,920,330,65,330,265,4,-12.9,43.9,-9999,1334,986,55,16.9,26.7,7.7,19.1,647,56,41.6,474.6,26,4370,1412,999,340,52,336,284,3,-10.6,44.9,-9999,1324,953,57,1982,15.4,24.8,5.3,19.5,778,78,32.7,316.7,40,3889,1732,780,323,73,328,255,6,-12.6,44.3,-9999,1257,819,57
CHSC36121,1980,39.0117,-122.3644,359,16,26.3,7.3,19,507,24,51.3,1092.2,31,4074,1604,876,328,73,334,261,4,-12.3,44,-9999,1366,1068,54,16.5,26.5,8,18.5,577,30,45.9,878.2,26,4229,1485,931,339,57,341,283,3,-9.9,44.7,-9999,1347,1023,56,1980,16.1,26,8.5,17.4,508,20,51.4,1307.5,23,4074,1468,774,337,59,341,282,3,-12.3,44.5,-9999,1344,1132,54
CHSC38460,1983,39.7833,-121.7572,264,16.2,26,7.2,18.8,927,57,28.3,452.3,28,4140,1523,873,338,54,339,285,6,-11.8,43.4,16.3,1280,878,58,16.8,26.3,8,18.3,1015,70,26.4,374.5,24,4316,1409,947,347,41,344,304,5,-9.5,44.4,-9999,1267,847,60,1983,16,24.9,8,17,1937,79,13.4,314.2,26,4022,1546,788,352,31,353,322,9,-11.5,43.7,3.6,1187,792,64
CHSC40119,1985,38.9322,-123.3072,258,14.1,21.4,8,13.3,1153,46,20.9,468.4,29,3346,1812,379,322,87,326,239,7,-11.9,43.7,-9999,1238,800,54,14.4,21.7,8.1,13.5,1213,54,20.1,404.5,26,3429,1742,399,331,73,331,258,6,-9.8,43.8,-9999,1217,776,56,1985,13.9,22.2,7.7,14.5,764,43,31.3,521.1,32,3284,1889,370,310,95,315,219,7,-12.4,44,-9999,1233,857,53
CHSC4019,1967,39.7292,-121.7028,123,16.5,26.3,7.2,19.2,724,45,36.6,580.8,28,4221,1488,918,337,56,338,282,5,-11.9,43.6,-9999,1318,947,57,17,26.6,8,18.6,792,55,34.1,481.9,24,4400,1373,994,346,42,344,302,4,-9.6,44.6,-9999,1305,920,59,1967,16.6,28.2,6.9,21.2,752,56,35.4,499.4,30,4292,1583,1064,329,71,334,263,7,-11.6,43.9,-9999,1319,969,56
CHSC4065,1967,40.1631,-122.2564,98,16.6,27.1,7,20.1,573,47,46.4,571,30,4278,1508,992,330,65,328,263,4,-13.3,43.9,16.3,1328,988,55,17.2,27.5,7.7,19.7,633,58,42.9,473.1,26,4464,1402,1081,339,54,333,279,3,-11.1,45.2,-9999,1326,957,57,1967,16.8,28.6,6.7,21.9,565,53,47.4,536.9,32,4365,1603,1154,323,76,326,250,5,-13.2,44.4,-9999,1332,997,55
CHSC43315,1977,39.2664,-121.8131,78,16.1,26,6.9,19,502,26,52,989.5,30,4097,1544,846,332,63,331,268,4,-12.7,43,16,1334,1029,55,16.6,26.1,7.8,18.3,572,35,46.6,755.9,25,4266,1425,910,341,49,337,288,3,-10.7,44,-9999,1320,980,57,1977,16.4,25.8,6.1,19.7,334,53,79,484.7,28,4181,1500,888,332,68,329,261,1,-12.8,43.5,14.4,1338,1106,55
CHSC43316,1969,38.5561,-122.1869,189,15.6,24.1,7.8,16.3,582,21,43.9,1171.2,27,3877,1571,658,332,65,335,269,3,-12.1,43.3,15.6,1313,984,55,16.1,24.4,8.6,15.8,667,24,39.2,1001.3,22,4062,1437,729,342,49,342,293,3,-9.8,44,-9999,1302,959,57,1969,15.6,24.8,6.6,18.2,820,6,31.2,4110.5,32,3908,1624,725,331,66,333,266,11,-12.5,43.7,-9999,1309,1052,56
CHSC47108,1986,36.0942,-120.4406,335,15.9,25.5,7.6,17.9,205,12,126.4,2066.5,28,4013,1561,778,311,89,319,230,1,-15.5,43.6,-9999,1482,1277,49,16.3,25.6,8,17.6,229,13,115,1906,24,4156,1457,828,323,75,326,250,1,-13.5,44.4,-9999,1469,1242,51,1986,16.5,25.3,7.9,17.3,223,15,118.7,1717.2,18,4183,1323,745,330,72,322,250,1,-16.3,43.8,-9999,1473,1277,50
CHSC52401,1983,38.9081,-122.7703,715,14.4,23.6,7,16.6,1237,46,19.7,509.3,37,3505,1880,564,328,74,335,261,12,-11.9,42,-9999,1167,762,61,14.8,23.8,7.6,16.2,1358,57,18.3,421.4,32,3633,1766,600,339,57,342,285,10,-9.5,42.3,-9999,1140,728,63,1983,14.5,23.8,7.4,16.4,2857,60,8.6,394.2,33,3539,1854,584,346,48,350,302,23,-12,42.4,-9999,1097,735,67
CHSC52497,1982,36.3664,-121.5442,730,13.9,21.3,8.8,12.5,652,25,36.6,835,27,3264,1848,330,328,83,335,251,4,-10.3,39.2,16,1196,838,58,14.4,21.8,8.8,12.9,716,29,34,760.5,23,3428,1720,374,338,65,341,276,3,-8.3,39.9,13.8,1196,833,60,1982,13.4,20.7,7.1,13.6,1086,39,21.6,532.7,33,3120,1985,300,327,83,335,252,7,-11.3,39.4,-9999,1140,724,61
CHSC55122,1986,36.9753,-121.0531,211,16.1,24.7,7.7,16.9,232,13,112.4,1873.3,25,4059,1480,751,332,62,337,275,1,-12.5,43,16.7,1368,1144,55,16.6,25.1,8.3,16.7,257,15,103.6,1663,22,4246,1361,832,343,44,344,299,1,-9.9,43.6,-9999,1341,1099,58,1986,16.8,24.7,8.5,16.2,240,25,111.5,1000.9,16,4287,1209,748,350,36,344,307,1,-13,43.3,-9999,1344,1138,57
CHSC55499,1991,40.4011,-121.9775,343,15.8,26.2,6.7,19.5,724,73,35.6,357.7,34,4013,1666,864,327,71,330,259,6,-13.6,44.1,-9999,1262,864,57,16.4,26.7,7.6,19.1,784,86,33.8,311.2,29,4216,1535,961,338,55,336,281,4,-10.8,45.6,-9999,1258,839,59,1991,16.7,27.5,7.9,19.5,567,54,47,513,26,4289,1519,1013,335,61,344,283,3,-13.1,44.7,-9999,1250,923,58
CHSC55712,1991,39.4803,-122.5,369,15.6,25.9,6.6,19.3,493,31,52,823.1,34,3938,1687,808,319,80,325,245,5,-15,42.8,15.7,1299,1001,55,16,26.1,7.4,18.7,553,38,47.1,689.7,30,4071,1578,856,330,66,331,265,4,-12.7,43.4,-9999,1277,955,57,1991,16,26.8,7.4,19.4,380,28,68.4,944,30,4068,1630,881,320,80,338,257,3,-14.7,43.2,-9999,1264,1031,56
CHSC56643,1977,39.8531,-122.5733,324,16.4,27.3,6.7,20.6,586,46,45,593.5,32,4204,1580,980,332,64,332,269,4,-13.6,43,-9999,1271,926,59,16.8,27.6,7.6,20,657,59,40.8,468,27,4356,1477,1042,341,51,337,286,4,-11.2,43.9,14.5,1253,892,61,1977,16.6,27.1,6.2,20.8,460,101,57.9,267.7,29,4274,1549,1033,331,71,328,257,1,-13.3,43.4,-9999,1272,967,59
CHSC57470,1990,38.5433,-123.2928,24,12,14.5,8.8,5.7,847,45,26,324.5,24,2519,2247,40,341,50,338,287,4,-9.2,33.6,-9999,892,496,67,12.3,14.8,9.2,5.6,878,47,25.4,312.8,22,2604,2160,44,347,37,342,305,4,-7.5,33.8,-9999,870,480,69,1990,12,15.1,6.6,8.5,476,60,46.2,250,31,2563,2257,47,327,55,331,276,4,-10.2,33.8,-9999,884,596,67
CHSC57471,1987,39.4281,-122.5111,322,15.4,25.7,6.4,19.4,495,27,51.4,957.4,37,3876,1737,785,311,88,319,231,5,-16,43.3,-9999,1338,1043,52,15.8,25.9,7.2,18.7,556,33,46.4,785.6,32,4007,1626,830,323,75,325,250,4,-13.8,43.9,-9999,1316,998,55,1987,15.9,24.8,5.9,18.9,503,9,51.4,2610.3,41,4058,1638,858,316,75,328,253,4,-15.7,43.8,17.1,1362,1089,53
CHSC59547,1992,39.0364,-122.6922,615,14.4,23.8,6.6,17.2,757,28,32.2,836.6,39,3493,1908,569,312,93,320,227,8,-14.7,42.8,16.4,1243,897,56,14.8,24,7.3,16.7,842,36,29.4,662,33,3620,1793,603,325,77,328,251,7,-12.4,43.2,14.3,1219,864,58,1992,15.4,24.5,6.1,18.4,850,22,29.9,1089,36,3847,1640,673,328,65,332,268,3,-14.6,43.3,-9999,1246,917,58
CHSC59744,1979,37.8144,-120.3117,362,15.4,25.5,7.1,18.4,594,35,42.8,731.5,32,3865,1696,747,316,86,324,237,4,-14.5,43.9,-9999,1352,975,53,16.1,26,7.9,18.1,656,43,39.7,603.7,27,4085,1556,849,332,64,333,269,4,-11.8,44.8,-9999,1324,943,57,1979,15.7,25.1,6.1,19,721,21,35.7,1211.7,34,3982,1664,814,319,78,331,253,9,-15.2,44.4,18.2,1346,1012,54
CHSC61985,1993,34.3381,-118.8644,422,17,23.9,11.6,12.3,405,14,66.6,1684.6,11,4323,1100,691,359,18,359,342,1,-4.4,43.8,17,1357,1029,58,17.5,24.4,12.5,11.9,434,14,63.4,1733.8,9,4522,977,768,364,6,363,357,0,-1.6,44.7,15.7,1351,1027,60,1993,17.5,23.7,11.4,12.3,652,8,42.3,2911.4,10,4526,964,753,363,8,363,355,2,-3.9,44.2,-9999,1336,1073,61
CHSC62467,1991,39.5467,-121.3878,331,15.6,25.6,6.8,18.8,1076,67,23.8,382.7,33,3917,1672,777,328,70,332,262,9,-13.4,43.3,-9999,1277,841,57,16.2,25.9,7.8,18.1,1173,83,22.3,310.8,27,4109,1528,851,340,52,339,287,6,-10.7,44.6,-9999,1260,802,59,1991,16.3,26.5,8.5,18,941,83,27.9,318.2,25,4141,1538,886,335,64,346,282,6,-13,43.9,-9999,1254,849,57
